State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,30.78,32.40,30.90,32.40
Arunachal Pradesh,28.67,28.90,29.70,29.70
Assam,15.44,17.20,18.20,18.70
Bihar,14.31,14.40,13.00,13.60
Chhattisgarh,15.11,56.10,56.40,50.60
Goa,27.63,28.10,28.00,30.10
Gujarat,20.70,20.20,20.10,20.40
Haryana,26.11,.29.0,28.70,29.20
Himachal Pradesh,32.46,36.70,37.90,39.60
Jammu and Kashmir,24.80,25.60,27.70,30.90
Jharkhand,15.50,17.70,18.00,19.10
Karnataka,26.09,26.50,27.80,28.80
Kerala,30.78,34.20,36.20,37.00
Madhya Pradesh,19.63,20.00,21.20,21.50
Maharashtra,29.89,30.20,31.10,32.00
Manipur,34.17,35.00,31.80,33.70
Meghalaya,20.78,23.50,24.70,25.80
Mizoram,24.10,24.50,22.90,25.70
Nagaland,14.90,16.60,17.80,18.70
Odisha,19.65,21.00,22.00,22.10
Punjab,27.05,28.60,30.30,29.50
Rajasthan,20.23,20.50,21.70,23.00
Sikkim,37.57,37.30,37.40,53.90
Tamil Nadu,44.32,46.90,48.60,49.00
Telangana,36.34,35.80,35.70,36.20
Tripura,16.88,19.10,21.20,19.20
Uttar Pradesh,24.50,24.90,25.90,25.80
Uttarakhand,33.26,33.40,36.30,39.10
West Bengal,17.66,18.50,18.70,19.30
Andaman and Nicobar Islands,23.50,22.80,21.80,23.20
Chandigarh,57.59,56.10,56.40,50.60
Dadra and Nagar Haveli,9.11,9.20,9.10,9.30
Daman and Diu,5.74,5.50,5.20,5.50
Delhi,45.36,45.30,46.30,46.30
Lakshadweep,7.06,7.30,7.60,7.40
Puducherry,43.17,43.10,45.40,46.40
All India (Total),24.48,25.20,25.80,28.30
"Source: Department of School Education, MoHRD 
Note ‘ - ‘ refers to data Under compilation 
Source: (a) Numerator: Ministry of Human Resource Development (b) Denominator: ORGI, Ministry of Home Affairs",,,,
