State/ut,Primary,Upper primary,Elementary,Secondary,Higher secondary
Andhra Pradesh,1.55,1.26,1.44,1.07,0.00
Arunachal Pradesh,1.46,1.79,1.56,0.84,0.95
Assam,1.55,1.03,1.38,0.39,0.08
Bihar,0.91,0.69,0.85,0.26,0.09
Chhattisgarh,1.68,1.52,1.62,0.41,0.26
Goa,1.94,2.45,2.13,1.03,0.28
Gujarat,0.98,1.09,1.02,0.59,0.48
Haryana,0.77,0.83,0.79,0.50,0.30
Himachal Pradesh,1.00,1.11,1.04,0.85,0.39
Jammu and Kashmir,1.39,1.27,1.35,0.68,0.35
Jharkhand,1.17,0.93,1.09,0.27,0.13
Karnataka,1.24,1.31,1.26,0.81,0.11
Kerala,2.42,3.60,2.87,1.69,0.88
Madhya Pradesh,1.03,1.12,1.06,0.41,0.30
Maharashtra,1.70,1.66,1.68,1.17,0.35
Manipur,1.84,1.27,1.66,0.52,0.09
Meghalaya,0.96,0.61,0.85,0.28,0.09
Mizoram,3.08,3.70,3.28,2.08,0.52
Nagaland,1.30,1.13,1.24,1.24,0.34
Odisha,1.62,1.85,1.70,0.75,0.06
Punjab,2.11,2.25,2.16,0.79,0.47
Rajasthan,0.96,0.91,0.95,0.24,0.16
Sikkim,1.04,0.63,0.87,0.31,0.19
Tamil Nadu,1.46,1.63,1.52,0.41,0.19
Telangana,1.24,0.83,1.10,0.66,0.04
Tripura,0.60,0.66,0.62,0.43,0.24
Uttar Pradesh,0.79,0.57,0.72,0.10,0.09
Uttarakhand,0.61,0.48,0.56,0.32,0.20
West Bengal,1.40,0.97,0.12,0.78,0.46
Andaman and Nicobar Islands,0.98,0.87,0.94,0.87,0.67
Chandigarh,1.85,3.37,2.48,2.66,0.76
Dadra and Nagar Haveli,0.77,0.50,0.66,0.77,0.35
Daman and Diu,0.58,0.52,0.56,0.41,0.14
Delhi,0.53,0.91,0.67,0.91,0.72
Lakshadweep,3.33,2.97,3.18,1.27,0.71
Puducherry,0.58,0.74,0.64,0.58,0.29
All India (Total),1.18,1.13,1.16,0.56,0.25
"Source: Department of School Education, MoHRD 
Note ‘ - ‘ refers to data Under compilation 
Source: (a) Numerator: Ministry of Human Resource Development (b) Denominator: ORGI, Ministry of Home Affairs",,,,,
