State/ut,Percentage literacy rate of youth during 2011,,
,male,Female,Total
Andhra Pradesh,90.77,83.15,87.02
Arunachal Pradesh,84.88,76.44,80.69
Assam,85.21,79.57,82.41
Bihar,79.56,63.69,72.29
Chhattisgarh,92.00,82.84,87.45
Goa,96.65,95.57,96.15
Gujarat,92.84,85.00,89.17
Haryana,92.80,86.54,89.96
Himachal Pradesh,97.02,95.77,96.41
Jammu and Kashmir,89.56,76.25,83.15
Jharkhand,87.21,71.36,79.62
Karnataka,93.13,88.28,90.79
Kerala,99.04,99.03,99.04
Madhya Pradesh,89.09,77.60,83.71
Maharashtra,95.01,92.13,93.66
Manipur,90.27,85.53,87.90
Meghalaya,84.03,85.48,84.76
Mizoram,95.12,91.66,93.40
Nagaland,89.10,87.28,88.21
Odisha,90.93,81.16,86.03
Punjab,90.44,88.94,89.75
Rajasthan,91.03,71.30,81.73
Sikkim,94.98,93.38,94.20
Tamil Nadu,97.16,94.99,96.09
Tripura,96.16,92.45,94.30
Uttar Pradesh,86.63,75.77,81.57
Uttarakhand,94.00,89.95,92.03
West Bengal,89.18,85.22,87.25
Andaman and Nicobar Islands,97.07,96.21,96.66
Chandigarh,93.21,91.11,92.31
Dadra and Nagar Haveli,93.32,76.35,86.78
Daman and Diu,93.10,91.04,92.50
Nct of Delhi,94.19,91.93,93.17
Lakshadweep,98.28,98.31,98.30
Puducherry,97.91,97.08,97.49
All India (Total),90.04,81.85,86.14
"Source: Office of Registrar General of India, Ministry of Home Affairs.",,,
