State/ sub indicators,2015-16,,,,,,,
,"(a) Elec-
tricity","(b) Com-
puters for 
peda-
gogical 
purposes","(c) Adapted 
infrastructure and 
materials for students 
with disabilities/
disabled friendly ramp 
and toilets",,"(d) Basic 
drinking 
water","(e) Single-sex basic 
sanitation facilities",,"(f) Basic 
hand 
washing 
facilities 
(as per 
the wASH 
indicator 
definitions)"
,,,Toilets,Ramp,,Boys,Girls,
Andaman and Nicobar Islands,90.10,57.00,NA,27.29,100.00,100.00,100.00,80.92
Andhra Pradesh,93.50,30.59,NA,25.94,95.37,99.69,99.72,41.10
Arunachal Pradesh,39.54,24.36,NA,21.87,81.47,95.65,96.56,23.92
Assam,25.55,10.76,NA,54.71,86.21,82.80,83.94,51.16
Bihar,37.78,9.37,NA,61.35,94.43,89.16,90.05,35.52
Chandigarh,100.00,94.53,NA,59.70,100.00,100.00,100.00,100.00
Chhattisgarh,72.66,12.70,NA,65.46,99.06,98.50,99.16,52.50
Dadra and Nagar Haveli,100.00,42.65,NA,70.32,100.00,100.00,100.00,78.39
Daman and Diu,100.00,64.14,NA,66.21,100.00,100.00,100.00,70.34
Delhi,100.00,83.89,NA,73.33,100.00,100.00,100.00,99.18
Goa,99.87,44.72,NA,45.11,100.00,100.00,100.00,87.39
Gujarat,99.73,75.50,NA,78.98,99.95,99.87,99.95,60.07
Haryana,98.97,46.93,NA,62.24,99.91,99.49,99.60,79.78
Himachal Pradesh,96.24,26.00,NA,74.27,99.86,99.70,99.82,66.58
Jammu and Kashmir,30.97,18.32,NA,21.47,92.35,92.14,95.00,45.33
Jharkhand,19.45,10.28,NA,46.44,93.60,96.49,96.75,28.46
Karnataka,98.12,39.53,NA,65.09,99.90,99.30,99.59,46.51
Kerala,97.46,94.50,NA,59.07,99.68,98.16,99.15,73.30
Lakshadweep,100.00,100.00,NA,60.00,100.00,100.00,100.00,91.11
Madhya Pradesh,28.80,15.17,NA,66.37,96.37,96.20,96.65,48.58
Maharashtra,93.94,59.65,NA,84.23,99.74,99.21,99.41,84.50
Manipur,39.27,27.16,NA,37.03,99.64,98.67,98.74,33.43
Meghalaya,28.54,11.74,NA,32.42,63.81,86.40,84.29,13.42
Mizoram,76.86,32.81,NA,41.57,93.10,97.96,99.27,29.00
Nagaland,51.70,40.13,NA,27.99,82.06,98.69,99.89,20.37
Odisha,33.03,15.03,NA,64.11,99.39,93.75,97.06,41.70
Puducherry,100.00,98.77,NA,63.89,100.00,100.00,100.00,74.42
Punjab,99.94,52.83,NA,68.75,99.98,99.60,99.83,88.15
Rajasthan,56.68,30.11,NA,48.29,96.84,99.19,99.67,59.07
Sikkim,83.97,60.36,NA,13.60,98.51,99.84,99.83,50.90
Tamil Nadu,99.05,57.62,NA,66.04,99.96,99.73,99.90,71.09
Telangana,91.58,35.51,NA,29.65,94.00,100.00,100.00,37.99
Tripura,29.77,15.65,NA,49.69,89.84,99.69,99.86,34.43
Uttar Pradesh,54.26,13.31,NA,72.46,98.73,99.74,99.80,45.44
Uttarakhand,78.64,33.54,NA,48.89,96.43,97.43,97.18,48.73
West Bengal,74.88,12.67,NA,57.94,98.42,97.70,98.29,56.24
All India,62.81,27.31,NA,61.00,96.81,97.02,97.52,52.41
"Source: Department of School Education, Ministry of Human Resource Development",,,,,,,,
