State/ sub indicators,2017-18,,,,,,,
,"(a) Elec-
tricity","(b) Com-
puters for 
peda-
gogical 
purposes","(c) Adapted 
infrastructure and 
materials for students 
with disabilities/
disabled friendly ramp 
and toilets",,"(d) Basic 
drinking 
water","(e) Single-sex basic 
sanitation facilities",,"(f) Basic 
hand 
washing 
facilities 
(as per 
the wASH 
indicator 
definitions)"
,,,"CwSN 
Toilets",Ramps,,Boys,Girls,
Andaman and Nicobar Islands,91.13,59.23,NA,28.06,98.80,100.00,100.72,NA
Andhra Pradesh,93.53,32.79,NA,21.19,97.21,81.45,100.78,51.66
Arunachal Pradesh,42.65,25.26,NA,16.74,81.36,94.71,98.10,27.31
Assam,27.07,11.31,NA,36.97,89.07,79.89,86.85,55.70
Bihar,48.32,11.29,NA,27.98,90.15,88.65,93.38,43.44
Chandigarh,100.00,96.00,NA,68.44,100.00,100.00,NA,100.00
Chhattisgarh,76.80,13.41,NA,34.22,98.41,97.38,97.94,57.17
Dadra and Nagar Haveli,100.00,82.37,NA,78.61,99.42,100.00,100.87,NA
Daman and Diu,98.60,85.31,NA,42.66,97.90,99.27,102.90,86.62
Delhi,100.00,89.27,NA,74.12,100.00,100.00,NA,99.44
Goa,100.00,47.61,NA,25.97,99.80,100.00,101.98,91.61
Gujarat,99.94,72.83,NA,50.27,99.98,99.69,100.89,74.45
Haryana,99.25,50.08,NA,31.44,99.94,99.05,NA,87.13
Himachal Pradesh,95.52,27.90,NA,57.12,98.49,99.69,NA,71.46
Jammu and Kashmir,38.57,20.06,NA,14.97,92.68,94.32,NA,50.68
Jharkhand,54.16,13.61,NA,26.84,92.99,97.77,99.35,40.93
Karnataka,93.84,39.37,NA,29.67,96.02,94.29,96.11,51.76
Kerala,98.04,95.62,NA,40.03,99.55,98.69,100.37,78.65
Lakshadweep,100.00,100.00,NA,40.00,100.00,100.00,100.00,91.11
Madhya Pradesh,35.03,16.08,NA,36.46,96.64,96.34,98.23,54.52
Maharashtra,94.74,68.82,NA,60.75,98.61,98.14,99.73,87.02
Manipur,49.04,29.70,NA,31.75,93.79,97.11,104.79,40.80
Meghalaya,30.37,13.24,NA,21.00,63.82,86.46,83.90,15.59
Mizoram,79.00,37.56,NA,26.87,92.37,98.11,99.67,34.22
Nagaland,59.53,43.68,NA,20.57,81.93,97.50,97.18,24.64
Odisha,37.99,16.79,NA,40.71,98.70,96.27,101.30,51.18
Puducherry,99.86,98.64,NA,45.16,97.95,99.71,101.41,88.81
Punjab,99.59,75.57,NA,0.01,99.72,94.37,NA,96.69
Rajasthan,65.00,34.34,NA,32.16,95.55,99.01,NA,67.37
Sikkim,91.31,64.23,NA,10.62,98.77,99.54,101.40,67.64
Tamil Nadu,99.61,58.54,NA,40.80,99.22,99.79,99.95,80.91
Telangana,94.20,37.41,NA,27.77,97.83,93.64,101.69,53.50
Tripura,32.89,16.96,NA,16.13,88.58,99.47,99.84,40.82
Uttar Pradesh,56.33,14.24,NA,24.28,95.64,98.43,NA,49.77
Uttarakhand,83.45,36.13,NA,19.41,94.70,95.78,NA,56.61
west Bengal,87.87,14.80,NA,34.66,97.93,97.93,99.64,65.13
All India,67.57,29.57,NA,33.07,95.83,95.44,97.84,59.34
"Source: Department of School Education, Ministry of Human Resource Development",,,,,,,,
