State/ sub  indicators,2015-16,,,,2016-17,,,,,2017-18,,,,
,Primary,"upper 
Primary","Sec-
ondary","Higher 
Secondary Primary",,"upper 
Primary","Sec-
ondary","Higher 
Secondary",Total,Primary,"upper 
Primary","Sec-
ondary","Higher 
Secondary",Total
"Andaman and 
Nicobar Islands",98.40,NA,NA,NA,98.49,99.43,98.33,98.96,98.86,99.36,99.01,98.94,98.95,99.03
Andhra Pradesh,98.27,100.00,100.00,71.38,98.25,96.18,98.82,98.70,98.10,98.33,96.49,98.90,80.89,96.97
"Arunachal 
Pradesh",29.72,44.72,NA,36.84,40.57,46.34,56.94,73.52,51.07,59.38,61.20,65.50,79.68,64.36
Assam,50.89,29.67,14.30,11.22,58.87,32.93,16.61,24.11,36.89,66.28,37.41,24.13,27.79,42.79
Bihar,47.47,73.78,57.38,11.47,51.48,62.17,64.51,35.35,53.93,50.17,49.27,62.08,66.17,52.41
Chandigarh,97.25,NA,NA,NA,96.99,99.08,98.90,98.92,98.89,83.47,90.56,98.78,99.06,97.87
Chhattisgarh,79.39,88.97,75.40,46.39,83.37,68.86,69.14,63.02,73.41,83.60,72.52,60.73,62.07,73.95
"Dadra and Nagar 
Haveli",96.71,100.00,96.33,100.00,96.34,93.96,94.01,88.48,92.84,96.41,92.70,91.94,89.93,92.39
Daman and Diu,96.69,98.63,98.32,100.00,97.56,91.69,90.00,91.07,92.47,95.80,88.98,93.31,91.12,91.93
Delhi,100.00,100.00,NA,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00
Goa,94.30,100.00,NA,96.65,93.98,98.31,99.04,95.41,97.20,88.66,96.90,98.81,93.88,95.47
Gujarat,99.69,99.62,99.77,99.05,99.97,99.96,99.96,99.91,99.95,99.96,99.94,99.98,99.98,99.95
Haryana,97.48,99.99,NA,100.00,96.69,92.29,95.14,95.86,95.33,97.78,93.57,95.01,96.18,95.88
"Himachal 
Pradesh",94.87,99.31,100.00,92.47,95.24,94.84,97.07,95.96,95.75,95.96,95.02,97.38,96.59,96.31
"Jammu and 
Kashmir",39.16,68.70,90.36,77.08,40.46,53.86,63.77,74.52,56.39,42.91,56.00,64.64,73.57,58.01
Jharkhand,77.03,81.47,86.40,49.50,76.32,75.11,73.11,74.67,75.12,77.44,75.38,76.40,77.36,76.32
Karnataka,97.35,96.47,98.08,71.82,96.12,97.64,94.66,80.98,94.06,97.97,98.50,95.90,84.98,96.08
Kerala,97.82,99.36,98.12,96.31,97.83,97.96,98.01,97.61,97.78,98.02,98.10,97.94,98.14,98.09
Lakshadweep,100.00,100.00,NA,NA,100.00,98.81,97.87,94.27,96.51,100.00,99.40,100.00,95.56,97.51
Madhya Pradesh,92.26,97.80,93.97,47.62,92.62,66.09,67.99,72.88,77.25,93.49,65.92,67.83,73.01,77.27
Maharashtra,98.95,97.99,99.32,98.29,98.99,98.71,99.26,99.16,99.01,98.93,98.69,99.15,98.96,98.92
Manipur,42.63,33.93,26.03,42.63,45.19,39.84,40.93,49.75,43.27,55.26,44.16,42.17,47.96,46.69
Meghalaya,28.68,21.14,35.90,26.28,29.86,22.40,38.85,44.03,30.47,30.66,24.53,40.62,44.79,32.04
Mizoram,78.25,80.00,55.46,49.22,78.51,54.98,55.28,48.52,60.40,88.87,75.29,59.03,49.88,73.96
Nagaland,34.42,40.47,64.10,14.12,35.23,29.96,33.25,34.25,32.92,38.32,34.16,34.68,37.24,35.81
Odisha,83.24,92.30,87.71,31.51,84.25,80.16,86.04,51.14,81.07,84.04,78.58,87.24,53.34,80.70
Puducherry,100.00,100.00,NA,100.00,100.00,99.80,100.00,99.80,99.88,99.61,99.48,99.07,99.00,99.14
Punjab,94.86,99.99,100.00,81.27,95.49,82.60,88.97,93.30,91.37,95.27,84.68,89.67,94.88,92.50
Rajasthan,93.59,96.93,90.00,NA,93.88,92.38,93.61,95.80,94.01,93.55,92.59,93.61,96.18,94.26
Sikkim,44.02,100.00,NA,NA,43.82,42.29,56.01,54.96,48.31,45.06,44.93,56.53,60.32,51.15
Tamil Nadu,96.05,99.08,100.00,95.57,96.84,98.89,97.39,97.64,97.58,98.00,99.40,98.55,98.66,98.58
Telangana,98.44,NA,NA,87.70,98.82,96.08,98.57,91.69,97.64,98.65,92.20,92.74,92.92,93.89
Tripura,29.82,92.31,NA,NA,29.79,31.17,40.14,56.97,40.12,28.84,33.69,43.24,59.08,42.37
Uttar Pradesh,72.06,86.99,77.04,47.06,75.89,81.74,77.02,75.19,77.50,75.81,80.55,75.22,77.82,77.45
Uttarakhand,80.87,94.39,98.24,93.08,82.94,80.97,94.56,94.36,87.11,79.98,73.45,92.33,93.83,83.87
West Bengal,40.29,44.81,NA,77.39,43.17,38.77,64.25,68.75,52.52,46.06,40.11,68.31,72.39,54.88
All India,75.49,78.18,78.52,64.45,77.48,79.98,83.77,84.21,80.90,77.85,78.57,83.69,87.24,81.32
"Source: Department of School Education, Ministry of Human Resource Development",,,,,,,,,,,,,,
