State/ut,2015,2016,2017,2018
Andhra Pradesh,62.30,63.64,69.27,63.23
Arunachal Pradesh,62.10,51.76,47.00,50.83
Assam,148.20,127.90,139.84,166.09
Bihar,27.90,24.37,26.33,29.82
Chhattisgarh,44.80,43.09,57.14,60.53
Goa,39.90,49.53,48.94,47.69
Gujarat,26.30,27.32,25.70,25.97
Haryana,75.70,76.06,86.57,107.46
Himachal Pradesh,37.40,34.56,35.01,45.59
Jammu and Kashmir,57.00,45.59,49.62,54.03
Jharkhand,40.20,31.11,33.22,39.22
Karnataka,41.60,44.51,43.99,41.90
Kerala,53.40,55.70,61.06,57.48
Madhya Pradesh,65.50,69.54,76.72,73.47
Maharashtra,54.80,54.82,55.34,60.87
Manipur,20.80,16.87,15.57,17.69
Meghalaya,24.50,23.82,35.93,35.80
Mizoram,30.90,20.91,51.90,42.49
Nagaland,8.00,10.40,7.74,7.27
Odisha,81.90,81.65,91.23,91.28
Punjab,39.70,36.90,33.11,37.67
Rajasthan,81.50,76.03,71.04,75.09
Sikkim,17.60,50.33,52.92,55.31
Tamil Nadu,17.00,11.95,14.37,15.43
Telangana,83.10,84.72,95.88,87.10
Tripura,68.20,53.18,50.49,46.63
Uttar Pradesh,34.80,47.48,53.23,55.72
Uttarakhand,28.20,30.09,36.41,52.18
West Bengal,73.40,69.88,66.15,64.43
Andaman and Nicobar Islands,51.10,58.70,71.35,79.03
Chandigarh,64.80,79.77,86.12,82.77
Dadra and Nagar Haveli,12.90,14.43,9.76,17.59
Daman and Diu,26.40,35.65,21.67,12.80
Delhi,184.30,174.83,146.26,149.53
Lakshadweep,22.00,28.13,18.18,33.33
Puducherry,10.90,13.05,19.68,21.64
All India (Total),53.90,53.87,56.55,58.79
"Source: (a) Numerator: National Crime Records Bureau (b) Denominator: Office of Registrar General of India, Ministry of Home Affairs",,,,
