State/ut,2015,2016,2017,2018
Andhra Pradesh,1.87,3.06,2.29,1.77
Arunachal Pradesh,0.00,0.14,0.00,0.00
Assam,1.98,2.40,2.36,7.87
Bihar,6.15,3.72,3.90,6.03
Chhattisgarh,0.77,0.75,0.79,0.68
Goa,0.00,0.27,0.13,0.00
Gujarat,0.16,0.04,0.00,0.03
Haryana,2.08,2.07,2.10,1.76
Himachal Pradesh,0.06,0.11,0.11,0.14
Jammu and Kashmir,0.12,0.10,0.14,0.14
Jharkhand,11.52,9.41,9.21,8.70
Karnataka,5.88,6.09,5.65,5.53
Kerala,0.07,0.16,0.12,0.11
Madhya Pradesh,1.97,1.71,1.75,1.58
Maharashtra,0.55,0.50,0.48,0.41
Manipur,0.00,0.00,0.00,0.00
Meghalaya,0.07,0.00,0.13,0.06
Mizoram,0.00,0.00,0.00,0.00
Nagaland,0.00,0.10,0.00,0.00
Odisha,7.44,8.23,12.17,9.02
Punjab,0.70,0.61,0.54,0.51
Rajasthan,1.37,1.29,1.25,1.10
Sikkim,0.33,0.00,0.00,0.32
Tamil Nadu,1.15,0.95,0.73,0.69
Telangana,1.46,1.42,1.55,1.08
Tripura,1.51,1.00,1.77,0.93
Uttar Pradesh,5.00,5.15,5.37,6.55
Uttarakhand,1.28,1.59,2.19,3.09
West Bengal,1.11,1.15,1.07,0.96
Andaman and Nicobar Islands,0.00,0.00,0.54,0.00
Chandigarh,0.70,0.96,0.19,1.31
Dadra and Nagar Haveli,0.53,0.00,0.00,0.00
Daman and Diu,0.00,0.00,0.00,0.00
Delhi UT,1.53,2.06,1.48,1.89
Lakshadweep,0.00,0.00,0.00,0.00
Puducherry,1.76,2.06,1.61,0.65
All India (Total),2.90,2.75,2.86,3.19
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,
