State/ut-wise cases registered under crime against women expressed as percentage of total cognizable crimes(include cases under ipc + sll) during the year,,,,
State/uT,2015,2016,2017,2018
Andhra Pradesh,12.63,12.65,12.10,11.36
Arunachal Pradesh,12.19,13.59,12.27,13.06
Assam,21.74,19.50,20.99,23.00
Bihar,7.12,7.06,6.23,6.44
Chhattisgarh,6.63,7.06,8.83,8.74
Goa,8.60,10.01,9.36,9.32
Gujarat,1.79,1.96,2.43,2.12
Haryana,7.21,6.88,5.06,7.49
Himachal Pradesh,7.52,7.08,7.00,8.33
Jammu and Kashmir,13.30,10.70,12.22,12.60
Jharkhand,12.41,11.40,11.22,12.72
Karnataka,7.48,7.87,7.65,8.27
Kerala,1.49,1.42,1.69,2.04
Madhya Pradesh,6.76,7.29,7.85,7.14
Maharashtra,7.38,7.28,6.84,6.88
Manipur,5.48,6.17,5.55,7.17
Meghalaya,7.65,10.39,14.35,16.40
Mizoram,6.14,4.29,10.99,10.59
Nagaland,4.72,5.50,5.09,4.23
Odisha,16.67,17.22,19.35,18.88
Punjab,8.87,8.84,6.54,7.54
Rajasthan,10.77,10.92,10.59,11.12
Sikkim,5.58,15.00,16.65,19.79
Tamil Nadu,1.34,0.95,1.28,1.17
Telangana,12.56,12.78,13.15,12.63
Tripura,26.05,24.82,22.94,14.92
Uttar Pradesh,7.57,9.97,9.33,10.16
Uttarakhand,9.74,9.88,6.74,8.11
West Bengal,16.15,15.91,15.85,16.16
Andaman and Nicobar Islands,4.45,4.34,4.38,3.97
Chandigarh,9.15,9.73,8.29,7.41
Dadra and Nagar Haveli,8.25,10.94,6.47,12.06
Daman and Diu,9.09,14.29,6.81,4.79
Delhi UT,8.61,7.06,5.34,5.19
Lakshadweep,13.85,18.00,5.26,14.29
Puducherry,2.00,1.94,3.06,3.55
All India (Total),6.99,7.02,7.19,7.45
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,
