"State/ut-wise cases registered under cruelty by husband or his relative (sec. 498a ipc) per 1,00,000 female population during the year",,,,
State/uT,2015,2016,2017,2018
Andhra Pradesh,23.95,25.13,27.68,26.27
Arunachal Pradesh,10.65,7.05,7.81,8.29
Assam,71.50,57.14,59.26,66.70
Bihar,7.93,7.21,6.90,4.47
Chhattisgarh,4.87,4.53,4.17,3.55
Goa,2.07,3.07,2.79,1.19
Gujarat,14.03,11.95,10.19,9.12
Haryana,28.36,25.69,25.35,31.16
Himachal Pradesh,7.01,6.36,5.48,5.11
Jammu and Kashmir,6.78,5.47,5.98,5.11
Jharkhand,10.21,5.72,6.00,5.71
Karnataka,8.94,8.05,7.29,6.36
Kerala,20.91,19.79,16.53,11.24
Madhya Pradesh,14.57,16.61,16.33,10.56
Maharashtra,13.46,12.61,11.41,11.77
Manipur,3.05,1.93,1.25,0.91
Meghalaya,3.24,1.66,1.27,1.13
Mizoram,1.76,3.31,3.45,1.02
Nagaland,0.36,0.30,0.29,0.29
Odisha,17.23,12.73,11.46,8.93
Punjab,11.90,11.35,8.59,10.44
Rajasthan,41.66,38.31,31.48,33.01
Sikkim,0.67,0.66,1.62,0.32
Tamil Nadu,5.52,3.36,2.62,2.09
Telangana,40.28,39.69,42.89,34.16
Tripura,26.94,22.57,18.08,15.58
Uttar Pradesh,8.48,10.77,12.07,13.34
Uttarakhand,7.89,7.45,7.38,11.52
West Bengal,44.56,41.49,35.86,35.93
Andaman and Nicobar Islands,5.93,3.80,2.16,2.15
Chandigarh,17.75,23.51,23.00,17.42
Dadra and Nagar Haveli,1.05,3.09,1.95,0.46
Daman and Diu,2.73,6.96,4.17,3.20
Delhi UT,37.98,44.28,30.62,37.45
Lakshadweep,5.00,6.25,6.06,3.03
Puducherry,0.54,2.06,0.67,1.04
All India (Total),18.76,17.61,16.53,16.05
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,
