State/ut,2015,2016,2017
Andhra Pradesh,51.59,45.27,59.82
Arunachal Pradesh,26.73,43.17,60.87
Assam,29.21,20.91,26.95
Bihar,9.35,6.00,30.53
Chhattisgarh,36.06,32.57,65.98
Goa,32.03,30.16,49.03
Gujarat,41.98,38.15,52.04
Haryana,28.07,33.78,43.29
Himachal Pradesh,42.20,43.20,47.98
Jammu and Kashmir,9.62,13.33,16.22
Jharkhand,42.54,44.24,51.34
Karnataka,35.55,33.70,45.36
Kerala,58.40,68.40,82.15
Madhya Pradesh,34.70,34.67,52.03
Maharashtra,33.85,33.10,43.09
Manipur,36.67,30.99,40.48
Meghalaya,39.77,61.04,86.19
Mizoram,87.44,88.63,94.74
Nagaland,23.81,32.95,58.97
Odisha,52.59,57.58,57.63
Punjab,35.07,34.11,44.04
Rajasthan,29.81,32.91,55.79
Sikkim,83.58,86.55,64.06
Tamil Nadu,54.79,52.08,61.54
Telangana,40.59,35.93,66.91
Tripura,51.34,56.07,66.18
Uttar Pradesh,39.64,33.82,58.28
Uttarakhand,24.43,32.70,59.27
West Bengal,29.96,29.47,37.68
Andaman and Nicobar Islands,37.50,53.76,62.62
Chandigarh,20.95,24.15,36.95
Dadra and Nagar Haveli,42.86,52.38,50.00
Daman and Diu,15.63,25.64,44.44
Delhi UT,18.90,19.86,29.44
Lakshadweep,50.00,100.00,100.00
Puducherry,82.46,69.77,90.67
All India (Total),34.80,33.81,49.90
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,
