State/ut-wise percentage of girls children reported trafficked out of total trafficked children during the year,,,,
State/uT,2015,2016,2017,2018
Andhra Pradesh,100.00,100.00,92.31,93.75
Arunachal Pradesh,0.00,100.00,0.00,0.00
Assam,100.00,73.85,87.70,87.70
Bihar,72.24,6.63,8.35,1.86
Chhattisgarh,41.18,56.52,68.89,55.45
Goa,100.00,100.00,100.00,66.67
Gujarat,100.00,71.75,100.00,100.00
Haryana,97.50,61.54,100.00,88.46
Himachal Pradesh,0.00,50.00,66.67,100.00
Jammu and Kashmir,100.00,0.00,100.00,0.00
Jharkhand,93.10,80.00,94.86,94.86
Karnataka,96.34,65.96,67.79,62.50
Kerala,15.15,78.31,61.29,72.41
Madhya Pradesh,60.00,36.08,61.98,60.27
Maharashtra,88.68,54.65,70.07,63.01
Manipur,0.00,77.78,61.54,100.00
Meghalaya,100.00,100.00,100.00,100.00
Mizoram,0.00,100.00,0.00,0.00
Nagaland,0.00,0.00,0.00,0.00
Odisha,78.46,52.43,48.72,68.70
Punjab,77.78,2.08,12.50,30.00
Rajasthan,65.08,27.63,4.18,7.24
Sikkim,0.00,100.00,100.00,100.00
Tamil Nadu,84.62,61.51,43.24,37.50
Telangana,83.05,100.00,90.32,50.00
Tripura,100.00,66.67,50.00,100.00
Uttar Pradesh,92.31,9.00,28.95,95.12
Uttarakhand,71.43,66.67,60.00,66.67
West Bengal,98.50,86.32,93.73,93.08
Andaman and Nicobar Islands,0.00,0.00,0.00,0.00
Chandigarh,77.78,100.00,0.00,0.00
Dadra and Nagar Haveli,0.00,0.00,0.00,0.00
Daman and Diu,0.00,100.00,0.00,0.00
Delhi,34.97,24.21,11.95,18.64
Lakshadweep,0.00,0.00,0.00,0.00
Puducherry,0.00,0.00,100.00,0.00
All India (Total),90.29,54.36,42.67,44.00
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,
