State/ut,2015-16
Andhra Pradesh,43.00
Assam,24.40
Bihar,42.70
Chhattisgarh,36.50
Gujarat,20.00
Haryana,31.90
Jharkhand,34.00
Karnataka,21.60
Kerala,14.00
Madhya Pradesh,32.80
Maharashtra,21.20
Odisha,34.90
Punjab,20.10
Rajasthan,24.80
Tamil Nadu,40.70
Telangana,42.90
Uttar Pradesh,36.40
West Bengal,32.60
Arunachal Pradesh,30.80
Delhi,26.80
Goa,12.30
Himachal Pradesh,5.50
Jammu and Kashmir,9.30
Manipur,52.60
Meghalaya,27.90
Mizoram,15.20
Nagaland,12.80
Sikkim,2.20
Tripura,27.70
Uttarakhand,12.60
Andaman and Nicobar Islands,17.90
Chandigarh,22.50
Dadra and Nagar Haveli,31.30
Daman and Diu,26.60
Lakshadweep,8.90
Puducherry,34.60
All India (Total),30.90
Source: Ministry of Health and Family Welfare (National Family Health Survey),
