,Child sex ratio (0-6) during 2011,,
State/uT,Total,Rural,urban
Andhra Pradesh,939,941,935
Arunachal Pradesh,972,975,957
Assam,962,964,944
Bihar,935,938,912
Chhattisgarh,969,977,937
Goa,942,945,940
Gujarat,890,914,852
Haryana,834,835,832
Himachal Pradesh,909,912,881
Jammu and Kashmir,862,865,850
Jharkhand,948,957,908
Karnataka,948,950,946
Kerala,964,965,963
Madhya Pradesh,918,923,901
Maharashtra,894,890,899
Manipur,930,923,949
Meghalaya,970,972,954
Mizoram,970,966,974
Nagaland,943,933,973
Odisha,941,946,913
Punjab,846,844,852
Rajasthan,888,892,874
Sikkim,957,964,934
Tamil Nadu,943,936,952
Tripura,957,960,947
Uttar Pradesh,902,906,885
Uttarakhand,890,899,868
West Bengal,956,959,947
Andaman and Nicobar Islands,968,976,954
Chandigarh,880,871,880
Dadra and Nagar Haveli,926,970,872
Daman and Diu,904,932,894
Delhi,871,814,873
Lakshadweep,911,911,911
Puducherry,967,953,975
All India (Total),919,923,905
"Source: Office of Registrar General of India, Ministry of Home Affairs",,,
