State/ut-wise cases registered under the prohibition of child marriage(p) act expressed as percentage of total cases registered under crime against children during the year,,,,
State/uT,2015,2016,2017,2018
Andhra Pradesh,0.75,1.03,0.63,0.52
Arunachal Pradesh,0,0,0,0
Assam,0.49,0.58,1.17,1.62
Bihar,0,0,0.32,0.48
Chhattisgarh,0.13,0.17,0.02,0.03
Goa,0,0,0,0
Gujarat,0.25,0.33,0.15,0.16
Haryana,0.43,0.45,0.43,0.43
Himachal Pradesh,0.21,0,0.95,1.17
Jammu and Kashmir,0,0,0,0
Jharkhand,0.25,0.56,0.08,0.47
Karnataka,0.88,1.14,1.1,1.19
Kerala,0.55,0.28,0.42,0.42
Madhya Pradesh,0.07,0.07,0.03,0.02
Maharashtra,0.17,0.11,0.12,0.07
Manipur,0,0,0,0
Meghalaya,0,0,0,0
Mizoram,0,0,0,0
Nagaland,0,0,0,0
Odisha,0.04,0.46,0.53,0.42
Punjab,0.27,0.43,0.38,0.26
Rajasthan,0.16,0.3,0.12,0.21
Sikkim,0,0,0,0
Tamil Nadu,2.94,1.93,1.56,1.61
Telangana,0.56,0.65,0.7,0.64
Tripura,0.78,0.36,0.36,0.37
Uttar Pradesh,0.04,0.02,0.02,0.02
Uttarakhand,0.16,0.15,0.12,0.15
West Bengal,0.81,0.59,0.75,1.11
Andaman and Nicobar Islands,0.98,1.16,0,0
Chandigarh,0,0,0.73,0.69
Dadra and Nagar Haveli,0,0,0,0
Daman and Diu,0,0,0,0
Delhi,0,0.01,0.01,0.01
Lakshadweep,0,0,0,0
Puducherry,0,7.04,0,0
All India (Total),0.31,0.3,0.31,0.35
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,
