State/ut,Percentage of currently married women aged 15-49 years having unmet need for family planning during 2015-16
Andhra Pradesh,4.60
Arunachal Pradesh,21.60
Assam,14.20
Bihar,21.20
Chhattisgarh,11.10
Goa,17.50
Gujarat,17.00
Haryana,9.30
Himachal Pradesh,15.70
Jammu and Kashmir,12.30
Jharkhand,18.40
Karnataka,10.40
Kerala,13.70
Madhya Pradesh,12.10
Maharashtra,9.70
Manipur,30.10
Meghalaya,21.20
Mizoram,20.00
Nagaland,22.30
Odisha,13.60
Punjab,6.20
Rajasthan,12.30
Sikkim,21.70
Tamil Nadu,10.10
Telangana,7.40
Tripura,10.70
Uttar Pradesh,18.00
Uttarakhand,15.50
West Bengal,7.50
Andaman and Nicobar Islands,15.50
Chandigarh,6.30
Dadra and Nagar Haveli,19.30
Daman and Diu,19.70
Delhi,15.00
Lakshadweep,16.90
Puducherry,8.30
All India (Total),12.90
Source: Ministry of Health and Family Welfare (National Family Health Survey),
