State/ut,2015-16,
,women,men
Andhra Pradesh,36.20,63.20
Assam,8.40,19.80
Bihar,10.00,24.70
Chhattisgarh,22.30,35.30
Gujarat,20.00,31.50
Haryana,30.40,42.80
Jharkhand,16.60,18.20
Karnataka,10.00,27.90
Kerala,41.80,46.30
Madhya Pradesh,19.20,27.70
Maharashtra,31.70,41.70
Odisha,21.00,32.60
Punjab,48.40,58.70
Rajasthan,20.90,36.20
Tamil Nadu,18.10,10.30
Telangana,34.90,53.80
Uttar Pradesh,18.00,24.90
West Bengal,20.20,25.90
Arunachal Pradesh,16.70,25.30
Delhi,-,-
Goa,34.30,35.70
Himachal Pradesh,28.00,43.40
Jammu and Kashmir,20.00,23.80
Manipur,38.00,57.50
Meghalaya,12.70,14.20
Mizoram,63.20,65.50
Nagaland,11.60,21.60
Sikkim,28.90,36.60
Tripura,26.80,33.00
Uttarakhand,31.10,32.20
Andaman and Nicobar Islands,-,-
Chandigarh,-,-
Dadra and Nagar Haveli,-,-
Daman and Diu,-,-
Lakshadweep,-,-
Puducherry,-,-
All India (Total),21.70,31.50
"Source: Ministry of Health and Family Welfare (National Family Health Survey), 
Note ‘ – ‘ data Under compilation",,
