State/ut-wise average wage earnings (rs.) per day from casual work other than public works in agriculture sector,,,,,,,,,,,,
State/uT,"July-Sep, 2017",,,"Oct-Dec, 2017",,,"Jan-mar, 2018",,,"Apr-Jun, 2018",,
,male,Female,Person,male,Female,Person,male,Female,Person,male,Female,Person
Andhra Pradesh,292,195,248,293,179,228,264,182,221,328,193,249
Arunachal Pradesh,-,-,-,-,-,-,320,-,320,-,-,-
Assam,227,150,209,252,149,216,277,153,250,223,175,208
Bihar,258,98,245,250,169,236,264,233,263,266,147,239
Chhattisgarh,169,154,161,151,124,140,138,124,132,131,138,133
Delhi,-,-,-,-,-,-,300,-,300,-,-,-
Goa,350,350,350,-,-,-,300,250,280,350,375,373
Gujarat,157,148,153,182,194,186,176,167,173,185,154,180
Haryana,269,195,248,258,230,243,375,269,346,324,155,250
Himachal Pradesh,314,100,270,350,200,301,385,-,385,373,300,354
Jammu and Kashmir,398,-,398,387,150,381,366,200,333,388,-,388
Jharkhand,216,120,211,227,220,226,199,220,201,244,-,244
Karnataka,258,149,216,270,164,222,281,153,229,250,163,207
Kerala,410,294,391,440,317,408,446,299,401,581,343,535
Madhya Pradesh,166,148,157,180,136,161,177,154,170,216,186,205
Maharashtra,199,134,169,216,137,176,222,138,181,212,129,180
Manipur,288,333,291,287,328,291,320,228,288,237,181,216
Meghalaya,296,250,277,-,-,-,400,300,350,-,-,-
Mizoram,293,300,298,342,299,327,313,-,313,350,312,333
Nagaland,246,-,246,381,-,381,334,-,334,371,350,370
Odisha,179,138,159,188,129,164,196,121,187,215,139,202
Punjab,290,239,281,295,250,286,285,236,275,300,200,282
Rajasthan,295,209,268,277,214,254,262,233,257,238,202,228
Sikkim,-,-,-,-,-,-,-,-,-,-,-,-
Tamil Nadu,282,166,244,298,178,244,330,177,257,332,178,263
Telangana,228,202,215,261,242,252,301,228,264,310,214,259
Tripura,302,221,292,301,217,281,305,-,305,333,304,323
Uttarakhand,288,250,279,265,233,252,280,227,257,256,242,251
Uttar Pradesh,183,170,180,196,168,193,199,161,191,217,179,209
West Bengal,183,167,180,200,184,198,214,152,199,210,180,204
Andaman and Nicobar Islands,-,-,-,350,-,350,500,500,500,500,-,500
Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-
Dadra and Nagar Haveli,120,-,120,-,-,-,200,-,200,200,150,175
Daman and Diu,-,-,-,-,-,-,-,-,-,-,-,-
Lakshadweep,416,-,416,616,-,616,505,-,505,-,-,-
Puducherry,326,132,268,336,100,276,306,102,181,302,125,294
All India,222,159,199,233,169,210,240,168,214,247,172,220
"Source: PLFS, National Sample Survey, NSO, MoSPI",,,,,,,,,,,,
