State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,45.2,47.7,92.2,138.8
Arunachal Pradesh,164.8,161.6,321.4,476.6
Assam,66.8,66.7,131.3,195.1
Bihar,34.6,34.1,67.0,99.1
Chhattisgarh,61.3,70.5,116.5,171.2
Goa,30.8,22.4,52.7,74.5
Gujarat,40.2,38.6,77.1,113.6
Haryana,61.1,58.1,116.6,171.4
Himachal Pradesh,135.3,132.0,264.5,393.1
Jammu and Kashmir,60.0,59.7,118.2,176.0
Jharkhand,65.6,65.6,128.3,190.1
Karnataka,55.7,56.1,110.4,164.7
Kerala,8.4,10.2,18.5,28.5
Madhya Pradesh,63.8,63.2,124.2,183.9
Maharashtra,51.9,47.3,97.8,143.3
Manipur,72.7,72.2,142.7,212.1
Meghalaya,146.0,136.2,277.8,408.7
Mizoram,25.0,23.8,48.0,70.9
Nagaland,34.3,33.1,66.4,98.3
Odisha,96.9,98.1,193.7,290.1
Punjab,66.9,61.6,126.9,186.5
Rajasthan,56.9,69.2,123.6,189.4
Sikkim,182.5,181.6,358.7,532.9
Tamil Nadu,29.5,30.9,59.9,90.2
Telangana,28.3,27.5,55.2,81.9
Tripura,22.7,21.8,43.9,64.8
Uttar Pradesh,42.7,43.3,84.2,125.2
Uttarakhand,81.7,98.0,176.5,270.2
West Bengal,35.3,36.5,71.0,106.6
Andaman and Nicobar Islands,125.1,124.7,248.0,370.2
Chandigarh,35.0,41.0,74.6,113.7
Dadra and Nagar Haveli,81.3,69.5,137.2,190.5
Daman and Diu,31.8,20.1,46.0,60.0
Delhi,97.0,96.4,187.7,276.7
Lakshadweep,0.0,0.0,0.0,0.0
Puducherry,6.5,7.1,13.1,19.6
All India (Total),49.5,50.1,97.8,145.6
Source: Reserve Bank of India,,,,
