State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,20.4,20.8,20.2,20.3
Arunachal Pradesh,14.9,16.0,16.8,13.9
Assam,11.0,11.3,11.3,10.9
Bihar,6.6,7.1,6.8,6.5
Chhattisgarh,11.1,13.9,11.6,11.5
Goa,67.5,69.4,67.7,65.7
Gujarat,17.9,18.3,17.7,17.0
Haryana,23.5,24.5,23.2,22.7
Himachal Pradesh,24.7,27.0,24.7,25.2
Jammu and Kashmir,18.0,18.6,18.9,19.5
Jharkhand,10.2,10.5,10.3,9.4
Karnataka,26.1,27.5,27.2,27.3
Kerala,26.1,27.3,27.7,27.4
Madhya Pradesh,12.4,12.5,12.5,12.5
Maharashtra,20.8,21.6,21.3,21.2
Manipur,10.2,10.5,11.0,10.7
Meghalaya,12.5,12.4,12.9,12.2
Mizoram,13.1,13.8,14.6,15.3
Nagaland,14.4,14.7,15.0,13.9
Odisha,14.5,15.3,16.1,15.8
Punjab,24.7,25.7,25.1,24.3
Rajasthan,11.9,12.2,12.4,13.8
Sikkim,28.5,28.6,30.1,27.2
Tamil Nadu,31.4,33.0,33.7,34.1
Telangana,27.0,28.9,28.2,27.0
Tripura,11.8,12.1,12.5,12.2
Uttar Pradesh,8.8,9.1,9.1,9.1
Uttarakhand,24.0,24.8,24.5,23.6
West Bengal,12.2,12.4,12.2,11.7
Andaman and Nicobar Islands,28.5,29.6,29.2,26.5
Chandigarh,69.0,71.6,56.1,60.4
Dadra and Nagar Haveli,26.3,29.6,28.1,28.0
Daman and Diu,36.5,37.2,29.4,25.8
Delhi,48.6,49.7,45.6,41.3
Lakshadweep,24.2,23.9,25.4,26.9
Puducherry,50.1,37.6,40.8,37.9
All India (Total),16.6,17.2,17.0,16.8
"Source: (a) Numerator: Reserve Bank of India (b) Denominator: Office of Registrar General of India, Ministry of Home Affairs",,,,
