State/ut-wise percentage of worker in usual status in informal sector among workers engaged in non-agriculture sector,
State/uT,2017-18
Andhra Pradesh,78.0
Arunachal Pradesh,48.9
Assam,61.6
Bihar,63.4
Chhattisgarh,74.6
Delhi,60.2
Goa,42.8
Gujarat,67.0
Haryana,67.0
Himachal Pradesh,48.3
Jammu and Kashmir,67.1
Jharkhand,66.4
Karnataka,65.3
Kerala,66.8
Madhya Pradesh,64.9
Maharashtra,56.7
Manipur,49.3
Meghalaya,46.8
Mizoram,44.2
Nagaland,20.3
Odisha,66.7
Punjab,74.0
Rajasthan,73.8
Sikkim,53.3
Tamil Nadu,59.6
Telangana,59.9
Tripura,66.7
Uttarakhand,54.6
Uttar Pradesh,85.4
West Bengal,76.6
Andaman and Nicobar Islands,52.5
Chandigarh,56.8
Dadra and Nagar Haveli,30.2
Daman and Diu,25.3
Lakshadweep,25.7
Puducherry,45.4
All-India,68.2
"Source: PLFS, NSO, Ministry of Statistics and Programme Implementation",
