State/ut,2016-17,2017-18,2018-19
Andhra Pradesh,161659,54517,38479
Arunachal Pradesh,249,212,502
Assam,916,1708,4213
Bihar,551947,99165,72473
Chhattisgarh,6512,8255,15081
Goa,1147,1194,2093
Gujarat,194849,193535,171331
Haryana,23683,29334,51264
Himachal Pradesh,1873,1893,4177
Jammu And Kashmir,2539,990,2416
Jharkhand,49503,21382,25722
Karnataka,47686,56526,85006
Kerala,23216,20567,27708
Madhya Pradesh,87064,206074,299510
Maharashtra,209447,190802,568286
Manipur,6525,6415,8856
Meghalaya,325,547,704
Mizoram,385,799,755
Nagaland,170,142,366
Odisha,41080,17745,14513
Punjab,20963,29018,59784
Rajasthan,102054,122925,127109
Sikkim,115,171,254
Tamil Nadu,267492,217963,232924
Telangana,57864,46184,89065
Tripura,1300,699,1551
Uttar Pradesh,401036,118536,123938
Uttarakhand,4643,5626,9488
West Bengal,81545,36442,31301
Andaman and Nicobar Islands,1059,1457,1488
Chandigarh,1403,1553,3192
Dadra and Nagar Haveli,711,785,1393
Daman and Diu,436,379,673
Delhi,20050,21963,44930
Lakshadweep,18,14,24
Puducherry,1731,2100,2693
All India(Total),"23,73,195","15,17,617","21,23,262"
Source: Ministry of Micro Small and Medium Enterprises,,,
