State/ut,2015-16,2016-17,2017-18,2018-19 (p)
Andhra Pradesh,125.2,133.3,140.8,157.9
Arunachal Pradesh,144.5,162.7,175.3,179.7
Assam,68.0,72.0,80.8,87.8
Bihar,44.6,45.8,47.9,50.5
Chhattisgarh,112.5,113.9,140.4,160.8
Goa,500.7,534.8,534.5,547.1
Gujarat,314.3,314.0,316.9,339.0
Haryana,424.9,422.9,432.9,415.1
Himachal Pradesh,226.0,249.0,230.2,227.4
Jammu and Kashmir,106.9,100.3,115.1,119.7
Jharkhand,84.0,88.6,96.6,103.4
Karnataka,180.8,187.5,205.3,216.0
Kerala,166.3,171.5,184.1,189.9
Madhya Pradesh,96.5,95.9,101.9,110.3
Maharashtra,162.2,172.0,183.5,186.9
Manipur,66.0,59.9,76.2,88.5
Meghalaya,141.3,144.4,163.4,166.0
Mizoram,103.7,107.5,114.1,127.2
Nagaland,64.3,66.8,72.2,77.9
Odisha,106.4,123.4,135.6,141.2
Punjab,215.2,229.1,245.0,255.0
Rajasthan,163.5,160.1,164.2,166.2
Sikkim,164.9,171.7,192.7,207.1
Tamil Nadu,176.0,184.1,193.2,199.9
Telangana,161.7,173.8,186.0,198.4
Tripura,57.8,58.5,64.0,64.0
Uttar Pradesh,75.2,79.8,84.6,91.1
Uttarakhand,150.2,146.9,150.8,170.6
West Bengal,78.7,82.2,90.3,96.2
Andaman and Nicobar Islands,473.0,489.5,530.9,558.0
Chandigarh,417.4,367.9,404.5,412.6
Dadra and Nagar Haveli,1198.5,1278.4,1169.7,1160.5
Daman and Diu,745.5,904.2,969.4,909.7
Delhi,298.3,291.4,298.4,291.7
Lakshadweep,232.7,213.8,225.7,235.0
Puducherry,418.5,436.0,445.5,435.6
All India Total,136.9,141.5,149.7,156.6
Source: Ministry of Petroleum and Natural Gas,,,,
