State/ut,Unemployment rate during 2017-18
Andhra Pradesh,4.5
Arunachal Pradesh,5.9
Assam,8.1
Bihar,7.2
Chhattisgarh,3.3
Delhi,9.7
Goa,13.9
Gujarat,4.8
Haryana,8.6
Himachal Pradesh,5.5
Jammu and Kashmir,5.3
Jharkhand,7.7
Karnataka,4.8
Kerala,11.4
Madhya Pradesh,4.5
Maharashtra,4.9
Manipur,11.6
Meghalaya,1.5
Mizoram,10.1
Nagaland,21.4
Odisha,7.1
Punjab,7.8
Rajasthan,5.0
Sikkim,3.5
Tamil Nadu,7.6
Telangana,7.6
Tripura,6.8
Uttarakhand,7.6
Uttar Pradesh,6.4
West Bengal,4.6
Andaman and Nicobar Islands,15.8
Chandigarh,9.0
Dadra and Nagar Haveli,0.4
Daman and Diu,3.1
Lakshadweep,21.3
Puducherry,10.3
All-India,6.1
"Source: PLFS, Ministry of Statistics and PI",
