State/ut-wise worker population ratio (wpr) according to usual status (ps+ss),,,,,,,,,
State/uT,Rural,,,urban,,,Rural + urban,,
,male,Female,Person,male,Female,Person,male,Female,Person
Andhra Pradesh,59.1,38.1,48.4,54.3,22.8,38.3,57.5,33.0,45.0
Arunachal Pradesh,48.8,10.0,31.4,44.8,6.7,26.9,48.2,9.5,30.7
Assam,54.7,8.1,32.7,57.8,11.0,34.6,55.0,8.4,32.9
Bihar,42.0,2.5,23.6,42.3,4.2,24.2,42.0,2.7,23.6
Chhattisgarh,55.6,38.8,47.5,54.5,20.8,37.9,55.4,35.3,45.7
Delhi,45.2,2.2,27.7,52.2,10.1,33.0,51.9,9.9,32.8
Goa,56.8,20.4,37.8,49.9,16.8,32.6,52.7,18.3,34.7
Gujarat,55.3,16.5,37.0,56.7,12.2,35.1,55.9,14.7,36.2
Haryana,47.8,9.6,29.7,52.3,9.3,32.0,49.4,9.5,30.5
Himachal Pradesh,55.1,40.0,47.4,54.3,16.9,37.9,55.0,37.9,46.4
Jammu and Kashmir,55.4,22.9,39.9,53.2,13.9,34.0,54.9,21.0,38.6
Jharkhand,46.9,10.5,29.2,43.4,9.6,26.7,46.2,10.3,28.8
Karnataka,58.5,21.1,39.8,54.1,16.8,35.4,56.8,19.5,38.1
Kerala,50.9,16.6,32.7,50.0,16.0,32.0,50.5,16.4,32.4
Madhya Pradesh,56.3,25.6,41.7,53.7,14.7,34.5,55.7,22.9,40.0
Maharashtra,55.7,28.9,42.7,53.7,14.9,34.6,54.9,22.8,39.2
Manipur,49.3,13.9,32.3,45.6,17.4,31.5,48.3,14.9,32.1
Meghalaya,49.4,37.3,43.2,47.4,21.0,33.7,49.0,34.2,41.5
Mizoram,56.5,20.4,39.1,46.1,20.2,32.5,51.7,20.3,36.0
Nagaland,43.0,8.3,26.4,40.2,9.1,24.7,42.2,8.6,25.9
Odisha,53.8,14.4,34.1,53.4,11.7,32.1,53.7,14.0,33.8
Punjab,54.3,9.9,32.8,56.3,12.3,35.5,55.1,10.8,33.8
Rajasthan,48.2,21.5,35.2,49.5,9.8,30.7,48.5,18.8,34.2
Sikkim,60.3,34.9,47.7,62.1,25.2,45.1,60.8,32.4,47.0
Tamil Nadu,55.9,29.4,42.5,56.7,20.4,38.3,56.3,25.2,40.5
Telangana,53.6,29.9,42.0,53.8,15.9,35.2,53.7,24.2,39.3
Tripura,56.8,8.2,33.9,55.0,11.8,33.5,56.4,9.0,33.8
Uttarakhand,47.7,14.2,31.0,51.4,7.3,29.8,48.8,12.3,30.7
Uttar Pradesh,47.1,9.6,28.7,48.5,7.3,28.8,47.4,9.1,28.7
West Bengal,59.0,15.2,37.4,56.3,17.4,37.0,58.2,15.9,37.3
Andaman and Nicobar Islands,60.4,13.5,37.2,57.9,16.2,37.8,59.4,14.5,37.4
Chandigarh,53.8,8.0,30.2,56.3,15.5,35.8,56.2,15.1,35.6
Dadra and Nagar Haveli,55.1,36.2,46.1,67.4,15.7,45.6,61.7,26.4,45.8
Daman and Diu,54.6,22.4,39.5,71.5,18.5,53.1,69.2,19.3,50.9
Lakshadweep,53.4,7.8,31.6,43.5,7.0,23.5,46.8,7.2,26.0
Puducherry,46.1,5.2,25.6,51.6,14.0,32.5,49.7,10.9,30.1
All India,51.7,17.5,35.0,53.0,14.2,33.9,52.1,16.5,34.7
"Source: PLFS, National Sample Survey, NSS, MoSPI",,,,,,,,,
