State/ut-wise average wage/salary earnings during the preceding calendar month from regular wage/salaried employment among the regular wage salaried employees in current weekly status during,,,,,,,,,,,,
State/uT,"July-Sep, 2017",,,"Oct-Dec, 2017",,,"Jan-mar, 2018",,,"Apr-Jun, 2018",,
,male,Female,Person,male,Female,Person,male,Female,Person,male,Female,Person
Andhra Pradesh,19315,17855,18932,18916,15328,17979,18892,11735,16566,19435,13196,17451
Arunachal Pradesh,22910,13923,20753,26007,15796,24364,28796,19212,27621,29033,20836,28117
Assam,17529,11865,15916,19268,9586,16436,18222,10240,16031,17376,12892,16300
Bihar,15329,14243,15236,15815,12980,15448,16369,12848,15771,17472,14350,16996
Chhattisgarh,13361,10916,13006,14810,8281,13599,14926,10795,14033,15994,10498,14794
Delhi,14351,16032,14695,21320,20859,21240,21074,24735,21597,19753,13825,18761
Goa,23634,20373,22318,28605,23320,26883,25264,24180,24920,25930,20861,24211
Gujarat,13805,9649,13124,14986,12083,14542,15626,12657,15138,15281,10942,14528
Haryana,16889,17978,17021,18041,20283,18333,19050,22776,19450,18817,19376,18890
Himachal Pradesh,18655,12863,17687,18977,18034,18797,18009,14301,17347,19194,14253,18260
"Jammu and 
Kashmir",21680,19231,21193,20637,18602,20302,20851,19005,20520,21216,21118,21197
Jharkhand,22511,12970,20465,20308,11323,18547,21863,11828,19846,22593,11303,20460
Karnataka,18953,12000,16774,17764,13859,16658,20122,13653,18280,18806,13243,17377
Kerala,17941,15495,17082,18325,17742,18102,18424,18144,18315,19701,19055,19433
Madhya Pradesh,15878,11625,14997,17001,16560,16906,15827,13339,15291,16078,15430,15951
Maharashtra,17674,13374,16649,18922,15303,18135,19652,15800,18822,19551,15831,18736
Manipur,21119,20789,21018,20942,17430,19783,22982,17810,21428,22900,17161,21399
Meghalaya,23657,17030,21102,23294,15964,20276,24220,16864,21206,22864,17093,20467
Mizoram,23902,22376,23371,24205,24317,24242,24200,22605,23643,24155,23240,23848
Nagaland,20724,14852,19616,20550,13898,19494,20318,17161,19808,20976,16771,20249
Odisha,16244,11579,15669,15882,11055,14938,17927,11330,16522,16879,10714,15785
Punjab,16025,20612,16963,14453,15578,14680,15878,15381,15779,15939,15284,15791
Rajasthan,16212,14121,15908,16614,17246,16703,16823,15975,16692,17159,15357,16907
Sikkim,13922,15011,14295,15033,12143,14311,15511,13251,14894,16848,15483,16412
Tamil Nadu,15597,11442,14306,15949,12306,14859,16186,11325,14787,16871,12063,15442
Telangana,20461,9307,18305,20245,11226,18453,19206,11861,17722,20238,11901,18624
Tripura,17191,12081,16280,16248,11790,15272,19515,13628,18089,17959,13728,17087
Uttarakhand,16499,11926,15654,15997,11428,15201,18248,13340,17385,17520,13611,16821
Uttar Pradesh,15875,16416,15956,16193,16113,16180,15764,17864,16068,16386,20490,16999
West Bengal,13539,10266,12774,13490,9374,12539,14268,8642,12897,13483,7649,11979
"Andaman and 
Nicobar Islands",26632,14730,24740,33308,35656,33821,31691,27800,30641,31916,29428,31217
Chandigarh,18937,13563,17506,21331,15258,20002,19179,14426,18099,17515,14271,16710
"Dadra and Nagar 
Haveli",20255,47686,22239,13142,21524,13692,14044,15807,14205,15810,11839,15289
Daman and Diu,17367,7704,17016,14231,4383,13410,13105,6342,12430,11764,6636,11044
Lakshadweep,23651,26363,24491,33993,38778,35838,32851,25200,31769,-,-,-
Puducherry,17127,13351,15821,16873,14269,15858,16743,15564,16349,19486,15815,18363
All-India,16602,13209,15845,17231,14192,16566,17663,13976,16850,17698,13890,16848
"Source: PLFS, National Sample Survey, NSO, MoSPI",,,,,,,,,,,,
