State/ut-wise unemployment rate in usual status (ps+ss) among persons of age 15-24 years during the year,
State/uT,2017-18
Andhra Pradesh,22.2
Arunachal Pradesh,33.6
Assam,36.2
Bihar,31.6
Chhattisgarh,12.7
Delhi,30.8
Goa,41.9
Gujarat,20.1
Haryana,28.0
Himachal Pradesh,24.8
Jammu and Kashmir,17.0
Jharkhand,26.5
Karnataka,23.7
Kerala,47.8
Madhya Pradesh,16.5
Maharashtra,20.8
Manipur,44.4
Meghalaya,6.8
Mizoram,46.2
Nagaland,67.5
Odisha,33.5
Punjab,30.3
Rajasthan,18.9
Sikkim,16.2
Tamil Nadu,36.9
Telangana,34.8
Tripura,31.5
Uttarakhand,39.1
Uttar Pradesh,21.1
West Bengal,19.5
Andaman and Nicobar Islands,43.7
Chandigarh,16.8
Dadra and Nagar Haveli,0.4
Daman and Diu,8.6
Lakshadweep,64.5
Puducherry,44.5
All India,24.2
"Source: PLFS, National Sample Survey, NSS, MoSPI",
