State/ut,2015,2016,2017,2018
Andhra Pradesh,5.34,4.64,4.21,4.61
Arunachal Pradesh,2.31,1.37,0.00,2.01
Assam,46.40,2.73,7.78,7.70
Bihar,3.69,0.37,1.04,1.07
Chhattisgarh,2.69,3.00,1.71,1.79
Goa,14.72,26.40,25.59,35.85
Gujarat,0.75,8.37,0.14,0.19
Haryana,10.10,1.85,0.79,1.20
Himachal Pradesh,1.27,1.12,1.52,0.83
Jammu and Kashmir,0.16,0.00,0.08,0.07
Jharkhand,5.16,3.03,10.22,10.07
Karnataka,8.18,6.27,0.48,0.41
Kerala,4.25,0.61,1.52,3.00
Madhya Pradesh,1.23,0.64,1.08,0.77
Maharashtra,3.53,4.34,2.58,2.56
Manipur,0.00,0.99,2.62,0.97
Meghalaya,7.27,2.23,2.52,7.50
Mizoram,0.00,1.72,1.71,1.69
Nagaland,2.54,0.00,0.00,0.00
Odisha,2.70,1.94,1.45,1.72
Punjab,2.97,0.44,0.17,0.57
Rajasthan,1.81,19.07,4.18,1.12
Sikkim,0.00,1.55,4.60,1.52
Tamil Nadu,8.34,5.81,0.17,0.11
Telangana,15.34,6.27,8.95,6.54
Tripura,4.21,0.00,0.51,0.50
Uttar Pradesh,0.23,0.36,0.21,0.16
Uttarakhand,2.56,1.11,1.83,2.62
West Bengal,13.49,37.56,3.72,1.78
Andaman and Nicobar Islands,1.82,2.55,0.00,0.00
Chandigarh,7.47,0.88,0.00,0.00
Dadra and Nagar Haveli,4.76,0.00,0.00,0.00
Daman and Diu,3.13,20.65,2.72,0.00
Delhi UT,4.17,3.51,4.95,5.01
Lakshadweep,0.00,0.00,0.00,0.00
Puducherry,0.61,0.00,0.69,0.00
All India (Total),5.46,6.30,2.18,1.86
"Source:National Crime Records Bureau, Ministry of Home Affairs",,,,
