State/ut,2015,2016
Andhra Pradesh,146,315
Arunachal Pradesh,-,-
Assam,48,53
Bihar,198,195
Chhattisgarh,124,137
Goa,79,59
Gujarat,1722,1441
Haryana,80,107
Himachal Pradesh,27,40
Jammu and Kashmir,-,3
Jharkhand,144,90
Karnataka,684,518
Kerala,346,176
Madhya Pradesh,392,388
Maharashtra,1616,1502
Manipur,-,-
Meghalaya,-,3
Mizoram,-,-
Nagaland,-,-
Odisha,222,215
Punjab,121,138
Rajasthan,604,148
Sikkim,-,-
Tamil Nadu,414,448
Telangana,96,119
Tripura,7,4
Uttar Pradesh,96,109
Uttarakhand,42,54
West Bengal,13978,111
A & N Island,-,-
Chandigarh,-,-
Dadra and Nagar Haveli,70,54
Delhi,26,36
Lakshadweep,-,-
Puducherry,21,22
All India,21364,6556
Source: Ministry of Labour and Employment,,
