State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,199102440,205508721,212091763,246547958
Arunachal Pradesh,5045988,8537936,4280402,6869807
Assam,48607427,46398370,48086383,53315177
Bihar,66816211,85434897,81719613,123396992
Chhattisgarh,101393906,88592291,119929309,138603920
Goa,107292,126266,99409,14959
Gujarat,22539290,27106015,35308845,41961317
Haryana,4847898,8492150,9037119,7789655
Himachal Pradesh,17770877,23660081,22005740,28519935
Jammu And Kashmir,30747832,30230839,37090422,36917189
Jharkhand,58565143,70740898,59274361,45314443
Karnataka,59825755,91368473,85699469,53711697
Kerala,74173662,68461856,61959450,97525767
Madhya Pradesh,123724421,113007747,162246202,202976034
Maharashtra,76329382,70898581,82532128,84600708
Manipur,7533302,11903335,6124949,11739107
Meghalaya,19970566,28250621,29187557,34215249
Mizoram,13125632,16822966,14438158,18121863
Nagaland,21206777,29070705,20003241,13285447
Odisha,89277973,77347255,92211248,83050228
Punjab,14433841,15773309,22310598,20447384
Rajasthan,234121104,259668325,239774262,294246300
Sikkim,4383811,4611787,3460551,3355302
Tamil Nadu,368674726,399942429,238880592,257696793
Telangana,142121657,108164866,114772843,117729172
Tripura,53824344,46060581,17603744,25308683
Uttar Pradesh,181772936,156964465,181515492,212153262
Uttarakhand,22394628,23667408,22302342,22182135
West Bengal,286403332,235457649,312555451,338305538
Andaman And Nicobar,267755,411938,190408,193908
Lakshadweep,3217,110,5897,10161
Puducherry,561746,537393,726241,664451
Total,2349674871,2353220263,2337424189,2679912271
"Source:Department of Rural Development, Ministry of Rural Development",,,,
