Goal,Target,Indicator,Desc,Source,Data Reference Period,Periodicity,Unit of Measurement,Latest Data Availability,url
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.1: Sustain per capita economic growth in accordance with national circumstances and, 
in particular, at least 7 per cent gross domestic product growth per annum in the least 
developed countries",8.1.1: Annual growth rate of GDP (adjusted to price changes) per capita,"The Indicator is defined as Percentage change in Annual growth rate of real GDP per capita 
a) Numerator: Real GDP per capita of current year - Real GDP per capita of previous year 
b) Denominator: Real GDP per capita of previous year 
c) multiplier: 100","National Accounts Division (NAD), National Statistical Office (NSO), Ministry of Statistics 
and Programme Implementation (MoSPI)",2015-16,Annual,Percent,2017-18,http://www.mospi.nic.in/data
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.2: Achieve higher levels of economic productivity through diversification, technological 
upgrading and innovation, including through a focus on high-value added and labour-in-
tensive sectors","8.2.2: Total number of patent issued 
(similar to Indicators 8.3.6 and 9.5.3)","a) Numerator: Total number of patents application filed and granted [patent database of 
Office of Controller General of Patent, Design and Trademarks (CGPDTM)] 
b) Denominator: Nil 
c) multiplier: Nil 
Patent: A patent is a form of intellectual property. It is an exclusive right granted for an 
invention.","Annual Report 2016-17, ‘Office of Controller General of Patent, Design and Trademarks’, 
Department for Promotion of Industry and Internal Trade (DPIIT), (Controller General of 
Patents, Designs and Trademarks))",2015-16,Annual,In Number,2017-18,"https://ipindiaservices.gov.in/ https://www.ipindia.nic.in/annual-reports-ipo.htm 
http://www.ipindia.nic.in/writereaddata/Portal/IPOAnnualReport/1_94_1_1_79_1_An-
nual_Report-2016-17_English.pdf"
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.2: Achieve higher levels of economic productivity through diversification, technological 
upgrading and innovation, including through a focus on high-value added and labour-in-
tensive sectors",8.2.3: Annual growth in manufacturing sector,"Indicator is defined as: Percentage change in Annual growth in manufacturing sector 
a) Numerator: Gross value added (GVA) (at constant price) of manufacturing sector for the 
reference year - Gross value added (GVA) (at constant price) of manufacturing sector for 
the year previous to the reference year. 
b) Denominator: Gross value added (GVA) (at constant price) of manufacturing sector for 
the year previous to the reference year 
c) multiplier: 100","National Accounts Division (NAD), National Statistical Office (NSO), Ministry of Statistics & 
Programme Implementation (MoSPI)",2015-16,Annual,In Percentage,2017-18,http://www.mospi.nic.in/data
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.2: Achieve higher levels of economic productivity through diversification, technological 
upgrading and innovation, including through a focus on high-value added and labour-in-
tensive sectors",8.2.4: Annual growth in agriculture sector,"Indicator is defined as percentage: Change in Annual growth in agriculture sector 
a) Numerator: Gross Value Added (at constant prices) of agriculture sector for the ref-
erence year - Gross Value Added (at constant prices) of agriculture sector for the year 
previous to the reference year. 
b) Denominator: Gross Value Added (at constant prices) of agriculture sector for the year 
previous to the reference year. 
c) multiplier: 100",Ministry of Statistics & Programme Implementation,2015-16,Annual,Percentage,2017-18,http://www.mospi.nic.in/data
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.3: Promote development -oriented policies that support productive activities, decent 
job creation, entrepreneurship, creativity and innovation, and encourage the formalization 
and growth of micro- small - and medium-sized enterprises, including through access to 
financial services","8.3.1: Percentage of workers in informal sector among total workers engaged in non-agri-
culture sector","The indicator refers to percentage of workers in usual status (ps+ss) in informal sector 
among total workers in usual status (ps+ss) engaged in non-agriculture sector. 
a) Numerator: Number of workers in proprietary and partnership enterprises engaged in 
non-agriculture sector in usual status (ps+ss) 
b) Denominator:  Number of workers engaged in non-agriculture sector in usual status 
(ps+ss) 
c) multiplier: 100","NSS, MoSPI",2017-18,Annual,Percentage,2017-18,"PLFS Annual Report 
NSS report is available in the website: www.mospi.nic.in"
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.3: Promote development-oriented policies that support productive activities, decent job 
creation, entrepreneurship, creativity and innovation, and encourage the formalization 
and growth of micro-small - and medium-sized enterprises, including through access to 
financial services",8.3.4: Number of MSME units registered under the online Udyog Aadhaar registration,"The indicator refers to total number of MSMEs registered on Udyog Aadhaar Memoran-
dum (UAM) portal of Ministry of Medium Small and Micro Enterprises as on 31st March of 
the reference year. 
a) Numerator: Total number of MSMEs registered on Udyog Aadhaar Memorandum (UAM) 
portal during reference year   
b) Denominator: Nil   
c) multiplier: Nil   
Udyog Aadhaar is a twelve-digit Unique Identification Number provided by the Ministry of 
Micro, Small and Medium Enterprises, Government of India for small and medium enter-
prises in India. It is also known as Aadhaar for Business.","Ministry of Micro, Small and Medium Enterprises",2016-17,Annual,Number,2018-19,https://udyogaadhaar.gov.in/UA/UAM_Registration.aspx
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.3: Promote development-oriented policies that support productive activities, decent job 
creation, entrepreneurship, creativity and innovation, and encourage the formalization 
and growth of micro, small and medium-sized enterprises, including through access to 
financial services",8.3.5: Number of start-ups recognized under Start-up India,"a) Numerator: Total number of Start-up recognized under Startup India scheme during the 
calendar reference year. 
b) Denominator: Nil 
c) multiplier: Nil 
Start-up India is a flagship initiative of the Government of India, intended to build a strong 
ecosystem that is conducive for the growth of start-up businesses, to drive sustainable 
economic growth and generate large scale employment opportunities.","Start-up India, Department for Promotion of Industry and Internal Trade (DPIIT), Ministry 
of Commerce and Industry.",2015-16,Annual,Number,2017-18,https://www.startupindia.gov.in/
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.3: Promote development-oriented policies that support productive activities, decent job 
creation, entrepreneurship, creativity and innovation, and encourage the formalization 
and growth of micro-small - and medium-sized enterprises, including through access to 
financial services","8.3.9: Outstanding Credit to Micro, Small and Medium Enterprises","The indicator refers as total loans outstanding to micro, small and medium enterprises 
availed through Scheduled Commercial Banks (excluding RRBs). It will indicate overall cred-
it flow to the sector as also enable to assess the formalization of such enterprises. 
a) Numerator: Total outstanding credit(loan) to MSMEs during the reference year (as on 
31st March) 
b) Denominator: Nil 
c) multiplier: Nil","Ministry of Micro, Small and Medium Enterprises",2015-16,Annual,Percentage,2018-19,NA
"8: Promote sustained, inclusive and sustainable economic growth, full and productive 
employment and decent work for all","8.4: Improve progressively, through 2030, global resource efficiency in consumption and 
production and Endeavour to decouple economic growth from environmental degradation, 
in accordance with the 10 Year Framework of Programmes on Sustainable Consumption 
and Production, with developed countries taking the lead",8.4.2: Per capita fossil fuel consumption,"This indicator is defined as Total fossil fuel consumption to the total population of India. 
Only petroleum products have been considered for fossil fuel consumption. Also, total 
consumption includes private sales by oil companies and excludes direct private imports. 
a) Numerator:  Total fossil fuel consumption during reference year 
b) Denominator:  Mid-year population during reference year 
c) multiplier: Nil",Ministry of Petroleum & Natural Gas (MoPNG),2015-16,Annual,Rate per kg,2018-19,NA
"8:Promotesustained,inclusiveandsustainableeconomicgrowth,fullandproductiveemploy-
mentand decent work for all","8.4: Improve progressively, through 2030, global resource efficiency in consumption and 
production and Endeavour to decouple economic growth from environmental degradation, 
in accordance with the 10Year Framework of Programmes on Sustainable Consumption 
and Production, with developed countries taking the lead",8.4.3: Proportion of waste recycled vs. waste generated,"H
 a
This indicator Indicates the percentage of hazardous waste recyclable. 
azardous waste is waste that is dangerous or may become dangerous to the environ-
ment or people’s health. 
municipal waste is defined at national level as wastes consisting of everyday items.  These 
wastes come from household, institutions and commercial establishments. 
E-waste or Electronic waste is created when an electronic product is discarded after the 
end of its useful life.  Electronic waste or e-waste may be defined as discarded computers, 
office electronic equipment, entertainment device electronics, mobile phones, television 
sets, and refrigerators. This includes used electronics which are destined for reuse, resale, 
salvage, and repairable electronics) and secondary scraps (copper, steel, plastic, etc.). 
) Numerator: Quantity of hazardous waste recyclable 
b) Denominator: Quantity of hazardous waste generated 
c) multiplier: 100","CP Division, MoEF&CC",2017-18,Annual,Percentage,2017-18,CPCB’s web-site;
