State/ut-wise percentage of workers in usual status (ps+ss) engaged in manufacturing sector among total workers in usual status (ps+ss) during the year,
State/uT,2017-18
Andhra Pradesh,9.7
Arunachal Pradesh,1.5
Assam,6.7
Bihar,8.9
Chhattisgarh,4.4
Delhi,23.7
Goa,18.0
Gujarat,20.0
Haryana,19.5
Himachal Pradesh,6.2
Jammu and Kashmir,7.4
Jharkhand,8.7
Karnataka,12.3
Kerala,11.3
Madhya Pradesh,6.1
Maharashtra,11.7
Manipur,12.1
Meghalaya,1.8
Mizoram,4.2
Nagaland,5.7
Odisha,7.4
Punjab,18.9
Rajasthan,9.1
Sikkim,6.9
Tamil Nadu,19.5
Telangana,12.3
Tripura,7.0
Uttarakhand,9.4
Uttar Pradesh,11.4
West Bengal,17.8
Andaman and Nicobar Islands,6.1
Chandigarh,15.2
Dadra and Nagar Haveli,57.4
Daman and Diu,61.3
Lakshadweep,1.3
Puducherry,17.4
All India,12.1
"Source: PLFS, National Sample Survey, NSO, Ministry of Statistics and Programme Implementation",
