Service area,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,1264.46,2365.41,3572.48,4896.64
Assam,871.33,1475.09,2185.89,2995.49
Bihar,422.69,863.87,1457.72,2328.53
Gujarat,1880.95,3231.43,4201.73,5029.19
Haryana,3551.44,6617.15,9916.32,12855.29
Himachal Pradesh,4521.13,9595.82,11094.06,18526.44
Jammu and Kashmir,957.36,1881.18,4942.37,3623.98
Karnataka,219.48,441.64,716.36,922.93
Kerala,3404.71,5445.87,7712.91,10040.57
Madhya Pradesh,783.66,1197.57,1664.17,2076.42
Maharashtra,444.94,827.23,1131.17,1374.41
North East,5608.88,10657.38,14757.38,24575.53
Odisha,3248.95,5452.76,8037.6,10860.14
Punjab,2875.16,4759.16,6235.96,7557.09
Rajasthan,219.09,393.74,608.4,781.25
Tamil Nadu,407.89,840.63,1271.2,1881.56
Uttar Pradesh (East),475.96,505.6,694.39,904.81
Uttar Pradesh (West),,,,
West Bengal,1884.55,2860.14,4164.81,5064.85
Kolkata,3657.69,9416.14,16199.83,23041.66
Delhi,2502.81,5197.76,8669.29,11936.98
Mumbai,2456.41,4589.26,6486.31,9312.82
All India,1178.81,2152.19,3175.67,4288.92
"Source: Department of Telecommunications, Ministry of Communications",,,,
