Goal,Target,Indicator,Desc,Source,Data Reference Period,Periodicity,Unit of Measurement,Latest Data Availability,url
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture","2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people 
in vulnerable situations, including infants, to safe, nutritious and sufficient food all year 
round",2.1.1: Percentage of children aged under 5 years who are underweight,"This indicator is defined as the percentage of children under 5 years of age (i.e. 0 - 59 
months) whose weight-for-age is below minus 2 times standard deviations of the WHO 
Child Growth Standards median. 
a) Numerator: Children aged 0-59 months who are underweight 
b) Denominator: Number of children in age group 0-59 months 
c) multiplier: 100",Ministry of Health & family Welfare (National Family Health Survey (NFHS)),2015-16,3 years,Percentage,2015-16,http://rchiips.org/nfhs
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture","2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people 
in vulnerable situations, including infants, to safe, nutritious and sufficient food all year 
round",2.1.2: Proportion of population (families) covered under National Food Security Act 2013,"The indicator is defined as number of families/persons identified under NFSA as percent-
age of accepted number of persons covered under NFSA. 
a) Numerator: Families/persons identified under NFSA 
b) Denominator: Accepted number of persons covered under NFSA 
c) multiplier: 100",Ministry of Consumer Affairs Food & Public Distribution,2015-16,Annual,Percentage,2018-19,NA
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture","2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the international-
ly agreed targets on stunting and wasting in children under 5 years of age, and address the 
nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.1: Percentage of children under age 5 years who are stunted,"This indicator is defined as percentage of children aged 0-59 months who are stunted 
(short for age i.e. children whose height-for-age is below minus 2 times standard deviation 
from the WHO Child Growth Standards median). 
a) Numerator: Stunted children aged 0-59 months 
b) Denominator: Total number of children age 0-59 months whose height is measured 
c) multiplier: 100",Ministry of Health & family Welfare (National Family Health Survey (NFHS)),2015-16,3 years,Percentage,2015-16,http://rchiips.org/nfhs
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture","2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the international-
ly agreed targets on stunting and wasting in children under 5 years of age, and address the 
nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.2: Percentage of children under 5 years who are wasted,"This indicator is defined as percentage of Children aged 0-59 months who are wasted 
(children whose weight-for-height is below minus - 2 times standard deviation of the 
WHO Child Growth Standards median.) 
a) Numerator: Number of wasted children aged 0-59 
b) Denominator: Number of children aged 0-59 months whose weight is measured 
c) multiplier: 100",Ministry of Health & family Welfare (National Family Health Survey (NFHS)),2015-16,3 years,Percentage,2015-16,http://rchiips.org/nfhs
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture","2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the international-
ly agreed targets on stunting and wasting in children under 5 years of age, and address the 
nutritional needs of adolescent girls, pregnant and lactating women and older persons","2.2.3: Percentage of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/
sq. meter)","The Body Mass Index (BMI) is defined as the body mass divided by the square of the body 
height and is universally expressed in units of kg/sq. meter. 
a) Numerator: Number of women age 15-49 years with BMI <18.5 kg/sq. meter) 
b) Denominator: Total number of women age 15-49 years whose height and weight are 
measured 
c) multiplier: 100",Ministry of Health & family Welfare (National Family Health Survey (NFHS)),2015-16,3 years,Percentage,2015-16,http://rchiips.org/nfhs
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture","2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the international-
ly agreed targets on stunting and wasting in children under 5 years of age, and address the 
nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.4: Percentage of pregnant women age 15-49 years who are anaemic (Hb<11.0 g/dl),"This indicator is defined as percentage of pregnant women age 15-49 years who are 
anaemic (Hb<11.0 g/dl) 
a) Numerator: Number of pregnant women aged 15-49 years who are anaemic 
b) Denominator: Number of pregnant women aged 15-49 years whose Hb level is meas-
ured 
c) multiplier: 100 
Note: g/dl refer as gram per deciliter",Ministry of Health & family Welfare (National Family Health Survey (NFHS)),2015-16,3 years,Percentage,2015-16,http://rchiips.org/nfhs
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture","2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the international-
ly agreed targets on stunting and wasting in children under 5 years of age, and address the 
nutritional needs of adolescent girls, pregnant and lactating women and older persons",2.2.5: Percentage of children age 6-59 months who are anaemic (Hb<11.0 g/dl),"a) Numerator: Number of anaemic children aged 6-59 months 
b) Denominator: Number of children aged 6-59 months whose Haemoglobin level is 
measured 
c) multiplier: 100 
Note: (g/dl refer as gram per deciliter)",Ministry of Health & family Welfare (National Family Health Survey (NFHS)),2015-16,3 years,Percentage,NFHS-4 (2015-16)(NRT 10.12),http://rchiips.org/nfhs
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture.","2.3: By 2030, double the agricultural productivity and incomes of small-scale food pro-
ducers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, 
including through secure and equal access to land, other productive resources and inputs, 
knowledge, financial services, markets and opportunities for value addition and non-farm 
employment",2.3.1: Agriculture productivity of wheat and rice (kg per hectare),"a) Numerator: Production of wheat and rice 
b) Denominator: Area under wheat and rice cultivation 
c) multiplier: 100","Department of Agriculture, Cooperation and Farmers Welfare (DoAC&FW), Ministry of 
Agriculture and Farmers Welfare (MoA&FW)",2015-16,Annual,Kg per hectare,2018-19,http://agricoop.nic.in/ https://eands.dacnet.nic.in/
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture.","2.3: By 2030, double the agricultural productivity and incomes of small-scale food pro-
ducers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, 
including through secure and equal access to land, other productive resources and inputs, 
knowledge, financial services, markets and opportunities for value addition and non-farm 
employment",2.3.2: Gross Value Added in Agriculture per worker,"a) Numerator: GVA in Agriculture & Allied sectors (at constant price) 
b) Denominator: Total number of agricultural workers 
c) multiplier: Nil","Agriculture Statistics Division, DES, Ministry of Agriculture & Farmers Welfare",2015-16,Annual,Rs. Per Worker,2017-18,http://www.mospi.nic.in/data
"2: End hunger, achieve food security and improved nutrition and promote sustainable 
agriculture.","2.3: By 2030, double the agricultural productivity and incomes of small-scale food pro-
ducers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, 
including through secure and equal access to land, other productive resources and inputs, 
knowledge, financial services, markets and opportunities for value addition and non-farm 
employment",2.3.3: Ratio of institutional Credit to Agriculture to the Agriculture output,"The indicator measures flow of institutional credits to farm sector of agriculture. It is ratio 
of agriculture credits to agriculture Gross Value Added (GVA). 
a) Numerator: Short term credits to farm sector (agriculture) 
b) Denominator: Gross Value Added from crop sector (at constant prices). 
c) multiplier: Nil","a) Numerator: Ministry of Agriculture & Farmers Welfare 
b) Denominator: National Accounts Division, NSO, MoSPI",2015-16,Annual,In ratio,2017-18,http://www.mospi.gov.in/node/17651 (Statement No. 8.11)
