ISO-3166-2 District Abbr,Name,HQ,Pop2011,Area,Density,web
AY,Ariyalur,Ariyalur,752481,3208,387,http://municipality.tn.gov.in/Ariyalur/
CH,Chennai,Chennai (Madras),4681087,174,26903,http://www.chennai.tn.nic.in/
CO,Coimbatore,Coimbatore,3472578,7469,748,http://www.coimbatore.tn.nic.in/
CU,Cuddalore,Cuddalore,2600880,3999,702,http://www.cuddalore.tn.nic.in/
DH,Dharmapuri,Dharmapuri,1502900,4532,332,http://www.dharmapuri.tn.nic.in/
DI,Dindigul,Dindigul,2161367,6058,357,http://www.dindigul.tn.nic.in/
ER,Erode,Erode,2259608,5714,397,http://erode.nic.in/
KC,Kanchipuram,Kanchipuram,3990897,4433,927,http://www.kanchi.tn.nic.in/
KK,Kanyakumari,Nagercoil,2863178,1685,1106,http://www.kanyakumari.tn.nic.in/
KA,Karur,Karur,1076588,2901,371,http://karur.nic.in/
KR,Krishnagiri,Krishnagiri,1883731,5086,370,http://krishnagiri.nic.in/
MA,Madurai,Madurai,3991038,3676,823,http://www.madurai.tn.nic.in/
NG,Nagapattinam,Nagapattinam,1614069,2716,668,http://www.nagapattinam.tn.nic.in/
NI,Nilgiris,Udagamandalam (Ootacamund/Ooty),735071,2549,288,http://nilgiris.nic.in/
NM,Namakkal,Namakkal,1721179,3429,506,http://namakkal.nic.in/
PE,Perambalur,Perambalur,564511,1752,323,http://www.perambalur.tn.nic.in/
PU,Pudukkottai,Pudukkottai,1918725,4651,348,http://pudukkottai.nic.in/
RA,Ramanathapuram,Ramanathapuram,1337560,4123,320,http://ramanathapuram.nic.in/
SA,Salem,Salem,3480008,5245,663,http://salem.nic.in/
SI,Sivaganga,Sivaganga,1341250,4086,324,http://sivaganga.nic.in/
TP,Tirupur,Tirupur,2471222,5106,476,http://tiruppurcorp.tn.gov.in/
TC,Tiruchirappalli,Tiruchirappalli,2713858,4407,602,http://tiruchirappalli.nic.in/
TH,Theni,Theni,1243684,3066,433,http://www.theni.tn.nic.in/
TI,Tirunelveli,Tirunelveli,3072880,6703,458,http://www.nellai.tn.nic.in/
TJ,Thanjavur,Thanjavur,2402781,3397,691,http://thanjavur.nic.in/
TK,Thoothukudi,Thoothukudi (Tuticorin),1738376,4594,378,http://thoothukudi.nic.in/
TL,Tiruvallur,Tiruvallur,3725697,3424,1049,http://www.tiruvallur.tn.nic.in/
TR,Tiruvarur,Tiruvarur,1268094,2377,533,http://www.tiruvarur.tn.nic.in/
TV,Tiruvannamalai,Tiruvannaamalai,2468965,6191,399,http://www.tiruvannamalai.tn.nic.in/
VE,Vellore,Vellore,3928106,6077,646,http://vellore.nic.in/
VL,Viluppuram,Viluppuram,3463284,7190,462,http://www.viluppuram.tn.nic.in/
VR,Virudhunagar,Virudhunagar,1943309,3446,454,
