GST,Stamp and Registration,Land Revenue,Sales Tax,State Excise Duties,State’s Share of Union Taxes,Other Taxes and Duties
4916.53,676.84,4.56,1418.52,1302.84,829.9,589.47
8793.59,1698.95,16.78,2721.62,3355.38,2948.92,1320.61
12663.36,2687.91,33.55,4236.18,5760.14,4423.38,1927.93
15715.96,3663.08,57.8,5603.93,7447.05,6454.81,2569.67
21238.27,4594.79,80.77,6882.47,9131.59,8432.14,3971.93
25118.32,5482.23,95.5,8295.28,10880.72,10409.47,4616.05
34051.18,6344.65,111.65,9488.04,12630.78,12386.8,17.29
39235.94,7275.68,130.87,10711.96,14390.39,14364.13,25.34
37011.13,8395.11,153.62,12047.02,16218.2,16341.46,6956.99
41462.71,9232.44,173.58,13480.93,18078.92,18318.79,7765.97
45684.79,10291.66,188.54,14976.59,19886.29,19270.49,9373.19
