State,month,Expenditure,Interest Payments,Wages,Pensions,Subsidies,CapEx,LoansGiven
Kerala,Apr,3138.84,1204.58,2796.69,1273.13,49.87,259.69,115.53
Kerala,May,5249.87,2407.2,6396.9,3403.47,388.3,1082.01,246.44
Kerala,Jun,8185.38,3516.61,8873.97,5096.94,481.36,1935.98,353.7
Kerala,Jul,11267.31,4597.15,11661.62,6916.68,589.51,2750.0,489.05
Kerala,Aug,15195.69,6654.15,14333.51,8696.79,669.82,3306.95,608.57
Kerala,Sep,18470.1,7776.56,17460.8,10333.65,759.63,4143.74,685.93
Kerala,Oct,20656.87,9164.25,20032.14,11996.25,788.3,5143.42,825.18
Kerala,Nov,24187.18,10469.36,22597.4,13561.13,876.14,5880.77,933.06
Kerala,Dec,25377.06,11580.55,25150.37,15010.39,924.52,6676.19,1043.59
Kerala,Jan,28474.33,12800.65,27729.65,16396.09,944.53,7099.77,1155.25
Kerala,Feb,32168.15,14987.57,29311.78,17754.71,1029.36,7439.31,1172.98
Kerala,Mar,32726.4,16175.57,32930.75,19064.28,1378.03,7906.3,1291.47
