State,month,GST,Stamp,Land,Sales,Excise,ShareOfUnion,Other,NTR,Grants
Andhra Pradesh,Apr,905.53,373.75,1.55,1376.52,219.42,-5.12,311.73,161.32,1403.69
Andhra Pradesh,May,1666.35,836.95,3.37,3657.66,772.48,-30.39,654.44,525.6,2610.05
Andhra Pradesh,Jun,2413.01,1301.21,7.27,5151.04,1364.9,-71.61,936.33,749.51,3785.16
Andhra Pradesh,Jul,3131.29,1909.73,10.02,6903.26,1857.61,96.43,1109.43,971.75,5164.08
Andhra Pradesh,Aug,11934.2,2357.22,13.99,9070.27,2359.63,7702.22,1501.81,1262.87,6739.0
Andhra Pradesh,Sep,14015.78,2735.31,14.87,11098.62,2814.94,9508.37,1716.36,1434.64,9230.2
Andhra Pradesh,Oct,14665.52,3173.08,14.96,11893.19,2963.66,9508.37,2144.38,1648.73,9769.63
Andhra Pradesh,Nov,16786.82,3636.89,14.99,13748.77,3341.15,11314.52,2459.56,1936.11,10511.6
Andhra Pradesh,Dec,19133.41,4047.37,15.43,14627.53,3526.37,13120.67,2690.22,12987.97,40456.36
Andhra Pradesh,Jan,22948.67,4476.63,18.09,17646.48,5066.81,16732.97,3118.78,2420.08,13558.53
Andhra Pradesh,Feb,25150.02,4972.6,19.72,19233.82,5821.62,17606.74,3427.73,2764.68,16758.4
Karnataka,Apr,4916.53,676.84,4.56,1418.52,1302.84,829.9,589.47,361.11,1255.01
Karnataka,May,8793.59,1698.95,16.78,2721.62,3355.38,2948.92,1320.61,910.56,5672.1
Karnataka,Jun,12663.36,2687.91,33.55,4236.18,5760.14,4423.38,1927.93,1368.05,7666.53
Karnataka,Jul,15715.96,3663.08,57.8,5603.93,7447.05,6454.81,2569.67,1952.05,8918.18
Karnataka,Aug,21238.27,4594.79,80.77,6882.47,9131.59,8432.14,3971.93,2487.74,12382.0
Karnataka,Sep,25118.32,5482.23,95.5,8295.28,10880.72,10409.47,4616.05,8295.28,10880.72
Karnataka,Oct,34051.18,6344.65,111.65,9488.04,12630.78,12386.8,17.29,3624.1,22352.78
Karnataka,Nov,39235.94,7275.68,130.87,10711.96,14390.39,14364.13,25.34,4210.16,22666.83
Karnataka,Dec,37011.13,8395.11,153.62,12047.02,16218.2,16341.46,6956.99,4707.78,27825.26
Karnataka,Jan,41462.71,9232.44,173.58,13480.93,18078.92,18318.79,7765.97,5558.11,29281.51
Karnataka,Feb,45684.79,10291.66,188.54,14976.59,19886.29,19270.49,9373.19,6441.39,32917.26
Kerala,Apr,2407.18,255.35,19.65,668.37,193.08,783.74,311.07,359.8,0.0
Kerala,May,4429.7,551.97,48.59,2356.84,398.93,1566.98,654.22,773.52,992.71
Kerala,Jun,6596.62,840.19,79.38,4131.25,568.8,2350.35,975.12,1781.18,1721.97
Kerala,Jul,7342.12,1173.64,109.81,5724.41,756.86,2791.84,1341.75,2808.31,1751.7
Kerala,Aug,10662.59,1476.55,133.75,7337.07,936.47,4472.83,1655.77,4497.05,3079.35
Kerala,Sep,12401.17,1753.58,156.7,9007.1,1125.63,5521.7,1979.86,4831.3,4364.13
Kerala,Oct,13503.16,2056.33,182.1,11154.14,1312.42,5682.19,2346.85,5784.61,4432.95
Kerala,Nov,16285.84,2363.72,208.99,12539.26,1523.66,7619.44,2646.96,7570.78,4988.77
Kerala,Dec,18166.41,2679.08,237.12,14588.42,1733.88,8600.37,3010.07,7925.55,5387.44
Kerala,Jan,20130.95,3017.26,269.48,16181.48,1916.83,9649.24,3397.53,9676.07,5985.62
Kerala,Feb,22038.73,3335.89,302.0,18076.24,2087.9,10154.06,3700.99,10720.03,9380.45
Kerala,Mar-P,24309.58,3614.05,332.42,20316.67,2255.26,11668.53,4034.17,11750.37,9415.5
Tamil Nadu,Apr,3530.54,802.51,4.45,3067.16,501.01,1993.13,637.46,752.42,559.84
Tamil Nadu,May,6146.49,1686.86,11.63,5903.37,1081.01,3986.26,1690.89,1558.6,3773.06
Tamil Nadu,Jun,9050.72,2614.95,15.79,9649.28,1669.48,5979.39,2082.29,2804.53,4186.58
Tamil Nadu,Jul,11411.12,3592.48,35.08,13469.54,2257.13,7601.43,2537.17,3685.32,5154.22
Tamil Nadu,Aug,16161.52,4414.17,51.64,17246.0,2855.23,10281.35,3033.64,4191.12,7905.47
Tamil Nadu,Sep,19159.36,5392.82,55.91,21010.06,3450.97,12520.27,3358.44,5259.93,12998.03
Tamil Nadu,Oct,21978.4,6241.25,62.51,24681.03,4082.46,14759.19,3804.35,5776.32,13506.84
Tamil Nadu,Nov,25219.19,7227.46,84.49,28409.51,4654.43,16998.11,4308.95,6806.85,13993.46
Tamil Nadu,Dec,28263.61,8157.86,221.09,31844.58,5242.42,19237.03,4794.74,7790.51,17576.79
Tamil Nadu,Jan,31645.49,9002.74,235.56,35450.52,5862.85,21475.95,5281.8,8716.56,18152.09
Telangana,Apr,1573.95,525.94,0.07,1399.81,575.59,762.41,389.13,388.3,0.0
Telangana,May,2938.42,1215.15,0.48,2836.06,1805.17,1524.82,775.29,624.21,0.0
Telangana,Jun,6326.35,1813.67,0.5,4437.52,2453.19,1524.82,1134.6,1101.24,214.07
Telangana,Jul,8211.14,2129.86,0.55,6259.57,3245.13,3337.65,1500.53,1744.42,2586.32
Telangana,Aug,11639.02,2770.57,0.57,7914.29,4161.15,4360.09,1904.59,2024.73,3468.0
Telangana,Sep,12825.28,3169.13,0.62,9348.53,4674.05,5382.53,2194.06,2204.33,4515.45
Telangana,Oct,14097.26,3716.1,0.58,10656.67,6176.42,6404.97,2725.5,2442.02,5136.13
Telangana,Nov,18218.47,4289.62,0.72,12367.28,7454.47,7427.41,3133.92,2736.9,6233.79
Telangana,Dec,20348.3,4865.26,0.74,14005.87,9032.46,8449.85,3559.3,2983.01,7942.3
Telangana,Jan,22892.11,5420.81,0.77,15981.36,9899.6,9472.29,3907.79,3456.8,8456.71
Telangana,Feb,25198.77,6140.34,0.83,17946.46,10811.43,9966.94,4402.88,4274.96,10209.41
