#RD2020,RD2019,RD2018,FD2020,FD2019,FD2018
-10692.16,-565.2,-4067.42,-10860.71,-599.66,-4251.65
-15179.72,-4773.1,-7622.03,-15874.71,-5665.72,-9280.07
,-7338.2,-10566.07,,-10152.72,-13437.21
,-8842.18,-12268.08,,-14417.27,-16350.01
,-9175.44,-12971.93,,-19338.5,-18464.61
,-12807.83,-11382.86,,-20020.49,-18592.08
,-19721.61,-16175.19,,-29153.49,-25102.05
,-22537.13,-18758.89,,-33546.28,-30073.23
,-26185.6,-17935.77,,-38332.01,-30978.02
,-26535.39,-20666.38,,-40920.63,-31306.94
,-24126.75,-21896.92,,-40482.90,-34590.59
,-29338.83,-21113.97,,-53038.61,-42925.76
