State,month,Expenditure,Interest Payments,Wages,Pensions,Subsidies,CapEx,LoansGiven
Tamil Nadu,Apr,1273.46,158.82,5910.54,3533.38,1537.52,72.73,10.11
Tamil Nadu,May,5765.13,3740.65,11248.21,5810.02,4047.26,1043.94,15.8
Tamil Nadu,Jun,10906.42,6424.61,15163.52,8638.71,4257.95,2964.55,40.0
Tamil Nadu,Jul,13982.18,8490.96,19721.36,11277.97,5113.2,4268.38,1563.23
Tamil Nadu,Aug,18362.56,10548.66,24180.06,13742.27,8482.03,7620.5,2848.38
Tamil Nadu,Sep,29493.98,12825.14,28271.4,16099.78,9323.32,9211.43,2901.01
Tamil Nadu,Oct,36487.76,14815.96,33344.03,18644.15,11322.06,10941.36,3477.35
Tamil Nadu,Nov,42126.9,16855.97,37782.86,20893.09,12580.76,12449.92,3569.3
Tamil Nadu,Dec,48451.24,19163.62,42416.4,23049.35,16233.62,13902.56,3281.1
Tamil Nadu,Jan,52656.1,21683.15,46529.2,25029.13,16461.37,16171.54,3377.14
Tamil Nadu,Feb,,23731.12,,27190.11,,18098.29,3465.05
