#GST,Stamp and Registration,Land Revenue,Sales Tax,State Excise Duties,State’s Share of Union Taxes,Other Taxes and Duties
3530.54,802.51,4.45,3067.16,501.01,1993.13,637.46
6146.49,1686.86,11.63,5903.37,1081.01,3986.26,1690.89
9050.72,2614.95,15.79,9649.28,1669.48,5979.39,2082.29
11411.12,3592.48,35.08,13469.54,2257.13,7601.43,2537.17
16161.52,4414.17,51.64,17246.0,2855.23,10281.35,3033.64
19159.36,5392.82,55.91,21010.06,3450.97,12520.27,3358.44
21978.4,6241.25,62.51,24681.03,4082.46,14759.19,3804.35
25219.19,7227.46,84.49,28409.51,4654.43,16998.11,4308.95
28263.61,8157.86,221.09,31844.58,5242.42,19237.03,4794.74
31645.49,9002.74,235.56,35450.52,5862.85,21475.95,5281.8
34967.32,9988.73,245.28,39248.43,6638.69,22705.07,5827.64
