State,month,Expenditure,Interest Payments,Wages,Pensions,Subsidies,CapEx,LoansGiven
Telangana,Apr,1585.73,760.98,1896.39,917.73,317.92,1141.68,535.94
Telangana,May,4627.36,1509.57,3911.79,1870.19,1089.29,2546.5,1582.55
Telangana,Jun,9847.37,2139.35,5577.03,755.55,1630.54,3532.78,1775.65
Telangana,July,14319.53,3475.01,8260.81,3871.39,2171.22,4676.3,2468.2
Telangana,Aug,18360.97,4137.67,10341.08,5043.56,2713.86,6067.08,3047.93
Telangana,Sep,22349.9,4663.74,12101.82,6094.46,2951.31,7026.72,3680.11
Telangana,Oct,25716.22,6586.91,14146.84,6104.2,3441.81,8629.25,4055.76
Telangana,Now,29428.46,8770.17,16189.49,7045.31,4002.14,10757.03,5591.53
Telangana,Dec,32989.16,9659.44,18404.59,8828.16,4710.55,11375.41,6704.85
Telangana,Jan,40984.56,10811.37,20514.02,8204.33,5388.49,12597.29,7114.5
Telangana,Feb,44207.1,11856.1,22393.99,9122.3,5855.22,13650.61,8243.14
