#GST,Stamp and Registration,Land Revenue,Sales Tax,State Excise Duties,State’s Share of Union Taxes,Other Taxes and Duties
1573.95,525.94,0.07,1399.81,575.59,762.41,389.13
2938.42,1215.15,0.48,2836.06,1805.17,1524.82,775.29
6326.35,1813.67,0.50,4437.52,2453.19,1524.82,1134.60
8211.14,2129.86,0.55,6259.57,3245.13,3337.65,1500.53
11639.02,2770.57,0.57,7914.29,4161.15,4360.09,1904.59
12825.28,3169.13,0.62,9348.53,4674.05,5382.53,2194.06
14097.26,3716.10,0.58,10656.67,6176.42,6404.97,2725.50
18218.47,4289.62,0.72,12367.28,7454.47,7427.41,3133.92
20348.30,4865.26,0.74,14005.87,9032.46,8449.85,3559.30
22892.11,5420.81,0.77,15981.36,9899.60,9472.29,3907.79
25198.77,6140.34,0.83,17946.46,10811.43,9966.94,4402.88
