2012,GOVERNOR/,,,,,
03,Governor,,,,,
101,Emoluments and Allowances of the Governor,,,,,
#State's Expenditure,,,,,
AA,Emoluments of the Governor,,,,,2012 03 101 AA 30000
301,"Salaries Charged","53,61","42,00","42,00","42,00,2012 03 101 AA 30100
01,"Pay Charged","53,61","42,00","42,00,"42,00",2012 03 101 AA 30101
Total AA Charged,"53,61","42,00","42,00","42,00"
State's Expenditure Total Charged,"53,61","42,00","42,00","42,00"
Total 101 Charged,"53,61","42,00","42,00","42,00"
103,Household Establishment,,,,,,
#,State's Expenditure,,,,,,
AF,Household Establishment of the Governor,,,,,,,2012 03 103 AF 30000
301,Salaries Charged,"4,10,72","4,83,92","4,07,98","4,23,21",2012 03 103 AF 30100
01,Pay Charged,"3,70,67","4,43,64","3,67,75","3,84,14",2012 03 103 AF 30101
02,Medical Allowance Charged,"2,72","2,45","2,24","2,24",2012 03 103 AF 30102
03,Medical Charges Charged,89,"1,72","3,13","1,72",2012 03 103 AF 30103
04,Other Allowances Charged,"25,20","23,92","22,95","22,95",2012 03 103 AF 30104
06,House Rent Allowance Charged,"4,74","5,94","5,66","5,89",2012 03 103 AF 30106
07,Travel Concession Charged,73,37,37,39,2012 03 103 AF 30107
08,City Compensatory Allowance Charged,"5,77","5,88","5,88","5,88",2012 03 103 AF 30108
302,Wages Charged,"1,01,75","78,00","88,00",,2012 03 103 AF 30200
01,Wages Charged,"1,01,75","78,00","88,00",,2012 03 103 AF 30201
303,Dearness Allowance Charged,"42,72","63,13","65,56","96,04",2012 03 103 AF 30300
01,Dearness Allowance Charged,"42,72","63,13","65,56","96,04",2012 03 103 AF 30301
304,Travel Expenses Charged,"17,15","26,34","26,34","26,39",2012 03 103 AF 30400
01,Tour Travelling Allowances Charged,"14,13","25,34","25,34","25,34",2012 03 103 AF 30401
02,Transfer Travelling Allowances Charged,"3,02","1,00","1,00","1,05",2012 03 103 AF 30402
305,Office Expenses Charged,"13,28","19,18","19,18","19,18",2012 03 103 AF 30500
01,Telephone Charges Charged,"4,78","10,00","10,00","10,00",2012 03 103 AF 30501
02,Other Contingencies Charged,"2,50","2,17","2,17","2,17",2012 03 103 AF 30502
03,Electricity Charges Charged,"6,00","7,00","7,00","7,00",2012 03 103 AF 30503
