head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2012,GOVERNOR,,,,,
03,Governor,,,,,
090,Secretariat,,,,,
#State's Expenditure,,,,,
AA,"Governor's Secretariat",,,,,,2012 03 090 AA 30000
301,"Salaries Charged","1,93,38","1,89,40","1,79,40","1,86,22",2012 03 090 AA 30100
01,"Pay Charged","1,84,21","1,77,22","1,68,41","1,75,15",2012 03 090 AA 30101
02,Medical Allowance Charged,31,42,36,44,2012 03 090 AA 30102
03,Medical Charges Charged,7,50,50,50,2012 03 090 AA 30103
04,Other Allowances Charged,"1,03","1,63","1,50","1,50",2012 03 090 AA 30104
06,House Rent Allowance Charged,"5,24","5,73","5,95","5,95",2012 03 090 AA 30106
07,Travel Concession Charged,,30,30,30,2012 03 090 AA 30107
08,City Compensatory Allowance Charged,"2,52","3,60","2,38","2,38",2012 03 090 AA 30108
303,Dearness Allowance Charged,"20,49","23,04","26,95","43,79",2012 03 090 AA 30300
01,Dearness Allowance Charged,"20,49","23,04","26,95","43,79",2012 03 090 AA 30301
304,Travel Expenses Charged,"7,35","8,00","8,00","8,00",2012 03 090 AA 30400
01,Tour Travelling Allowances Charged,"7,35","8,00","8,00","8,00",2012 03 090 AA 30401
305,Office Expenses Charged,"11,33","16,80","14,72","14,91",2012 03 090 AA 30500
01,Telephone Charges Charged,"2,54","7,08","5,00","5,00",2012 03 090 AA 30501
02,Other Contingencies Charged,"5,99","6,00","6,00","6,00",2012 03 090 AA 30502
03,Electricity Charges Charged,"2,80","3,72","3,72","3,91",2012 03 090 AA 30503
306,"Rent, Rates and Taxes Charged","1,13",7,7,8,2012 03 090 AA 30600
03,Water Charges Charged,"1,13",7,7,8,2012 03 090 AA 30603
317,Minor Works Charged,,1,1,1,2012 03 090 AA 31700
01,Minor Works Charged,,1,1,1,2012 03 090 AA 31701
319,Machinery and Equipments Charged,,1,1,1,2012 03 090 AA 31900
01,Purchase,Charged,,1,1,1,2012 03 090 AA 31901
321,Motor Vehicles Charged,"1,79","1,47","1,47","1,54",2012 03 090 AA 32100
01,Purchase Charged,,1,1,1,2012 03 090 AA 32101
02,Maintenance of Functional Vehicles Charged,"1,79","1,46","1,46","1,53",2012 03 090 AA 32102
324,Materials and Supplies Charged,31,"1,35","1,00","1,00",2012 03 090 AA 32400
01,Materials and Supplies Charged,31,"1,35","1,00","1,00",2012 03 090 AA 32401
333,"Payments for Professional and Special Services Charged",20,1,"13,80","8,80",2012 03 090 AA 33300
333,"Payments for Professional and Special Services Voted","12,78",,,,2012 03 090 AA 33300
01,"Pleaders Fees Charged",20,1,"6,00","1,00",2012 03 090 AA 33301
04,Contract Payment Charged,,,"7,80","7,80",2012 03 090 AA 33304
04,Contract Payment Voted,"12,78",,,,2012 03 090 AA 33304
345,"Petroleum, Oil and Lubricant Charged","4,75","5,85","5,85","6,14",2012 03 090 AA 34500
01,"Petroleum, Oil and Lubricant Charged","4,75","5,85","5,85","6,14",2012 03 090 AA 34501
349,Festival Advances Charged,- 6,,,,2012 03 090 AA 34900
01,Festival Advances-Debit Charged,40,"1,00","1,00","1,05",2012 03 090 AA 34901
02,Festival Advances-Credit Charged,- 46,"- 1,00","- 1,00","- 1,05",2012 03 090 AA 34902
359,Prizes and Awards Charged,16,4,4,4,2012 03 090 AA 35900
01,Prizes and Awards Charged,16,4,4,4,2012 03 090 AA 35901
368,"Cost of Books/Note Books/Slates, etc. Charged",,20,20,20,2012 03 090 AA 36800
01,"Cost of Books/Note Books/Slates, etc. Charged",,20,20,20,2012 03 090 AA 36801
376,Computer and Accessories Charged,49,"1,70","1,70","1,72",2012 03 090 AA 37600 
01,Purchase Charged,,1,1,1,2012 03 090 AA 37601
02,Maintenance Charged,33,40,40,42,2012 03 090 AA 37602
03,Stationery Charged,16,"1,29","1,29","1,29",2012 03 090 AA 37603
AA,Total AA Charged,"2,41,32","2,47,95","2,53,22","2,72,46"
AA,Total AA Voted,"12,78",,,
#State's Expenditure Total Charged,"2,41,32","2,47,95","2,53,22","2,72,46"
#State's Expenditure Total Voted,"12,78",,,
90,Total 090 Charged,"2,41,32","2,47,95","2,53,22","2,72,46"
90,Total 090 Voted,"12,78",,,
102,"Discretionary Grants State's Expenditure",,,,,
AA,Discretionary Grants,,,,,2012 03 102 AA 30000
309,Grants-in-Aid Charged,"50,00","5,00,00","5,00,00","5,00,00",2012 03 102 AA 30900
09,Others Charged,"50,00","5,00,00","5,00,00","5,00,00",2012,03 102 AA 30909
AA,Total AA Charged,"50,00","5,00,00","5,00,00","5,00,00"
#"State's Expenditure Total Charged","50,00","5,00,00","5,00,00","5,00,00"
102,Total 102 Charged,"50,00","5,00,00","5,00,00","5,00,00"
911,Deduct - Recoveries of Overpayments,,,,,,,
#,State's Expenditure,,,,,,
AA,"Governor's Secretariat",,,,,,2012 03 911 AA 30000
377,Deduct-Recoveries,,- 97,,,,2012 03 911 AA 37700
02,Recoveries of Overpayments / Remittance of excess drawals,- 97,,,,2012 03 911 AA 37702
AA,Total AA,- 97,,,,
#,State's Expenditure Total,- 97,,,,
911,Total 911,- 97,,,,
03,Total 03 Charged,"2,91,32","7,47,95","7,53,22","7,72,46",
03,Total 03 Voted,"11,81",,,,
2012,Total 2012 Charged,"2,91,32","7,47,95","7,53,22","7,72,46",
2012,Total 2012 Voted,"11,81",,,,
