head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2225,"Welfare Of Scheduled Caste, Scheduled Tribes, Other Backward Classes And Minorities",,,,,
01,Welfare of Scheduled Castes,,,,,
001,Direction and Administration,,,,,
#State's Expenditure,,,,,,
AC,Headquarters Staff - Adi-Dravidar Welfare Department,,,,,2225 01 001 AC 30000
301,Salaries,"5,55,52","6,59,24","6,46,04","7,52,13",2225 01 001 AC 30100
01,Pay,"4,77,29","5,62,00","5,62,00","6,65,12",2225 01 001 AC 30101
02,Medical Allowance,"3,99","4,20","4,00","5,00",2225 01 001 AC 30102
03,Medical Charges,42,"11,00","2,00","2,00",2225 01 001 AC 30103
04,Other Allowances,"5,36","6,03","6,03","7,00",2225 01 001 AC 30104
06,House Rent Allowance,"57,39","58,00","57,00","58,00",2225 01 001 AC 30106
07,Travel Concession,"1,78","3,00","3,00","3,00",2225 01 001 AC 30107
08,City Compensatory Allowance,"9,29","15,00","12,00","12,00",2225 01 001 AC 30108
09,Honorarium,,1,1,1,2225 01 001 AC 30109
302,Wages,,40,,,2225 01 001 AC 30200
01,Wages,,40,,,2225 01 001 AC 30201
303,Dearness Allowance,"48,95","73,06","89,92","1,62,95",2225 01 001 AC 30300
01,Dearness Allowance,"48,95","73,06","89,92","1,62,95",2225 01 001 AC 30301
304,Travel Expenses,"3,84","16,84","8,46","8,84",2225 01 001 AC 30400
01,Tour Travelling Allowances,"3,32","16,00","8,00","8,00",2225 01 001 AC 30401
02,Transfer Travelling Allowances,52,84,46,84,2225 01 001 AC 30402
305,Office Expenses,"40,96","43,66","63,80","26,47",2225 01 001 AC 30500
01,Telephone Charges,"6,54","9,00","9,00","9,00",2225 01 001 AC 30501
02,Other Contingencies,"32,02","32,19","52,19","15,00",2225 01 001 AC 30502
04,Service Postage & Postal Expenditure,"2,40","2,46","2,46","2,46",2225 01 001 AC 30504
05,Furniture,,1,15,1,2225 01 001 AC 30505
307,Publications,,1,1,1,2225 01 001 AC 30700
01,Publications,,1,1,1,2225 01 001 AC 30701
308,Advertising and Publicity,"11,75","17,06","17,72","17,39",2225 01 001 AC 30800
01,Advertisement Charges,"9,48","15,00","15,00","15,00",2225 01 001 AC 30801
02,Exhibition,"2,27","2,06","2,72","2,39",2225 01 001 AC 30802
309,Grants-in-Aid,,3,1,1,2225 01 001 AC 30900
01,Grants for Current Expenditure,,3,1,1,2225 01 001 AC 30901
319,Machinery and Equipments,,1,1,1,2225 01 001 AC 31900
01,Purchase,,1,1,1,2225 01 001 AC 31901
321,Motor Vehicles,"2,00","1,01","1,01","1,01",2225 01 001 AC 32100
01,Purchase,,1,1,1,2225 01 001 AC 32101
02,Maintenance of Functional Vehicles,"2,00","1,00","1,00","1,00",2225 01 001 AC 32102
324,Materials and Supplies,,1,1,1,2225 01 001 AC 32400
01,Materials and Supplies,,1,1,1,2225 01 001 AC 32401
333,Payments for Professional and Special Services,"1,15","1,25",1,1,2225 01 001 AC 33300
01,Pleaders Fees,,6,1,1,2225 01 001 AC 33301
04,Contract Payment,"1,15","1,19",,,2225 01 001 AC 33304
345,"Petroleum, Oil and Lubricant","5,07","14,00","7,00","9,00",2225 01 001 AC 34500
01,"Petroleum, Oil and Lubricant","5,07","14,00","7,00","9,00",2225 01 001 AC 34501
349,Festival Advances,13,,,,2225 01 001 AC 34900
01,Festival Advances-Debit,"3,75","7,45","11,00","11,00",2225 01 001 AC 34901
02,Festival Advances-Credit,"- 3,62","- 7,45","- 11,00","- 11,00",2225 01 001 AC 34902
351,Compensation Charged,,1,1,1,2225 01 001 AC 35100
351,Compensation Voted,,1,1,1,2225 01 001 AC 35100
02,Other Compensations  - Voted,,1,1,1,2225 01 001 AC 35102
51,Claims under no fault liability -  principal charges Charged,,1,1,1,2225 01 001 AC 35151
359,Prizes and Awards,22,35,35,35,2225 01 001 AC 35900
01,Prizes and Awards,22,35,35,35,2225 01 001 AC 35901
360,T.A./D.A.to Non-Official Members,,"1,00",1,1,2225 01 001 AC 36000
01,T.A./D.A.to Non-Official Members,,"1,00",1,1,2225 01 001 AC 36001
371,Printing Charges,7,7,7,7,2225 01 001 AC 37100
01,Printing Charges,7,7,7,7,2225 01 001 AC 37101
376,Computer and Accessories,"10,86","10,01","51,71","7,01",2225 01 001 AC 37600
01,Purchase,,1,"41,71",1,2225 01 001 AC 37601
02,Maintenance,"6,86","6,00","6,00","3,00",2225 01 001 AC 37602
03,Stationery,"4,00","4,00","4,00","4,00",2225 01 001 AC 37603
AC,Total AC Charged,,1,1,1,
AC,Total AC Voted,"6,80,52","8,38,02","8,86,15","9,85,29",
#State's Expenditure Total Charged,,1,1,1,
#State's Expenditure Total Voted,"6,80,52","8,38,02","8,86,15","9,85,29",
001,Total 001 Charged,,1,1,1,
001,Total 001 Voted,"6,80,52","8,38,02","8,86,15","9,85,29",
190,Assistance to Public Undertakings State's Expenditure,,,,,
JB,Compensation to Tamil Nadu Adi-Dravidar Housing and Development Corporation for waiver of margin money and interest,,,,,2225 01 190 JB 30000
309,Grants-in-Aid,"27,94,00",1,1,1,2225 01 190 JB 30900
09,Others,"27,94,00",1,1,1,2225 01 190 JB 30909
JB,Total JB,"27,94,00",1,1,1,
#State's Expenditure Total,"27,94,00",1,1,1,,
190,Total 190,"27,94,00",1,1,1,
277,Education,,,,,
#State's Expenditure,,,,,,
AA,School Education,,,,,2225 01 277 AA 30000
301,Salaries,"3,42,40,55","3,26,95,92","3,32,00,59","3,92,93,39",2225 01 277 AA 30100
01,Pay,"3,20,00,30","3,00,82,00","3,09,28,59","3,67,66,94",2225 01 277 AA 30101
02,Medical Allowance,"1,62,65","2,32,55","1,63,00","1,82,00",2225 01 277 AA 30102
03,Medical Charges,,"1,17",,,2225 01 277 AA 30103
04,Other Allowances,"1,24,63","2,14,20","1,50,00","1,50,00",2225 01 277 AA 30104
06,House Rent Allowance,"18,12,31","20,20,00","18,13,00","20,31,00",2225 01 277 AA 30106
07,Travel Concession,"10,40","16,00","16,00","16,45",2225 01 277 AA 30107
08,City Compensatory Allowance,"1,30,26","1,30,00","1,30,00","1,47,00",2225 01 277 AA 30108
302,Wages,"7,48","10,25","6,75",1,2225 01 277 AA 30200
01,Wages,"7,48","10,25","6,75",1,2225 01 277 AA 30201
303,Dearness Allowance,"31,22,25","39,10,66","49,48,58","90,07,90",2225 01 277 AA 30300
01,Dearness Allowance,"31,22,25","39,10,66","49,48,58","90,07,90",2225 01 277 AA 30301
304,Travel Expenses,"39,76","44,71","46,93","52,41",2225 01 277 AA 30400
01,Tour Travelling Allowances,"38,06","42,71","45,33","48,41",2225 01 277 AA 30401
02,Transfer Travelling Allowances,"1,70","2,00","1,60","4,00",2225 01 277 AA 30402
305,Office Expenses,"1,23,38","80,41","1,14,56","1,27,94",2225 01 277 AA 30500
02,Other Contingencies,"65,05","10,00","12,25","19,25",2225 01 277 AA 30502
03,Electricity Charges,"54,96","66,49","98,61","1,04,65",2225 01 277 AA 30503
04,Service Postage & Postal Expenditure,"3,37","3,91","3,69","4,03",2225 01 277 AA 30504
05,Furniture,,1,1,1,2225 01 277 AA 30505
306,"Rent, Rates and Taxes","2,78","3,62","4,40","3,40",2225 01 277 AA 30600
01,Rent,32,62,40,40,2225 01 277 AA 30601
03,Water Charges,"2,46","3,00","4,00","3,00",2225 01 277 AA 30603
309,Grants-in-Aid,"5,41,57","5,28,14","4,89,11","4,93,47",2225 01 277 AA 30900
03,Grants for Specific Schemes,"5,41,57","5,28,13","4,89,11","4,93,47",2225 01 277 AA 30903
09,Others,,1,,,2225 01 277 AA 30909
317,Minor Works,"47,64","50,00","50,00","59,00",2225 01 277 AA 31700
01,Minor Works,"47,64","50,00","50,00","59,00",2225 01 277 AA 31701
318,Maintenance,"1,78,59","1,89,60","2,03,50","5,03,50",2225 01 277 AA 31800
01,Periodical Maintenance,"1,78,59","1,89,60","2,03,50","5,03,50",2225 01 277 AA 31801
319,Machinery and Equipments,,,"8,24",,2225 01 277 AA 31900
01,Purchase,,,"8,24",,2225 01 277 AA 31901
