head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2225,"Welfare Of Scheduled Caste, Scheduled Tribes, Other Backward Classes And Minorities",,,,,
02,Welfare of Scheduled Tribes,,,,,
001,Direction and Administration,,,,,
#State's Expenditure,,,,,,
AA,Headquarters Staff - Tribal Welfare Department,,,,,2225 02 001 AA 30000
301,Salaries,"1,25,68","1,44,43","1,81,25","1,89,10",2225 02 001 AA 30100
01,Pay,"1,09,23","1,25,01","1,54,56","1,60,74",2225 02 001 AA 30101
02,Medical Allowance,89,97,"1,52","1,52",2225 02 001 AA 30102
03,Medical Charges,21,25,84,84,2225 02 001 AA 30103
04,Other Allowances,85,"1,00","1,00","1,00",2225 02 001 AA 30104
06,House Rent Allowance,"12,21","14,70","18,48","20,00",2225 02 001 AA 30106
07,Travel Concession,,,"2,50","2,50",2225 02 001 AA 30107
08,City Compensatory Allowance,"2,29","2,50","2,35","2,50",2225 02 001 AA 30108
303,Dearness Allowance,"14,32","1,62,51","24,73","39,38",2225 02 001 AA 30300
01,Dearness Allowance,"14,32","1,62,51","24,73","39,38",2225 02 001 AA 30301
304,Travel Expenses,"3,49","3,59","8,57","5,50",2225 02 001 AA 30400
01,Tour Travelling Allowances,"3,20","3,09","8,07","5,00",2225 02 001 AA 30401
02,Transfer Travelling Allowances,29,50,50,50,2225 02 001 AA 30402
305,Office Expenses,"6,54","13,08","93,08","13,09",2225 02 001 AA 30500
01,Telephone Charges,14,"2,68","2,68","2,68",2225 02 001 AA 30501
02,Other Contingencies,"5,18","9,18","89,18","9,18",2225 02 001 AA 30502
04,Service Postage & Postal Expenditure,"1,22","1,22","1,22","1,22",2225 02 001 AA 30504
05,Furniture,,,,1,2225 02 001 AA 30505
308,Advertising and Publicity,,"2,67","2,67","2,67",2225 02 001 AA 30800
01,Advertisement Charges,,"2,67","2,67","2,67",2225 02 001 AA 30801
319,Machinery and Equipments,"4,00",,96,1,2225 02 001 AA 31900
01,Purchase,"4,00",,96,1,2225 02 001 AA 31901
321,Motor Vehicles,57,61,70,70,2225 02 001 AA 32100
02,Maintenance of Functional Vehicles,57,61,70,70,2225 02 001 AA 32102
333,Payments for Professional and Special Services,"2,40",62,"9,01",83,2225 02 001 AA 33300
01,Pleaders Fees,,30,30,50,2225 02 001 AA 33301
02,Remuneration,"2,40",,1,1,2225 02 001 AA 33302
04,Contract Payment,,32,"8,70",32,2225 02 001 AA 33304
345,"Petroleum, Oil and Lubricant","2,00","4,40","4,75","4,68",2225 02 001 AA 34500
01,"Petroleum, Oil and Lubricant","2,00","4,40","4,75","4,68",2225 02 001 AA 34501
349,Festival Advances,13,,,,2225 02 001 AA 34900
01,Festival Advances-Debit,"1,15","1,45","3,20","3,20",2225 02 001 AA 34901
02,Festival Advances-Credit,"- 1,02","- 1,45","- 3,20","- 3,20",2225 02 001 AA 34902
359,Prizes and Awards,,5,5,5,2225 02 001 AA 35900
01,Prizes and Awards,,5,5,5,2225 02 001 AA 35901
360,T.A./D.A.to Non-Official Members,,"1,00",50,"1,00",2225 02 001 AA 36000
01,T.A./D.A.to Non-Official Members,,"1,00",50,"1,00",2225 02 001 AA 36001
371,Printing Charges,17,30,50,50,2225 02 001 AA 37100
01,Printing Charges,17,30,50,50,2225 02 001 AA 37101
376,Computer and Accessories,"1,68","1,66","1,67","1,67",2225 02 001 AA 37600
01,Purchase,,,1,1,2225 02 001 AA 37601
02,Maintenance,66,66,66,66,2225 02 001 AA 37602
03,Stationery,"1,02","1,00","1,00","1,00",2225 02 001 AA 37603
AA,Total AA,"1,60,98","3,34,92","3,28,44","2,59,18",
AB,Establishment of Vigilance Cell,,,,,2225 02 001 AB 30000
301,Salaries,,"95,85","1,01,28","1,04,98",2225 02 001 AB 30100
01,Pay,,"85,97","85,97","89,41",2225 02 001 AB 30101
02,Medical Allowance,,42,42,42,2225 02 001 AB 30102
03,Medical Charges,,1,1,1,2225 02 001 AB 30103
04,Other Allowances,,"1,24","1,54","1,60",2225 02 001 AB 30104
06,House Rent Allowance,,"6,24","12,01","12,01",2225 02 001 AB 30106
07,Travel Concession,,45,53,53,2225 02 001 AB 30107
08,City Compensatory Allowance,,"1,52",80,"1,00",2225 02 001 AB 30108
302,Wages,,1,1,1,2225 02 001 AB 30200
01,Wages,,1,1,1,2225 02 001 AB 30201
303,Dearness Allowance,,"8,46","13,76","21,91",2225 02 001 AB 30300
01,Dearness Allowance,,"8,46","13,76","21,91",2225 02 001 AB 30301
304,Travel Expenses,,"2,25","3,28","3,28",2225 02 001 AB 30400
01,Tour Travelling Allowances,,"2,00","2,88","2,88",2225 02 001 AB 30401
02,Transfer Travelling Allowances,,25,40,40,2225 02 001 AB 30402
305,Office Expenses,,"2,29","3,70","3,70",2225 02 001 AB 30500
01,Telephone Charges,,"1,50","1,50","1,50",2225 02 001 AB 30501
02,Other Contingencies,,75,"2,16","2,16",2225 02 001 AB 30502
03,Electricity Charges,,1,1,1,2225 02 001 AB 30503
04,Service Postage & Postal Expenditure,,1,1,1,2225 02 001 AB 30504
05,Furniture,,1,1,1,2225 02 001 AB 30505
06,Investigation Charges,,1,1,1,2225 02 001 AB 30506
306,"Rent, Rates and Taxes",,2,2,2,2225 02 001 AB 30600
01,Rent,,1,1,1,2225 02 001 AB 30601
02,Property tax,,1,1,1,2225 02 001 AB 30602
308,Advertising and Publicity,,1,1,1,2225 02 001 AB 30800
02,Exhibition,,1,1,1,2225 02 001 AB 30802
321,Motor Vehicles,,11,28,28,2225 02 001 AB 32100
01,Purchase,,1,1,1,2225 02 001 AB 32101
02,Maintenance of Functional Vehicles,,10,27,27,2225 02 001 AB 32102
333,Payments for Professional and Special Services,,"1,01","9,13","9,13",2225 02 001 AB 33300
01,Pleaders Fees,,1,1,1,2225 02 001 AB 33301
04,Contract Payment,,"1,00","9,12","9,12",2225 02 001 AB 33304
345,"Petroleum, Oil and Lubricant",,"2,50","7,00","6,75",2225 02 001 AB 34500
01,"Petroleum, Oil and Lubricant",,"2,50","7,00","6,75",2225 02 001 AB 34501
349,Festival Advances,,,,,
01,Festival Advances-Debit,,45,70,70,2225 02 001 AB 34901
02,Festival Advances-Credit,,- 45,- 70,- 70,2225 02 001 AB 34902
359,Prizes and Awards,,1,1,1,2225 02 001 AB 35900
01,Prizes and Awards,,1,1,1,2225 02 001 AB 35901
376,Computer and Accessories,,51,66,66,2225 02 001 AB 37600
01,Purchase,,1,1,1,2225 02 001 AB 37601
02,Maintenance,,25,40,40,2225 02 001 AB 37602
03,Stationery,,25,25,25,2225 02 001 AB 37603
AB,Total AB,"1,13,03","1,39,14","1,50,74",,
#State's Expenditure Total,"1,60,98","4,47,95","4,67,58","4,09,92",,
001,Total 001,"1,60,98","4,47,95","4,67,58","4,09,92",
102,Economic Development,,,,,
#State's Expenditure,,,,,,
AB,Tribal Welfare Board,,,,,2225 02 102 AB 30000
309,Grants-in-Aid,,1,1,1,2225 02 102 AB 30900
03,Grants for Specific Schemes,,1,1,1,2225 02 102 AB 30903
AB,Total AB,1,1,1,,
#State's Expenditure Total,,1,1,1,,
102,Total 102,1,1,1,,
277,Education,,,,,
#State's Expenditure,,,,,,
AA,Schools,,,,,2225 02 277 AA 30000
