head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#State's Expenditure,,,,,,
AW,Buildings - Agriculture Department (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 AW 30000
318,Maintenance,"2,15,46","2,20,00","2,20,00","2,20,00",2059 01 053 AW 31800
01,Periodical Maintenance,"2,15,46","2,20,00","2,20,00","2,20,00",2059 01 053 AW 31801
AW,Total AW,"2,15,46","2,20,00","2,20,00","2,20,00",
#State's Expenditure Total,"2,15,46","2,20,00","2,20,00","2,20,00",,
053,Total 053,"2,15,46","2,20,00","2,20,00","2,20,00",
01,Total 01,"2,15,46","2,20,00","2,20,00","2,20,00",
2059,Total 2059,"2,15,46","2,20,00","2,20,00","2,20,00",
2401-00,CROP HUSBANDRY,,,,,
001,Direction and Administration,,,,,
#State's Expenditure,,,,,,
AA,Agriculture Department - Headquarters Staff,,,,,2401 00 001 AA 30000
301,Salaries,"13,92,56","12,93,71","13,04,90","12,49,48",2401 00 001 AA 30100
01,Pay,"12,06,13","12,09,25","10,46,33","9,98,52",2401 00 001 AA 30101
02,Medical Allowance,"8,34","7,30","9,28","9,06",2401 00 001 AA 30102
03,Medical Charges,"7,73","13,57","13,56","14,58",2401 00 001 AA 30103
04,Other Allowances,"11,00","14,00","14,14","14,14",2401 00 001 AA 30104
06,House Rent Allowance,"1,33,71","15,00","1,90,55","1,82,96",2401 00 001 AA 30106
07,Travel Concession,"2,03","4,59","4,63","3,90",2401 00 001 AA 30107
08,City Compensatory Allowance,"23,62","30,00","26,41","26,32",2401 00 001 AA 30108
303,Dearness Allowance,"2,83,70","1,54,78","1,79,61","1,86,99",2401 00 001 AA 30300
01,Dearness Allowance,"2,83,70","1,54,78","1,79,61","1,86,99",2401 00 001 AA 30301
304,Travel Expenses,"9,05","34,31","30,31","31,31",2401 00 001 AA 30400
01,Tour Travelling Allowances,"8,78","33,84","29,64","30,51",2401 00 001 AA 30401
02,Transfer Travelling Allowances,27,47,67,80,2401 00 001 AA 30402
305,Office Expenses,"45,18","49,20","67,47","64,05",2401 00 001 AA 30500
01,Telephone Charges,"1,97","2,10","2,52","2,50",2401 00 001 AA 30501
02,Other Contingencies,"18,20","8,50","9,95","6,50",2401 00 001 AA 30502
03,Electricity Charges,"21,05","33,60","50,00","50,05",2401 00 001 AA 30503
04,Service Postage & Postal Expenditure,"3,96","5,00","5,00","5,00",2401 00 001 AA 30504
306,"Rent, Rates and Taxes","12,28","3,25","14,73","3,56",2401 00 001 AA 30600
02,Property tax,,10,30,35,2401 00 001 AA 30602
03,Water Charges,"12,28","3,15","3,15","3,20",2401 00 001 AA 30603
04,Lease for Land,,,"11,28",1,2401 00 001 AA 30604
307,Publications,,25,25,33,2401 00 001 AA 30700
01,Publications,,25,25,33,2401 00 001 AA 30701
308,Advertising and Publicity,"6,50","6,50","12,14","8,80",2401 00 001 AA 30800
02,Exhibition,"6,50","6,50","12,14","8,80",2401 00 001 AA 30802
319,Machinery and Equipments,"7,03","2,11","2,21","2,21",2401 00 001 AA 31900
01,Purchase,,1,1,1,2401 00 001 AA 31901
03,Maintenance,"7,03","2,10","2,20","2,20",2401 00 001 AA 31903
321,Motor Vehicles,"98,18",83,"5,01","5,06",2401 00 001 AA 32100
01,Purchase,"96,00",1,1,1,2401 00 001 AA 32101
02,Maintenance of Functional Vehicles,"2,18",82,"5,00","5,05",2401 00 001 AA 32102
333,Payments for Professional and Special Services,"23,10","13,50","24,67","13,24",2401 00 001 AA 33300
01,Pleaders Fees,"9,02",90,"2,30","2,50",2401 00 001 AA 33301
04,Contract Payment,"14,08","12,60","22,37","10,74",2401 00 001 AA 33304
345,"Petroleum, Oil and Lubricant","4,64","8,21","9,07","9,12",2401 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","4,64","8,21","9,07","9,12",2401 00 001 AA 34501
346,"Clothing, Tentage and Stores",73,"1,00","1,00","1,00",2401 00 001 AA 34600
01,"Clothing, Tentage and Stores",73,"1,00","1,00","1,00",2401 00 001 AA 34601
347,Stores and Equipments,,1,1,1,2401 00 001 AA 34700
01,Stores - Voted,,1,1,1,2401 00 001 AA 34701
349,Festival Advances,55,,,,2401 00 001 AA 34900
01,Festival Advances-Debit,"7,15","11,60","22,10","31,90",2401 00 001 AA 34901
02,Festival Advances-Credit,"- 6,60","- 11,60","- 22,10","- 31,90",2401 00 001 AA 34902
359,Prizes and Awards,12,50,50,50,2401 00 001 AA 35900
01,Prizes and Awards,12,50,50,50,2401 00 001 AA 35901
360,T.A./D.A.to Non-Official Members,21,29,30,30,2401 00 001 AA 36000
01,T.A./D.A.to Non-Official Members,21,29,30,30,2401 00 001 AA 36001
376,Computer and Accessories,"5,93","5,98","5,97","4,45",2401 00 001 AA 37600
01,Purchase,,2,1,1,2401 00 001 AA 37601
02,Maintenance,"3,39","3,40","3,40","2,46",2401 00 001 AA 37602
