head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2235,SOCIAL SECURITY AND WELFARE,,,,,
60,Other Social Security and Welfare Programmes,,,,,
200,Other Programmes,,,,,
#,State's Expenditure,,,,,
JO,Implementation of Annapurna Scheme,,,,,2235 60 200 JO 30000
309,Grants-in-Aid,"42,16","47,76","47,76","47,76",2235 60 200 JO 30900
03,Grants for Specific Schemes,"42,16","47,76","47,76","47,76",2235 60 200 JO 30903
JO,Total JO,"42,16","47,76","47,76","47,76",
#,State's Expenditure Total,"42,16","47,76","47,76","47,76",
#,Central Sector Schemes,,,,,
SE,Tamilnadu State Society for Consumer Protection and Empowerment,,,,,2235 60 200 SE 30000
309,Grants-in-Aid,,1,1,1,2235 60 200 SE 30900
03,Grants for Specific Schemes,,1,1,1,2235 60 200 SE 30903
SE,Total SE,1,1,1,,
#,Central Sector Schemes Total,,1,1,1,
200,Total 200,"42,16","47,77","47,77","47,77",
789,Special Component Plan for Scheduled Castes State's Expenditure,,,,,
JB,Implementation of Annapurna Scheme Under Special Component Plan,,,,,2235 60 789 JB 30000
309,Grants-in-Aid,"11,61","17,88","17,88","17,88",2235 60 789 JB 30900
03,Grants for Specific Schemes,"11,61","17,88","17,88","17,88","2235 60 789 JB 30903"""
JB,Total JB,"11,61","17,88","17,88","17,88",
#,State's Expenditure Total,"11,61","17,88","17,88","17,88",
789,Total 789,"11,61","17,88","17,88","17,88",
60,Total 60,"53,77","65,65","65,65","65,65",
2235,Total 2235,"53,77","65,65","65,65","65,65",
2408,FOOD STORAGE AND WAREHOUSING,,,,,
01,Food,,,,,
101,Procurement and Supply State's Expenditure,,,,,
JA,Implement the e-procurement system in the Direct Purchase Centres in Tamil Nadu,,,,2408 01 101 JA 30000,
305,Office Expenses,,,2,2,2408 01 101 JA 30500
01,Telephone Charges,,,1,1,2408 01 101 JA 30501
02,Other Contingencies,,,1,1,2408 01 101 JA 30502
333,Payments for Professional and Special Services,,1,1,1,2408 01 101 JA 33300
03,Special Service,,1,1,1,"2408 01 101 JA 33303"""
JA,Total JA,,1,3,3,
#,State's Expenditure Total,,1,3,3,
101,Total 101,,1,3,3,
01,Total 01,1,3,3,,
2408,Total 2408,1,3,3,,
3456-00,CIVIL SUPPLIES,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Headquarters,,,,,3456 00 001 AA 30000
301,Salaries,"4,81,66","6,78,59","6,07,88","6,21,08",3456 00 001 AA 30100
01,Pay,"4,16,99","5,95,00","4,85,00","5,00,00",3456 00 001 AA 30101
02,Medical Allowance,"3,08","3,42","3,78","3,90",3456 00 001 AA 30102
03,Medical Charges,26,50,"5,93","1,20",3456 00 001 AA 30103
04,Other Allowances,"4,52","4,50","4,80","5,00",3456 00 001 AA 30104
06,House Rent Allowance,"48,13","60,97","60,97","62,80",3456 00 001 AA 30106
07,Travel Concession,9,72,72,72,3456 00 001 AA 30107
08,City Compensatory Allowance,"8,23","11,80","9,00","9,78",3456 00 001 AA 30108
09,Honorarium,36,"1,68","37,68","37,68",3456 00 001 AA 30109
303,Dearness Allowance,"43,37","77,35","77,60","1,22,50",3456 00 001 AA 30300
01,Dearness Allowance,"43,37","77,35","77,60","1,22,50",3456 00 001 AA 30301
304,Travel Expenses,"1,99","6,16","6,16","6,16",3456 00 001 AA 30400
01,Tour Travelling Allowances,"1,99","6,00","6,00","6,00",3456 00 001 AA 30401
02,Transfer Travelling Allowances,,16,16,16,3456 00 001 AA 30402
305,Office Expenses,"11,93","15,97","15,97","16,04",3456 00 001 AA 30500
01,Telephone Charges,"4,50","7,50","7,50","7,50",3456 00 001 AA 30501
02,Other Contingencies,"6,49","7,52","7,52","7,52",3456 00 001 AA 30502
04,Service Postage & Postal Expenditure,94,94,94,"1,01",3456 00 001 AA 30504
05,Furniture,,1,1,1,3456 00 001 AA 30505
319,Machinery and Equipments,"1,57",31,"1,34",31,3456 00 001 AA 31900
01,Purchase,"1,32",1,"1,04",1,3456 00 001 AA 31901
03,Maintenance,25,30,30,30,3456 00 001 AA 31903
321,Motor Vehicles,"9,89",21,"6,40",26,3456 00 001 AA 32100
01,Purchase,"9,84",1,"6,20",1,3456 00 001 AA 32101
02,Maintenance of Functional Vehicles,5,20,20,25,3456 00 001 AA 32102
333,Payments for Professional and Special Services,"38,25","46,51","8,37","6,22",3456 00 001 AA 33300
01,Pleaders Fees,"6,12","7,79","3,50","3,50",3456 00 001 AA 33301
03,Special Service,,1,"2,16",1,3456 00 001 AA 33303
04,Contract Payment,"32,13","38,71","2,71","2,71",3456 00 001 AA 33304
339,Rewards,,25,25,25,3456 00 001 AA 33900
01,Rewards,,25,25,25,3456 00 001 AA 33901
342,Service or Commitment Charges,,1,1,1,3456 00 001 AA 34200
01,Service or Commitment Charges,,1,1,1,3456 00 001 AA 34201
345,"Petroleum, Oil and Lubricant","3,64","6,22","6,22","6,22",3456 00 001 AA 34500
01,"Petroleum, Oil and Lubricant","3,64","6,22","6,22","6,22",3456 00 001 AA 34501
349,Festival Advances,- 16,,,,3456 00 001 AA 34900
01,Festival Advances-Debit,"2,70","4,00","10,00","11,00",3456 00 001 AA 34901
02,Festival Advances-Credit,"- 2,86","- 4,00","- 10,00","- 11,00",3456 00 001 AA 34902
351,Compensation Charged,,1,1,1,3456 00 001 AA 35100
51,Claims under no fault liability -  principal charges Charged,,1,1,1,3456 00 001 AA 35151
359,Prizes and Awards,4,10,10,10,3456 00 001 AA 35900
01,Prizes and Awards,4,10,10,10,3456 00 001 AA 35901
371,Printing Charges,,1,1,1,3456 00 001 AA 37100
01,Printing Charges,,1,1,1,3456 00 001 AA 37101
372,Training,,1,1,1,3456 00 001 AA 37200
01,Training,,1,1,1,3456 00 001 AA 37201
373,Transport Charges,,1,1,1,3456 00 001 AA 37300
01,Transport Charges,,1,1,1,3456 00 001 AA 37301
376,Computer and Accessories,85,16,"1,75,67",16,3456 00 001 AA 37600
01,Purchase,70,1,"1,75,52",1,3456 00 001 AA 37601
03,Stationery,15,15,15,15,3456 00 001 AA 37603
AA,Total AA Charged,,1,1,1,
AA,Total AA Voted,"5,93,03","8,31,87","9,06,00","7,79,34",
AB,District Establishment,,,,,3456 00 001 AB 30000
301,Salaries,"50,72,89","54,42,56","50,20,23","59,47,15",3456 00 001 AB 30100
01,Pay,"46,96,99","50,52,82","46,18,15","54,30,02",3456 00 001 AB 30101
02,Medical Allowance,"38,52","36,93","43,35","49,58",3456 00 001 AB 30102
03,Medical Charges,,2,2,2,3456 00 001 AB 30103
04,Other Allowances,"61,37","60,00","65,00","67,96",3456 00 001 AB 30104
06,House Rent Allowance,"2,61,78","2,78,17","2,78,19","3,84,05",3456 00 001 AB 30106
07,Travel Concession,,52,52,52,3456 00 001 AB 30107
08,City Compensatory Allowance,"14,23","14,10","15,00","15,00",3456 00 001 AB 30108
303,Dearness Allowance,"5,28,75","6,56,87","7,38,90","13,30,36",3456 00 001 AB 30300
01,Dearness Allowance,"5,28,75","6,56,87","7,38,90","13,30,36",3456 00 001 AB 30301
304,Travel Expenses,"1,12,52","1,14,40","1,24,80","1,34,80",3456 00 001 AB 30400
01,Tour Travelling Allowances,"97,51","1,00,00","1,09,00","1,19,00",3456 00 001 AB 30401
02,Transfer Travelling Allowances,31,"1,40",80,80,3456 00 001 AB 30402
03,Fixed Travelling Allowances,"14,70","13,00","15,00","15,00",3456 00 001 AB 30403
305,Office Expenses,"41,62","49,74","56,74","58,74",3456 00 001 AB 30500
01,Telephone Charges,"13,96","18,18","20,00","20,00",3456 00 001 AB 30501
02,Other Contingencies,"9,17","8,32","13,50","13,50",3456 00 001 AB 30502
03,Electricity Charges,"15,25","20,00","20,00","22,00",3456 00 001 AB 30503
04,Service Postage & Postal Expenditure,"3,24","3,24","3,24","3,24",3456 00 001 AB 30504
306,"Rent, Rates and Taxes",,25,,,3456 00 001 AB 30600
01,Rent,,25,,,3456 00 001 AB 30601
321,Motor Vehicles,"1,57","1,65","1,65","1,70",3456 00 001 AB 32100
01,Purchase,,,,5,3456 00 001 AB 32101
02,Maintenance of Functional Vehicles,"1,57","1,65","1,65","1,65",3456 00 001 AB 32102
333,Payments for Professional and Special Services,"1,63,86","84,61","92,02","92,02",3456 00 001 AB 33300
04,Contract Payment,"1,63,86","84,61","92,02","92,02",3456 00 001 AB 33304
339,Rewards,,1,1,1,3456 00 001 AB 33900
01,Rewards,,1,1,1,3456 00 001 AB 33901
345,"Petroleum, Oil and Lubricant","54,56","75,00","75,00","75,00",3456 00 001 AB 34500
01,"Petroleum, Oil and Lubricant","54,56","75,00","75,00","75,00",3456 00 001 AB 34501
349,Festival Advances,"- 3,09",,,,3456 00 001 AB 34900
01,Festival Advances-Debit,"26,95","37,50","1,20,00","1,20,00",3456 00 001 AB 34901
02,Festival Advances-Credit,"- 30,04","- 37,50","- 1,20,00","- 1,20,00",3456 00 001 AB 34902
351,Compensation Charged,,1,"8,40",1,3456 00 001 AB 35100
52,Other Compensations Charged,,1,"8,40",1,3456 00 001 AB 35152
359,Prizes and Awards,,8,8,8,3456 00 001 AB 35900
01,Prizes and Awards,,8,8,8,3456 00 001 AB 35901
371,Printing Charges,,1,1,1,3456 00 001 AB 37100
01,Printing Charges,,1,1,1,3456 00 001 AB 37101
AB,Total AB Charged,,1,"8,40",1,
AB,Total AB Voted,"59,72,68","64,25,18","61,09,44","76,39,87",
AK,Establishment of monitoring cell for Public Distribution system,,,,,3456 00 001 AK 30000
301,Salaries,,10,,,3456 00 001 AK 30100
01,Pay,,3,,,3456 00 001 AK 30101
02,Medical Allowance,,3,,,3456 00 001 AK 30102
06,House Rent Allowance,,2,,,3456 00 001 AK 30106
08,City Compensatory Allowance,,2,,,3456 00 001 AK 30108
349,Festival Advances,,,,,
01,Festival Advances-Debit,,1,1,1,3456 00 001 AK 34901
02,Festival Advances-Credit,,- 1,- 1,- 1,3456 00 001 AK 34902
AK,Total AK,10,,,,
AM,Computerisation of Zonal Offices of the Civil Supplies and Consumer Protection Department,,,,,3456 00 001 AM 30000
376,Computer and Accessories,"3,25","3,25","3,25","3,25",3456 00 001 AM 37600
02,Maintenance,"3,25","3,25","3,25","3,25",3456 00 001 AM 37602
AM,Total AM,"3,25","3,25","3,25","3,25",
AN,Strengthening of Computer Cell in the Civil Supplies Department,,,,,3456 00 001 AN 30000
372,Training,,1,1,1,3456 00 001 AN 37200
01,Training,,1,1,1,3456 00 001 AN 37201
376,Computer and Accessories,"6,55","9,00","9,00","9,00",3456 00 001 AN 37600
03,Stationery,"6,55","9,00","9,00","9,00",3456 00 001 AN 37603
AN,Total AN,"6,55","9,01","9,01","9,01",
#,State's Expenditure Total Charged,2,"8,41",2,
#,State's Expenditure Total Voted,"65,75,51","72,69,41","70,27,70","84,31,47",
