2070-00,OTHER ADMINISTRATIVE SERVICES,,,,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
BJ,State Consumer Disputes Redressal Commission - Headquarters Staff,,,,,2070 00 800 BJ 30000
301,"Salaries","1,73,24","2,20,47","2,19,64","2,28,13",2070 00 800 BJ 30100
01,"Pay","1,43,62","1,87,99","1,87,99","1,95,51",2070 00 800 BJ 30101
02,Medical Allowance,"1,24","1,29","1,29","1,29",2070 00 800 BJ 30102
03,Medical Charges,,12,1,1,2070 00 800 BJ 30103
04,Other Allowances,"1,39","3,60","3,60","3,74",2070 00 800 BJ 30104
06,House Rent Allowance,"20,01","18,54","18,57","19,31",2070 00 800 BJ 30106
07,"Travel Concession","1,28","1,69","1,69","1,69",2070 00 800 BJ 30107
08,City Compensatory,"2,36","3,10","2,35","2,44",2070 00 800 BJ 30108
Allowance,,,,,
09,Honorarium,"3,34","4,14","4,14","4,14",2070 00 800 BJ 30109
303,Dearness Allowance,"52,19","24,44","30,06","47,90",2070 00 800 BJ 30300
01,Dearness Allowance,"52,19","24,44","30,06","47,90",2070 00 800 BJ 30301
304,Travel Expenses,"2,49","4,20","3,20","4,20",2070 00 800 BJ 30400
01,"Tour Travelling","2,49","4,00","3,00","4,00",2070 00 800 BJ 30401
Allowances,,,,,
02,"Transfer Travelling",,20,20,20,2070 00 800 BJ 30402
Allowances,,,,,
305,Office Expenses,"7,00","9,75","22,68","14,90",2070 00 800 BJ 30500
01,"Telephone Charges",73,"2,50","1,85","2,00",2070 00 800 BJ 30501
013,02   State Consumer Dispute Redressal Commission,,,,,,
02,Other Contingencies,"1,34","2,65","14,18","4,50",2070 00 800 BJ 30502
03,Electricity Charges,"4,55","4,20","6,25","8,00",2070 00 800 BJ 30503
04,Service Postage & Postal,38,40,40,40,2070 00 800 BJ 30504
Expenditure,,,,,,
308,Advertising and,,91,"1,50","1,50","1,50",2070 00 800 BJ 30800
Publicity,,,,,,
01,Advertisement Charges,91,"1,50","1,50","1,50",2070 00 800 BJ 30801
