head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2045-00,OTHER TAXES AND DUTIES ON COMMODITIES AND SERVICES,,,,,
103,Collection Charges-Electricity Duty,,,,,
#,State's Expenditure,,,,,
AA,Chief Electrical Inspector,,,,,2045 00 103 AA 30000
301,Salaries,"7,93,27","12,03,25","8,86,61","12,26,06",2045 00 103 AA 30100
01,Pay,"7,10,25","10,87,85","8,00,00","11,09,12",2045 00 103 AA 30101
02,Medical Allowance,"4,87","5,76","5,28","6,05",2045 00 103 AA 30102
03,Medical Charges,26,50,40,40,2045 00 103 AA 30103
04,Other Allowances,"5,63","5,48","5,75","5,81",2045 00 103 AA 30104
06,House Rent Allowance,"62,29","90,47","65,00","91,51",2045 00 103 AA 30106
07,Travel Concession,,18,18,18,2045 00 103 AA 30107
08,City Compensatory Allowance,"9,97","13,01","10,00","12,99",2045 00 103 AA 30108
303,Dearness Allowance,"2,68,33","1,41,42","1,29,20","2,71,73",2045 00 103 AA 30300
01,Dearness Allowance,"2,68,33","1,41,42","1,29,20","2,71,73",2045 00 103 AA 30301
304,Travel Expenses,"2,87","4,30","4,50","4,49",2045 00 103 AA 30400
01,Tour Travelling Allowances,"2,74","3,80","4,00","4,00",2045 00 103 AA 30401
02,Transfer Travelling Allowances,13,50,50,49,2045 00 103 AA 30402
305,Office Expenses,"15,30","19,80","20,60","20,10",2045 00 103 AA 30500
01,Telephone Charges,"4,41","6,00","6,00","6,00",2045 00 103 AA 30501
02,Other Contingencies,"2,73","2,20","3,00","2,50",2045 00 103 AA 30502
03,Electricity Charges,"5,18","7,10","7,10","7,10",2045 00 103 AA 30503
04,Service Postage & Postal Expenditure,"2,98","4,50","4,50","4,50",2045 00 103 AA 30504
306,"Rent, Rates and Taxes","23,80","30,01","30,01","30,01",2045 00 103 AA 30600
01,Rent,"22,00","28,00","28,00","28,00",2045 00 103 AA 30601
02,Property tax,"1,39","1,51","1,51","1,51",2045 00 103 AA 30602
03,Water Charges,41,50,50,50,2045 00 103 AA 30603
308,Advertising and Publicity,63,2,2,2,2045 00 103 AA 30800
01,Advertisement Charges,63,2,2,2,2045 00 103 AA 30801
312,Scholarships and Stipends,"3,03","5,00","5,00","5,00",2045 00 103 AA 31200
09,Others,"3,03","5,00","5,00","5,00",2045 00 103 AA 31209
319,Machinery and Equipments,,11,11,10,2045 00 103 AA 31900
01,Purchase,,1,1,,2045 00 103 AA 31901
03,Maintenance,,10,10,10,2045 00 103 AA 31903
321,Motor Vehicles,"7,43",21,"13,70",21,2045 00 103 AA 32100
01,Purchase,"7,43",1,"13,30",1,2045 00 103 AA 32101
02,Maintenance of Functional Vehicles,,20,40,20,2045 00 103 AA 32102
333,Payments for Professional and Special Services,23,31,60,80,2045 00 103 AA 33300
01,Pleaders Fees,,1,30,50,2045 00 103 AA 33301
04,Contract Payment,23,30,30,30,2045 00 103 AA 33304
345,"Petroleum, Oil and Lubricant","1,21","4,00","4,00","4,00",2045 00 103 AA 34500
01,"Petroleum, Oil and Lubricant","1,21","4,00","4,00","4,00",2045 00 103 AA 34501
346,"Clothing, Tentage and Stores",15,17,17,17,2045 00 103 AA 34600
01,"Clothing, Tentage and Stores",15,17,17,17,2045 00 103 AA 34601
349,Festival Advances,- 14,,,,2045 00 103 AA 34900
01,Festival Advances-Debit,"2,40","7,30","10,00","10,00",2045 00 103 AA 34901
02,Festival Advances-Credit,"- 2,54","- 7,30","- 10,00","- 10,00",2045 00 103 AA 34902
359,Prizes and Awards,2,15,5,5,2045 00 103 AA 35900
01,Prizes and Awards,2,15,5,5,2045 00 103 AA 35901
368,"Cost of Books/Note Books/Slates, etc.",3,3,60,5,2045 00 103 AA 36800
01,"Cost of Books/Note Books/Slates, etc.",3,3,60,5,2045 00 103 AA 36801
372,Training,,10,10,10,2045 00 103 AA 37200
01,Training,,10,10,10,2045 00 103 AA 37201
376,Computer and Accessories,"2,24","2,36","24,85","2,51",2045 00 103 AA 37600
01,Purchase,,1,"22,35",1,2045 00 103 AA 37601
02,Maintenance,94,"1,00","1,00","1,00",2045 00 103 AA 37602
03,Stationery,"1,30","1,35","1,50","1,50",2045 00 103 AA 37603
AA,Total AA,"11,18,40","14,11,24","11,20,12","15,65,40",
AB,"Tamil Nadu Tax on Consumption or Sale of Electricity Act, 2003",,,,,2045 00 103 AB 30000
301,Salaries,"69,22","93,44","67,51","82,31",2045 00 103 AB 30100
01,Pay,"62,45","84,66","60,00","74,99",2045 00 103 AB 30101
02,Medical Allowance,37,40,40,33,2045 00 103 AB 30102
03,Medical Charges,,10,10,10,2045 00 103 AB 30103
04,Other Allowances,15,15,15,9,2045 00 103 AB 30104
06,House Rent Allowance,"5,34","7,06","6,00","5,93",2045 00 103 AB 30106
08,City Compensatory Allowance,91,"1,07",86,87,2045 00 103 AB 30108
303,Dearness Allowance,"7,12","11,01","8,40","18,37",2045 00 103 AB 30300
01,Dearness Allowance,"7,12","11,01","8,40","18,37",2045 00 103 AB 30301
304,Travel Expenses,13,92,34,55,2045 00 103 AB 30400
01,Tour Travelling Allowances,13,88,30,50,2045 00 103 AB 30401
02,Transfer Travelling Allowances,,4,4,5,2045 00 103 AB 30402
349,Festival Advances,- 2,,,,2045 00 103 AB 34900
01,Festival Advances-Debit,20,35,70,70,2045 00 103 AB 34901
02,Festival Advances-Credit,- 22,- 35,- 70,- 70,2045 00 103 AB 34902
AB,Total AB,"76,45","1,05,37","76,25","1,01,23",
JA,Testing Equipments for the improvement of electrical testing activities,,,,,2045 00 103 JA 30000
319,Machinery and Equipments,"2,83",2,2,,2045 00 103 JA 31900
01,Purchase,"2,83",2,2,,2045 00 103 JA 31901
333,Payments for Professional and Special Services,"7,20","7,25","7,25","7,25",2045 00 103 JA 33300
03,Special Service,"7,20","7,25","7,25","7,25",2045 00 103 JA 33303
JA,Total JA,"10,03","7,27","7,27","7,25",
JB,Implementation of Energy Efficiency Measures (EEM),,,,,2045 00 103 JB 30000
319,Machinery and Equipments,,1,1,,2045 00 103 JB 31900
01,Purchase,,1,1,,2045 00 103 JB 31901
359,Prizes and Awards,,1,1,1,2045 00 103 JB 35900
01,Prizes and Awards,,1,1,1,2045 00 103 JB 35901
372,Training,,1,1,1,2045 00 103 JB 37200
01,Training,,1,1,1,2045 00 103 JB 37201
JB,Total JB,,3,3,2,
JD,Implementation of Energy Efficiency Measures - Expenditure met from the State Energy Conservation Fund,,,,,2045 00 103 JD 30000
309,Grants-in-Aid,"55,92",1,"1,41,84",1,2045 00 103 JD 30900
03,Grants for Specific Schemes,"55,92",1,"1,41,84",1,2045 00 103 JD 30903
JD,Total JD,"55,92",1,"1,41,84",1,
JE,Implementation of e-governance in Electrical Inspectorate,,,,,2045 00 103 JE 30000
376,Computer and Accessories,,1,1,1,2045 00 103 JE 37600
01,Purchase,,1,1,1,2045 00 103 JE 37601
JE,Total JE,,1,1,1,
JF,Demonstration Project on energy Efficiency among public sector rice mills - Scheme under State Innovation Fund,,,,,2045 00 103 JF 30000
319,Machinery and Equipments,,1,1,,2045 00 103 JF 31900
01,Purchase,,1,1,,2045 00 103 JF 31901
JF,Total JF,,1,1,,
#,State's Expenditure Total,"12,60,80","15,23,94","13,45,53","16,73,92",
103,Total 103,"12,60,80","15,23,94","13,45,53","16,73,92",
200,Collection charges-Other Taxes and Duties,,,,,
#,State's Expenditure,,,,,
AA,"Collection Charges to Licensees under Tamil Nadu Tax on Consumption or Sale of Electricity Act, 2003",,,,,2045 00 200 AA 30000
334,Other Charges,,1,,,2045 00 200 AA 33400
01,Other Items,,1,,,2045 00 200 AA 33401
342,Service or Commitment Charges,,1,,,2045 00 200 AA 34200
01,Service or Commitment Charges,,1,,,2045 00 200 AA 34201
AA,Total AA,,2,,,
#,State's Expenditure Total,,2,,,
200,Total 200,,2,,,
797,Transfer to Reserve Fund and Deposit Account,,,,,
#,State's Expenditure,,,,,
JA,Amount transferred to the State Energy Conservation Fund,,,,,2045 00 797 JA 30000
330,Inter-Account Transfers,"10,00",1,"47,86",1,2045 00 797 JA 33000
01,Inter-Account Transfers,"10,00",1,"47,86",1,2045 00 797 JA 33001
JA,Total JA,"10,00",1,"47,86",1,
#,State's Expenditure Total,"10,00",1,"47,86",1,
797,Total 797,"10,00",1,"47,86",1,
902,Deduct - Amount met from the State Energy Conservation Fund,,,,,
#,State's Expenditure,,,,,
