head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2801,POWER,,,,,
80,General,,,,,
101,Assistance to Electricity Board,,,,,
#,State's Expenditure,,,,,
AG,Hydel Swing Support Scheme,,,,,2801 80 101 AG 30000
311,Subsidies,,"1,25,00,00",1,1,2801 80 101 AG 31100
01,Individual Based Subsidy,,"1,25,00,00",1,1,2801 80 101 AG 31101
AG,Total AG,"1,25,00,00",1,1,,
JD,Assistance to Tamil Nadu Electricity Board for Accelerated Power Development Reforms Programme,,,,,2801 80 101 JD 30000
309,Grants-in-Aid,,1,1,1,2801 80 101 JD 30900
01,Grants for Current Expenditure,,1,1,1,2801 80 101 JD 30901
JD,Total JD,1,1,1,,
JF,CFL Lamps for Huts,,,,,2801 80 101 JF 30000
309,Grants-in-Aid,,1,1,1,2801 80 101 JF 30900
03,Grants for Specific Schemes,,1,1,1,2801 80 101 JF 30903
JF,Total JF,1,1,1,,
JG,Intra State Transmission Scheme under Green Energy Corridor Project with Grant from Ministry of New and Renewable Energy,,,,,2801 80 101 JG 30000
309,Grants-in-Aid,,1,1,1,2801 80 101 JG 30900
09,Others,,1,1,1,2801 80 101 JG 30909
JG,Total JG,1,1,1,,
JH,Grants to TANGEDCO under UDAY Scheme,,,,,2801 80 101 JH 30000
309,Grants-in-Aid,"45,63,00,00","45,63,00,00","45,63,00,00","45,63,00,00",2801 80 101 JH 30900
04,Grants for Debt Servicing,"45,63,00,00","45,63,00,00","45,63,00,00","45,63,00,00",2801 80 101 JH 30904
JH,Total JH,"45,63,00,00","45,63,00,00","45,63,00,00","45,63,00,00",
#,State's Expenditure Total,"45,63,00,00","46,88,00,03","45,63,00,04","45,63,00,04",
101,Total 101,"45,63,00,00","46,88,00,03","45,63,00,04","45,63,00,04",
80,Total 80,"45,63,00,00","46,88,00,03","45,63,00,04","45,63,00,04",
2801,Total 2801,"45,63,00,00","46,88,00,03","45,63,00,04","45,63,00,04",
4801,CAPITAL OUTLAY ON POWER PROJECTS,,,,,
05,Transmission and Distribution,,,,,
190,Investments in Public Sector and other undertakings,,,,,
#,State's Expenditure,,,,,
AA,Share Capital -Assistance to TANTRANSCO for Chennai-Kanyakumari Industrial Corridor(CKIC) Project,,,,,4801 05 190 AA 40000
422,Investments,,,"1,50,00,00","4,50,00,00",4801 05 190 AA 42200
01,Investments,,,"1,50,00,00","4,50,00,00",4801 05 190 AA 42201
AA,Total AA,,,"1,50,00,00","4,50,00,00",
#,State's Expenditure Total,,,"1,50,00,00","4,50,00,00",
190,Total 190,,,"1,50,00,00","4,50,00,00",
05,Total 05,,,"1,50,00,00","4,50,00,00",
80,General,,,,,
101,Investments in State Electricity Boards,,,,,
#,State's Expenditure,,,,,
JA,Share Capital Assistance to Tamil Nadu Electricity Board,,,,,4801 80 101 JA 40000
422,Investments,,1,1,1,4801 80 101 JA 42200
01,Investments,,1,1,1,4801 80 101 JA 42201
JA,Total JA,,1,1,1,
#,State's Expenditure Total,,1,1,1,
#,Externally Aided Projects,,,,,
PB,Cyclone Resilient Electrical Network under Coastal Disaster Risk Reduction Project (CDRRP),,,,,4801 80 101 PB 40000
422,Investments,"1,11,63,89","1,65,00,00","2,78,98,00","16,21,11",4801 80 101 PB 42200
01,Investments,"1,11,63,89","1,65,00,00","2,78,98,00","16,21,11",4801 80 101 PB 42201
PB,Total PB,"1,11,63,89","1,65,00,00","2,78,98,00","16,21,11",
PC,Upgradation of Avadi 110 KV SS to 230 / 110KV SS with associated lines - Thiruvallur District under TNIPP Phase-2,,,,,4801 80 101 PC 40000
422,Investments,,"36,00,00","6,45,00","29,55,00",4801 80 101 PC 42200
01,Investments,,"36,00,00","6,45,00","29,55,00",4801 80 101 PC 42201
PC,Total PC,,"36,00,00","6,45,00","29,55,00",
PD,Establishment of 230 / 110 KV SS at BHEL Thuvakudi - Trichy District under TNIPP Phase-2,,,,,4801 80 101 PD 40000
422,Investments,"10,00,00","29,24,00","29,24,00",,4801 80 101 PD 42200
01,Investments,"10,00,00","29,24,00","29,24,00",,4801 80 101 PD 42201
PD,Total PD,"10,00,00","29,24,00","29,24,00",,
PE,Erection of 230 KV and 110 KV transmission lines associated with BHEL Thuvakudi - Trichy District under TNIPP Phase-2,,,,,4801 80 101 PE 40000
422,Investments,"10,00,00","67,76,00","67,76,00",,4801 80 101 PE 42200
01,Investments,"10,00,00","67,76,00","67,76,00",,4801 80 101 PE 42201
PE,Total PE,"10,00,00","67,76,00","67,76,00",,
PF,Establishment of 110 KV SS with associated 110 KV lines at Sojitz Motherson - Kancheepuram District under TNIPP Phase-2,,,,,4801 80 101 PF 40000
422,Investments,"6,00,00","6,00,00","2,06,00","3,94,00",4801 80 101 PF 42200
01,Investments,"6,00,00","6,00,00","2,06,00","3,94,00",4801 80 101 PF 42201
PF,Total PF,"6,00,00","6,00,00","2,06,00","3,94,00",
PG,Establishment of 110 KV SS with associated 110 KV lines at Mahendra World City-II - Kancheepuram District under TNIPP Phase-2,,,,,4801 80 101 PG 40000
422,Investments,"5,00,00","5,00,00","5,00,00",,4801 80 101 PG 42200
01,Investments,"5,00,00","5,00,00","5,00,00",,4801 80 101 PG 42201
PG,Total PG,"5,00,00","5,00,00","5,00,00",,
PH,Establishment of 110 KV SS with associated 110 KV lines at Thirumani - Kancheepuram District under TNIPP Phase-2,,,,,4801 80 101 PH 40000
