head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2810,NEW AND RENEWABLE ENERGY,,,,,
02,Solar,,,,,
800,Other Expenditure,,,,,
#,State's Expenditure,,,,,
AA,Implementation of mass publicity and Awareness Campaign on Green Energy across Tamil Nadu,,,,,2810 02 800 AA 30000
309,Grants-in-Aid,,"1,00,00",,,2810 02 800 AA 30900
03,Grants for Specific Schemes,,"1,00,00",,,2810 02 800 AA 30903
AA,Total AA,,"1,00,00",,,
JA,"Installation of 170kw grid connected Solar Power Plant at Irumbai Village, Vanur Taluk Villupuram District for uninterrupted Electricity Scheme under State Innovation Fund",,,,,2810 02 800 JA 30000
309,Grants-in-Aid,,1,1,1,2810 02 800 JA 30900
03,Grants for Specific Schemes,,1,1,1,2810 02 800 JA 30903
JA,Total JA,1,1,,1,
#,State's Expenditure Total,1,"1,00,01",,1,
800,Total 800,,1,"1,00,01",1,
02,Total 02,,1,"1,00,01",1,
2810,Total 2810,,1,"1,00,01",1,
3425,OTHER SCIENTIFIC RESEARCH,,,,,
60,Others,,,,,
200,Assistance to other Scientific Bodies,,,,,
#,State's Expenditure,,,,,
JE,Assistance to Tamil Nadu Energy Development Agency,,,,,3425 60 200 JE 30000
309,Grants-in-Aid,"2,00,00","2,10,02","2,10,02","2,10,02",3425 60 200 JE 30900
01,Grants for Current Expenditure,"2,00,00","2,10,00","2,10,00","2,10,00",3425 60 200 JE 30901
03,Grants for Specific Schemes,,2,2,2,3425 60 200 JE 30903
JE,Total JE,"2,00,00","2,10,02","2,10,02","2,10,02",
JS,Night Soil Based Bio-Gas Plant at Village Panchayats - Implemented by TEDA,,,,,3425 60 200 JS 30000
309,Grants-in-Aid,,1,1,1,3425 60 200 JS 30900
03,Grants for Specific Schemes,,1,1,1,3425 60 200 JS 30903
JS,Total JS,1,1,1,,
JX,CM's Awards to consumers using Solar Power Plants,,,,,3425 60 200 JX 30000
359,Prizes and Awards,,1,,,3425 60 200 JX 35900
01,Prizes and Awards,,1,,,3425 60 200 JX 35901
JX,Total JX,1,,,,
#,State's Expenditure Total,"2,00,00","2,10,04","2,10,03","2,10,03",
#,Central Sector Schemes,,,,,
SA,Renewable Energy Project and Research and Development Project,,,,,3425 60 200 SA 30000
309,Grants-in-Aid,,1,1,1,3425 60 200 SA 30900
01,Grants for Current Expenditure,,1,1,1,3425 60 200 SA 30901
SA,Total SA,1,1,1,,
#,Central Sector Schemes Total,,1,1,1,
#,Schemes shared between State and Centre,,,,,
UB,Electrification of Remote Habitations,,,,,3425 60 200 UB 30000
309,Grants-in-Aid,,1,1,1,3425 60 200 UB 30900
03,Grants for Specific Schemes,,1,1,1,3425 60 200 UB 30903
UB,Total UB,1,1,1,,
UC,Renewable Energy Project and Research and Development Project,,,,,3425 60 200 UC 30000
309,Grants-in-Aid,,1,1,1,3425 60 200 UC 30900
01,Grants for Current Expenditure,,1,1,1,3425 60 200 UC 30901
UC,Total UC,1,1,1,,
#,Schemes shared between State and Centre Total,,2,2,2,
200,Total 200,"2,00,00","2,10,07","2,10,06","2,10,06",
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
JE,Assistance to Tamil Nadu Energy Development Agency,,,,,3425 60 911 JE 30000
377,Deduct-Recoveries,"- 3,22,87",,,,3425 60 911 JE 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"- 3,22,87",,,,3425 60 911 JE 37702
JE,Total JE,"- 3,22,87",,,,
#,State's Expenditure Total,"- 3,22,87",,,,
911,Total 911,"- 3,22,87",,,,
60,Total 60,"- 1,22,87","2,10,07","2,10,06","2,10,06",
3425,Total 3425,"- 1,22,87","2,10,07","2,10,06","2,10,06",
