head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3451-00,SECRETARIAT - ECONOMIC SERVICES,,,,,
090,Secretariat,,,,,
#,State's Expenditure,,,,,
AL,Environment and Forest Department,,,,,3451 00 090 AL 30000
301,Salaries,"7,79,34","8,43,02","8,48,38","8,77,50",3451 00 090 AL 30100
01,Pay,"6,69,67","7,28,00","7,28,00","7,57,12",3451 00 090 AL 30101
02,Medical Allowance,"3,21","3,12","3,38","3,38",3451 00 090 AL 30102
03,Medical Charges,"2,28","4,16","3,48","3,48",3451 00 090 AL 30103
04,Other Allowances,"8,04","7,28","7,28","7,28",3451 00 090 AL 30104
06,House Rent Allowance,"81,98","81,50","87,28","87,28",3451 00 090 AL 30106
07,Travel Concession,"1,19","3,36","3,36","3,36",3451 00 090 AL 30107
08,City Compensatory Allowance,"12,97","15,60","15,60","15,60",3451 00 090 AL 30108
303,Dearness Allowance,"59,69","94,64","1,16,48","1,85,49",3451 00 090 AL 30300
01,Dearness Allowance,"59,69","94,64","1,16,48","1,85,49",3451 00 090 AL 30301
304,Travel Expenses,"6,49","10,30","10,30","10,30",3451 00 090 AL 30400
01,Tour Travelling Allowances,"6,23","10,00","10,00","10,00",3451 00 090 AL 30401
02,Transfer Travelling Allowances,26,30,30,30,3451 00 090 AL 30402
305,Office Expenses,"8,30","10,61","10,20","8,50",3451 00 090 AL 30500
01,Telephone Charges,"1,02","1,60","1,50","1,50",3451 00 090 AL 30501
02,Other Contingencies,"5,43","8,00","6,00","6,00",3451 00 090 AL 30502
04,Service Postage & Postal Expenditure,"1,00","1,00","1,00","1,00",3451 00 090 AL 30504
05,Furniture,85,1,"1,70",,3451 00 090 AL 30505
319,Machinery and Equipments,"1,77",1,47,1,3451 00 090 AL 31900
01,Purchase,"1,77",1,47,1,3451 00 090 AL 31901
321,Motor Vehicles,,21,21,21,3451 00 090 AL 32100
01,Purchase,,1,1,1,3451 00 090 AL 32101
02,Maintenance of Functional Vehicles,,20,20,20,3451 00 090 AL 32102
333,Payments for Professional and Special Services,"28,34","20,01","28,01","28,01",3451 00 090 AL 33300
01,Pleaders Fees,"28,34","20,00","28,00","28,00",3451 00 090 AL 33301
04,Contract Payment,,1,1,1,3451 00 090 AL 33304
345,"Petroleum, Oil and Lubricant","2,70","2,86","2,86","2,86",3451 00 090 AL 34500
01,"Petroleum, Oil and Lubricant","2,70","2,86","2,86","2,86",3451 00 090 AL 34501
349,Festival Advances,- 7,,,,3451 00 090 AL 34900
01,Festival Advances-Debit,"3,60","7,00","10,00","10,00",3451 00 090 AL 34901
02,Festival Advances-Credit,"- 3,67","- 7,00","- 10,00","- 10,00",3451 00 090 AL 34902
351,Compensation,,1,1,1,3451 00 090 AL 35100
01,Claims under no fault liability -  principal charges  - Voted,,1,1,1,3451 00 090 AL 35101
359,Prizes and Awards,2,10,10,10,3451 00 090 AL 35900
01,Prizes and Awards,2,10,10,10,3451 00 090 AL 35901
372,Training,,1,1,1,3451 00 090 AL 37200
01,Training,,1,1,1,3451 00 090 AL 37201
376,Computer and Accessories,"2,84","8,01","7,28","3,51",3451 00 090 AL 37600
01,Purchase,,1,"3,78",1,3451 00 090 AL 37601
02,Maintenance,,"2,00",50,50,3451 00 090 AL 37602
03,Stationery,"2,84","6,00","3,00","3,00",3451 00 090 AL 37603
AL,Total AL,"8,89,42","9,89,79","10,24,31","11,16,51",
#,State's Expenditure Total,"8,89,42","9,89,79","10,24,31","11,16,51",
090,Total 090,"8,89,42","9,89,79","10,24,31","11,16,51",
00,Total 00,"8,89,42","9,89,79","10,24,31","11,16,51",
3451,Total 3451,"8,89,42","9,89,79","10,24,31","11,16,51",
7610-00,LOANS TO GOVERNMENT SERVANTS ETC.,,,,,
201,House Building Advances,,,,,
#,State's Expenditure,,,,,
AF,Loans to Indian Forest Service Officers for construction of houses,,,,,7610 00 201 AF 50000
502,Loan - Outgo,,"20,00,00","40,00","80,00",7610 00 201 AF 50200
01,Bearing Interest,,"20,00,00","40,00","80,00",7610 00 201 AF 50201
AF,Total AF,,"20,00,00","40,00","80,00",
AN,Loans to Secretariat Employees for construction of houses - Environment and Forest Department,,,,,7610 00 201 AN 50000
502,Loan - Outgo,,1,1,"25,00",7610 00 201 AN 50200
01,Bearing Interest,,1,1,"25,00",7610 00 201 AN 50201
AN,Total AN,,1,1,"25,00",
#,State's Expenditure Total,,"20,00,01","40,01","1,05,00",
201,Total 201,,"20,00,01","40,01","1,05,00",
00,Total 00,,"20,00,01","40,01","1,05,00",
7610,Total 7610,,"20,00,01","40,01","1,05,00",
