head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3435,ECOLOGY AND ENVIRONMENT,,,,,
03,Environmental Research and Ecological Regeneration,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Environment Department,,,,,3435 03 001 AA 30000
301,Salaries,"78,24","1,05,57","1,31,64","1,36,05",3435 03 001 AA 30100
01,Pay,"66,04","85,80","1,10,00","1,14,40",3435 03 001 AA 30101
02,Medical Allowance,45,56,60,60,3435 03 001 AA 30102
03,Medical Charges,10,"1,00",50,50,3435 03 001 AA 30103
04,Other Allowances,"1,54","2,99","2,99","3,00",3435 03 001 AA 30104
06,House Rent Allowance,"8,92","13,18","15,00","15,00",3435 03 001 AA 30106
07,Travel Concession,,55,55,55,3435 03 001 AA 30107
08,City Compensatory Allowance,"1,19","1,49","2,00","2,00",3435 03 001 AA 30108
302,Wages,,1,1,1,3435 03 001 AA 30200
01,Wages,,1,1,1,3435 03 001 AA 30201
303,Dearness Allowance,"5,66","11,85","17,60","28,03",3435 03 001 AA 30300
01,Dearness Allowance,"5,66","11,85","17,60","28,03",3435 03 001 AA 30301
304,Travel Expenses,17,"1,39",99,99,3435 03 001 AA 30400
01,Tour Travelling Allowances,17,"1,29",95,95,3435 03 001 AA 30401
02,Transfer Travelling Allowances,,10,4,4,3435 03 001 AA 30402
305,Office Expenses,"5,12","7,51","7,40","7,40",3435 03 001 AA 30500
01,Telephone Charges,33,41,45,45,3435 03 001 AA 30501
02,Other Contingencies,"1,92","2,10","2,00","2,00",3435 03 001 AA 30502
03,Electricity Charges,"2,42","4,50","4,50","4,50",3435 03 001 AA 30503
04,Service Postage & Postal Expenditure,45,50,45,45,3435 03 001 AA 30504
306,"Rent, Rates and Taxes","5,56","6,00","15,00","10,00",3435 03 001 AA 30600
01,Rent,"5,56","6,00","15,00","10,00",3435 03 001 AA 30601
307,Publications,,1,1,1,3435 03 001 AA 30700
01,Publications,,1,1,1,3435 03 001 AA 30701
308,Advertising and Publicity,"54,00",2,2,2,3435 03 001 AA 30800
02,Exhibition,,1,1,1,3435 03 001 AA 30802
09,Others,"54,00",1,1,1,3435 03 001 AA 30809
309,Grants-in-Aid,"2,78,04",2,2,2,3435 03 001 AA 30900
03,Grants for Specific Schemes,"2,28,04",1,1,1,3435 03 001 AA 30903
09,Others,"50,00",1,1,1,3435 03 001 AA 30909
319,Machinery and Equipments,,1,1,1,3435 03 001 AA 31900
01,Purchase,,1,1,1,3435 03 001 AA 31901
321,Motor Vehicles,18,25,25,25,3435 03 001 AA 32100
02,Maintenance of Functional Vehicles,18,25,25,25,3435 03 001 AA 32102
333,Payments for Professional and Special Services,"4,24","3,61","7,21","7,21",3435 03 001 AA 33300
03,Special Service,,1,1,1,3435 03 001 AA 33303
04,Contract Payment,"4,24","3,60","7,20","7,20",3435 03 001 AA 33304
345,"Petroleum, Oil and Lubricant","1,66","3,00","3,00","3,00",3435 03 001 AA 34500
01,"Petroleum, Oil and Lubricant","1,66","3,00","3,00","3,00",3435 03 001 AA 34501
346,"Clothing, Tentage and Stores",9,12,12,12,3435 03 001 AA 34600
01,"Clothing, Tentage and Stores",9,12,12,12,3435 03 001 AA 34601
349,Festival Advances,- 4,,,,3435 03 001 AA 34900
01,Festival Advances-Debit,40,70,"2,00","2,00",3435 03 001 AA 34901
02,Festival Advances-Credit,- 44,- 70,"- 2,00","- 2,00",3435 03 001 AA 34902
351,Compensation Charged,,1,,,3435 03 001 AA 35100,
351,Compensation Voted,,1,,,3435 03 001 AA 35100,
01,Claims under no fault liability -  principal charges Voted,,1,,,3435 03 001 AA 35101
51,Claims under no fault liability -  principal charges Charged,,1,,,3435 03 001 AA 35151,
359,Prizes and Awards,"1,31","2,00","1,50","1,50",3435 03 001 AA 35900
01,Prizes and Awards,"1,31","2,00","1,50","1,50",3435 03 001 AA 35901
372,Training,,1,1,1,3435 03 001 AA 37200
01,Training,,1,1,1,3435 03 001 AA 37201
376,Computer and Accessories,59,60,"2,65",61,3435 03 001 AA 37600
01,Purchase,,,"2,05",1,3435 03 001 AA 37601
03,Stationery,59,60,60,60,3435 03 001 AA 37603
AA,Total AA Charged,,1,,,
AA,Total AA Voted,"4,34,82","1,41,99","1,87,44","1,95,24",
JC,Award for best Ad-film on Environmental protection under State Innovation Fund,,,,,3435 03 001 JC 30000
309,Grants-in-Aid,"20,00",1,"30,00",1,3435 03 001 JC 30900
03,Grants for Specific Schemes,"20,00",1,"30,00",1,3435 03 001 JC 30903
JC,Total JC,"20,00",1,"30,00",1,
#,State's Expenditure Total Charged,,1,,,
#,State's Expenditure Total Voted,,,,,
001,Total 001,"4,54,82","1,42,00","2,17,44","1,95,25",
003,Environmental Training Charged,,1,,,,
003,Environmental Training Voted,"4,54,82","1,42,00","2,17,44","1,95,25",,
#,State's Expenditure,,,,,
