head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2054-00,TREASURY AND ACCOUNTS ADMINISTRATION,,,,,
098,Local Fund Audit,,,,,
#,State's Expenditure,,,,,
AA,Director's Office,,,,,2054 00 098 AA 30000
301,Salaries,"14,48,45","15,91,83","11,96,37","12,59,20",2054 00 098 AA 30100
01,Pay,"12,60,47","14,04,80","10,37,17","11,00,00",2054 00 098 AA 30101
02,Medical Allowance,"7,80","6,40","6,16","6,16",2054 00 098 AA 30102
03,Medical Charges,"1,14","3,00","2,24","2,24",2054 00 098 AA 30103
04,Other Allowances,"3,93","4,10","4,50","4,50",2054 00 098 AA 30104
06,House Rent Allowance,"1,47,33","1,47,60","1,22,18","1,22,18",2054 00 098 AA 30106
07,Travel Concession,8,90,90,90,2054 00 098 AA 30107
08,City Compensatory Allowance,"25,76","23,10","21,30","21,30",2054 00 098 AA 30108
09,Honorarium,"1,94","1,93","1,92","1,92",2054 00 098 AA 30109
303,Dearness Allowance,"1,19,32","1,82,62","1,65,95","2,69,50",2054 00 098 AA 30300
01,Dearness Allowance,"1,19,32","1,82,62","1,65,95","2,69,50",2054 00 098 AA 30301
304,Travel Expenses,"4,36","2,92","2,52","2,52",2054 00 098 AA 30400
01,Tour Travelling Allowances,"4,27","2,32","2,32","2,32",2054 00 098 AA 30401
02,Transfer Travelling Allowances,9,60,20,20,2054 00 098 AA 30402
305,Office Expenses,"9,65","12,99","13,17","13,17",2054 00 098 AA 30500
01,Telephone Charges,"1,15","2,14","2,32","2,32",2054 00 098 AA 30501
02,Other Contingencies,"7,10","9,44","9,44","9,44",2054 00 098 AA 30502
04,Service Postage & Postal Expenditure,"1,40","1,40","1,40","1,40",2054 00 098 AA 30504
05,Furniture,,1,1,1,2054 00 098 AA 30505
319,Machinery and Equipments,"2,17",34,"1,44",34,2054 00 098 AA 31900
01,Purchase,"1,87",1,"1,11",1,2054 00 098 AA 31901
03,Maintenance,30,33,33,33,2054 00 098 AA 31903
321,Motor Vehicles,30,80,80,80,2054 00 098 AA 32100
01,Purchase,,1,1,1,2054 00 098 AA 32101
02,Maintenance of Functional Vehicles,30,78,78,78,2054 00 098 AA 32102
03,Hire Charges,,1,1,1,2054 00 098 AA 32103
333,Payments for Professional and Special Services,"11,39","1,21","11,24","8,85",2054 00 098 AA 33300
01,Pleaders Fees,"3,07","1,20","1,00","1,00",2054 00 098 AA 33301
03,Special Service,"8,32",1,"7,84","7,84",2054 00 098 AA 33303
04,Contract Payment,,,"2,40",1,2054 00 098 AA 33304
345,"Petroleum, Oil and Lubricant","1,49","3,27","3,27","3,27",2054 00 098 AA 34500
01,"Petroleum, Oil and Lubricant","1,49","3,27","3,27","3,27",2054 00 098 AA 34501
349,Festival Advances,10,,,,2054 00 098 AA 34900
