head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2425-00,CO-OPERATION,,,,,
101,Audit of Co-Operatives,,,,,
#,State's Expenditure,,,,,
AB,Headquarters Staff,,,,,2425 00 101 AB 30000
301,Salaries,"2,38,05","2,81,56","2,33,45","3,15,89",2425 00 101 AB 30100
01,Pay,"2,09,93","2,54,60","2,03,45","2,85,89",2425 00 101 AB 30101
02,Medical Allowance,"1,39","1,16","1,22","1,22",2425 00 101 AB 30102
03,Medical Charges,26,15,50,50,2425 00 101 AB 30103
04,Other Allowances,"1,00",66,71,71,2425 00 101 AB 30104
06,House Rent Allowance,"21,60","21,77","23,98","23,98",2425 00 101 AB 30106
07,Travel Concession,,10,10,10,2425 00 101 AB 30107
08,City Compensatory Allowance,"3,87","3,12","3,49","3,49",2425 00 101 AB 30108
302,Wages,,1,1,1,2425 00 101 AB 30200
01,Wages,,1,1,1,2425 00 101 AB 30201
303,Dearness Allowance,"18,41","33,10","32,55","70,04",2425 00 101 AB 30300
01,Dearness Allowance,"18,41","33,10","32,55","70,04",2425 00 101 AB 30301
304,Travel Expenses,"1,31","4,18","4,18","4,18",2425 00 101 AB 30400
01,Tour Travelling Allowances,"1,26","4,08","4,08","4,08",2425 00 101 AB 30401
02,Transfer Travelling Allowances,5,10,10,10,2425 00 101 AB 30402
305,Office Expenses,"3,48","3,91","9,80","4,06",2425 00 101 AB 30500
01,Telephone Charges,"1,04","1,33","7,24","1,75",2425 00 101 AB 30501
02,Other Contingencies,"1,64","1,75","1,75","1,50",2425 00 101 AB 30502
04,Service Postage & Postal Expenditure,80,82,80,80,2425 00 101 AB 30504
05,Furniture,,1,1,1,2425 00 101 AB 30505
313,Hospitality / Entertainment Expenditure,27,"1,00","1,00","2,00",2425 00 101 AB 31300
01,Hospitality / Entertainment Expenditure,27,"1,00","1,00","2,00",2425 00 101 AB 31301
319,Machinery and Equipments,"4,31","1,57","7,63","1,60",2425 00 101 AB 31900
01,Purchase,,,"6,03",,2425 00 101 AB 31901
03,Maintenance,"4,31","1,57","1,60","1,60",2425 00 101 AB 31903
321,Motor Vehicles,60,11,51,51,2425 00 101 AB 32100
01,Purchase,,1,1,1,2425 00 101 AB 32101
02,Maintenance of Functional Vehicles,60,10,50,50,2425 00 101 AB 32102
333,Payments for Professional and Special Services,"1,90","5,70","11,03","10,78",2425 00 101 AB 33300
01,Pleaders Fees,79,"1,00","1,27","1,02",2425 00 101 AB 33301
04,Contract Payment,"1,11","4,70","9,76","9,76",2425 00 101 AB 33304
