1601,Secretariat Charged,1,,,1
1601,Secretariat Voted,"2,08,01,00","5,00,00,02","50,00","7,08,51,02"
1602,Directorate of Treasuries and Accounts Charged,1,,,1
1602,Directorate of Treasuries and Accounts Voted,"6,71,46,46",,"1,25,96,53","7,97,42,99"
1603,Directorate of Local Fund Audit Charged,1,,,1
1603,Directorate of Local Fund Audit Voted,"78,54,94",,,"78,54,94"
1604,Directorate of Small Savings Charged,1,,,1
1604,Directorate of Small Savings Voted,"11,80,91",,,"11,80,91"
1606,Commissionerate of Government Data Centre Voted,"5,99,44",,,"5,99,44"
1606,Directorate of Co-operative Audit Voted,"98,86,17",,,"98,86,17"
1607,State Government Audit Department Charged,1,,,1
1607,State Government Audit Department Voted,"47,30,62",,,"47,30,62"
1608,Directorate of Pension Charged,1,,,1
1608,Directorate of Pension Voted,"35,15,72",,,"35,15,72"
1611,Directorate of Audit for Milk Co-operatives Voted,"12,45,09",,,"12,45,09"
16,Total Charged,6,,,6
16,Total Voted,"11,69,60,35","5,00,00,02","1,26,46,53","17,96,06,90"
