head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2235,SOCIAL SECURITY AND WELFARE,,,,,
60,Other Social Security and Welfare Programmes,,,,,
200,Other Programmes,,,,,
#,State's Expenditure,,,,,
JK,Free distribution of Handloom Cloth to the People Below Poverty Line,,,,,2235 60 200 JK 30000
308,Advertising and Publicity,"29,95","20,00","27,86","27,00",2235 60 200 JK 30800
01,Advertisement Charges,"29,95","20,00","27,86","27,00",2235 60 200 JK 30801
309,Grants-in-Aid,"4,99,24","5,00,00","5,00,00","5,00,00",2235 60 200 JK 30900
03,Grants for Specific Schemes,"4,99,24","5,00,00","5,00,00","5,00,00",2235 60 200 JK 30903
311,Subsidies,"3,36,54,85","3,59,00,00","3,59,00,00","3,59,00,00",2235 60 200 JK 31100
02,General Subsidy,"3,36,54,85","3,59,00,00","3,59,00,00","3,59,00,00",2235 60 200 JK 31102
342,Service or Commitment Charges,"45,67","75,00","75,00","75,00",2235 60 200 JK 34200
01,Service or Commitment Charges,"45,67","75,00","75,00","75,00",2235 60 200 JK 34201
JK,Total JK,"3,42,29,71","3,64,95,00","3,65,02,86","3,65,02,00",
LZ,Supply of Bed sheets and Lungies etc to Kerala State for flood Relief,,,,,2235 60 200 LZ 30000
346,"Clothing, Tentage and Stores",,,"3,52,33",,2235 60 200 LZ 34600
01,"Clothing, Tentage and Stores",,,"3,52,33",,2235 60 200 LZ 34601
LZ,Total LZ,,,"3,52,33",,
#,State's Expenditure Total,"3,42,29,71","3,64,95,00","3,68,55,19","3,65,02,00",
200,Total 200,"3,42,29,71","3,64,95,00","3,68,55,19","3,65,02,00",
789,Special Component Plan for Scheduled Castes,,,,,
#,State's Expenditure,,,,,
JS,Free Distribution of Handloom Cloth to the People Below Poverty line under Special Component Plan,,,,,2235 60 789 JS 30000
311,Subsidies,"1,19,99,99","1,20,00,00","1,20,00,00","1,20,00,00",2235 60 789 JS 31100
02,General Subsidy,"1,19,99,99","1,20,00,00","1,20,00,00","1,20,00,00",2235 60 789 JS 31102
JS,Total JS,"1,19,99,99","1,20,00,00","1,20,00,00","1,20,00,00",
#,State's Expenditure Total,"1,19,99,99","1,20,00,00","1,20,00,00","1,20,00,00",
789,Total 789,"1,19,99,99","1,20,00,00","1,20,00,00","1,20,00,00",
796,Tribal Area Sub-Plan,,,,,
#,State's Expenditure,,,,,
JB,Free distribution of Handloom Cloth to the People Below Poverty Line,,,,,2235 60 796 JB 30000
311,Subsidies,"5,25,00","5,25,00","5,25,00","5,25,00",2235 60 796 JB 31100
02,General Subsidy,"5,25,00","5,25,00","5,25,00","5,25,00",2235 60 796 JB 31102
JB,Total JB,"5,25,00","5,25,00","5,25,00","5,25,00",
#,State's Expenditure Total,"5,25,00","5,25,00","5,25,00","5,25,00",
796,Total 796,"5,25,00","5,25,00","5,25,00","5,25,00",
911,Deduct - Recoveries of Overpayments,,,,,
#,State's Expenditure,,,,,
JZ,Free distribution of Handloom Cloth to the People Below Poverty Line,,,,,2235 60 911 JZ 30000
377,Deduct-Recoveries,"- 4,75,52",,,,2235 60 911 JZ 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"- 4,75,52",,,,2235 60 911 JZ 37702
JZ,Total JZ,"- 4,75,52",,,,
#,State's Expenditure Total,"- 4,75,52",,,,
911,Total 911,"- 4,75,52",,,,
60,Total 60,"4,62,79,18","4,90,20,00","4,93,80,19","4,90,27,00",
2235,Total 2235,"4,62,79,18","4,90,20,00","4,93,80,19","4,90,27,00",
2851-00,VILLAGE AND SMALL INDUSTRIES,,,,,
103,Handloom Industries,,,,,
#,State's Expenditure,,,,,
AB,Directorate of Handloom and Textiles,,,,,2851 00 103 AB 30000
301,Salaries,"5,43,20","4,44,30","5,14,60","4,34,38",2851 00 103 AB 30100
01,Pay,"4,70,97","3,82,26","4,55,52","3,75,30",2851 00 103 AB 30101
02,Medical Allowance,"2,40","2,16","2,16","2,16",2851 00 103 AB 30102
03,Medical Charges,"3,31","3,92","3,92","3,92",2851 00 103 AB 30103
04,Other Allowances,"3,17","2,75","1,64","1,64",2851 00 103 AB 30104
06,House Rent Allowance,"55,01","44,83","43,41","43,41",2851 00 103 AB 30106
07,Travel Concession,,60,17,17,2851 00 103 AB 30107
08,City Compensatory Allowance,"8,34","7,78","7,78","7,78",2851 00 103 AB 30108
302,Wages,"1,01","1,20","1,26","1,30",2851 00 103 AB 30200
01,Wages,"1,01","1,20","1,26","1,30",2851 00 103 AB 30201
303,Dearness Allowance,"49,44","49,70","72,90","91,95",2851 00 103 AB 30300
01,Dearness Allowance,"49,44","49,70","72,90","91,95",2851 00 103 AB 30301
304,Travel Expenses,"13,78","18,58","18,58","18,58",2851 00 103 AB 30400
01,Tour Travelling Allowances,"13,68","18,34","18,34","18,34",2851 00 103 AB 30401
02,Transfer Travelling Allowances,10,24,24,24,2851 00 103 AB 30402
305,Office Expenses,"15,15","16,83","17,15","17,51",2851 00 103 AB 30500
01,Telephone Charges,"1,71","2,58","2,60","2,60",2851 00 103 AB 30501
02,Other Contingencies,"3,50","3,50","3,50","3,86",2851 00 103 AB 30502
03,Electricity Charges,"8,74","9,55","9,55","9,55",2851 00 103 AB 30503
04,Service Postage & Postal Expenditure,"1,20","1,20","1,50","1,50",2851 00 103 AB 30504
306,"Rent, Rates and Taxes","86,55","86,65","84,30","84,35",2851 00 103 AB 30600
01,Rent,"85,90","85,90","83,30","83,30",2851 00 103 AB 30601
03,Water Charges,65,75,"1,00","1,05",2851 00 103 AB 30603
308,Advertising and Publicity,"2,07,55","7,55","7,55","6,26",2851 00 103 AB 30800
01,Advertisement Charges,"7,55","7,55","7,55","6,26",2851 00 103 AB 30801
02,Exhibition,"2,00,00",,,,2851 00 103 AB 30802
317,Minor Works,,1,1,1,2851 00 103 AB 31700
01,Minor Works,,1,1,1,2851 00 103 AB 31701
319,Machinery and Equipments,"1,90","1,91","1,91","1,91",2851 00 103 AB 31900
01,Purchase,,1,1,1,2851 00 103 AB 31901
03,Maintenance,"1,90","1,90","1,90","1,90",2851 00 103 AB 31903
321,Motor Vehicles,,22,22,22,2851 00 103 AB 32100
01,Purchase,,1,1,1,2851 00 103 AB 32101
02,Maintenance of Functional Vehicles,,21,21,21,2851 00 103 AB 32102
333,Payments for Professional and Special Services,"14,51",25,25,25,2851 00 103 AB 33300
01,Pleaders Fees,"14,51",25,25,25,2851 00 103 AB 33301
345,"Petroleum, Oil and Lubricant","1,88","3,00","3,00","3,00",2851 00 103 AB 34500
01,"Petroleum, Oil and Lubricant","1,88","3,00","3,00","3,00",2851 00 103 AB 34501
349,Festival Advances,- 13,,,,2851 00 103 AB 34900
01,Festival Advances-Debit,"2,15","3,45","6,35","6,35",2851 00 103 AB 34901
02,Festival Advances-Credit,"- 2,28","- 3,45","- 6,35","- 6,35",2851 00 103 AB 34902
351,Compensation,,,,,
Charged,,1,1,1,2851 00 103 AB 35100,
52,Other Compensations Charged,,,,,
359,Prizes and Awards,,20,20,20,2851 00 103 AB 35900
01,Prizes and Awards,,20,20,20,2851 00 103 AB 35901
372,Training,"25,00",1,"13,83",60,2851 00 103 AB 37200
01,Training,"25,00",1,"13,83",60,2851 00 103 AB 37201
376,Computer and Accessories,"4,70","4,75","5,00","5,00",2851 00 103 AB 37600
02,Maintenance,"1,96","2,00","2,00","2,00",2851 00 103 AB 37602
03,Stationery,"2,74","2,75","3,00","3,00",2851 00 103 AB 37603
AB,Total AB,,,,,
Charged,,1,1,1,,
Voted,"9,64,54","6,35,16","7,40,76","6,65,52",,
AC,District Administration,,,,,2851 00 103 AC 30000
301,Salaries,"13,64,59","14,18,03","13,32,53","14,88,84",2851 00 103 AC 30100
01,Pay,"12,62,88","13,16,64","12,24,30","13,80,61",2851 00 103 AC 30101
02,Medical Allowance,"8,51","8,75","8,75","8,75",2851 00 103 AC 30102
03,Medical Charges,14,20,20,20,2851 00 103 AC 30103
04,Other Allowances,"6,54","5,40","6,75","6,75",2851 00 103 AC 30104
06,House Rent Allowance,"77,84","79,99","85,86","85,86",2851 00 103 AC 30106
07,Travel Concession,9,54,16,16,2851 00 103 AC 30107
08,City Compensatory Allowance,"8,59","6,51","6,51","6,51",2851 00 103 AC 30108
303,Dearness Allowance,"1,38,99","1,71,16","1,95,87","3,38,25",2851 00 103 AC 30300
01,Dearness Allowance,"1,38,99","1,71,16","1,95,87","3,38,25",2851 00 103 AC 30301
304,Travel Expenses,"23,11","23,94","23,94","23,94",2851 00 103 AC 30400
01,Tour Travelling Allowances,"23,06","22,80","22,80","22,80",2851 00 103 AC 30401
02,Transfer Travelling Allowances,5,"1,14","1,14","1,14",2851 00 103 AC 30402
305,Office Expenses,"12,70","15,30","17,90","17,90",2851 00 103 AC 30500
01,Telephone Charges,"3,20","4,45","4,43","4,43",2851 00 103 AC 30501
02,Other Contingencies,"1,81","1,75","1,75","1,75",2851 00 103 AC 30502
03,Electricity Charges,"6,56","7,85","10,37","10,37",2851 00 103 AC 30503
04,Service Postage & Postal Expenditure,"1,13","1,25","1,35","1,35",2851 00 103 AC 30504
306,"Rent, Rates and Taxes","18,74","23,00","21,18","21,18",2851 00 103 AC 30600
01,Rent,"18,74","23,00","21,18","21,18",2851 00 103 AC 30601
308,Advertising and Publicity,"7,69","7,00","7,00","7,00",2851 00 103 AC 30800
02,Exhibition,"7,69","7,00","7,00","7,00",2851 00 103 AC 30802
317,Minor Works,,1,1,1,2851 00 103 AC 31700
01,Minor Works,,1,1,1,2851 00 103 AC 31701
319,Machinery and Equipments,"1,60","1,60","1,60","1,60",2851 00 103 AC 31900
03,Maintenance,"1,60","1,60","1,60","1,60",2851 00 103 AC 31903
321,Motor Vehicles,53,55,55,55,2851 00 103 AC 32100
01,Purchase,2,1,1,1,2851 00 103 AC 32101
02,Maintenance of Functional Vehicles,51,54,54,54,2851 00 103 AC 32102
333,Payments for Professional and Special Services,"28,41","32,22","37,09","37,09",2851 00 103 AC 33300
04,Contract Payment,"28,41","32,22","37,09","37,09",2851 00 103 AC 33304
345,"Petroleum, Oil and Lubricant","12,20","13,70","14,25","14,25",2851 00 103 AC 34500
01,"Petroleum, Oil and Lubricant","12,20","13,70","14,25","14,25",2851 00 103 AC 34501
349,Festival Advances,51,,,,2851 00 103 AC 34900
01,Festival Advances-Debit,"7,55","11,50","21,90","21,90",2851 00 103 AC 34901
02,Festival Advances-Credit,"- 7,04","- 11,50","- 21,90","- 21,90",2851 00 103 AC 34902
359,Prizes and Awards,,46,46,46,2851 00 103 AC 35900
01,Prizes and Awards,,46,46,46,2851 00 103 AC 35901
376,Computer and Accessories,"1,24","1,25","1,65","1,65",2851 00 103 AC 37600
03,Stationery,"1,24","1,25","1,65","1,65",2851 00 103 AC 37603
AC,Total AC,"16,10,31","17,08,22","16,54,03","19,52,72",
