head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2551,HILL AREAS,,,,,
01,Western Ghats,,,,,
108,Village and Small Industries,,,,,
#,State's Expenditure,,,,,
JB,Establishment of Government Mulberry Seed Farm and Disinfection Squad under Western Ghat Development Programme,,,,,2551 01 108 JB 30000
309,Grants-in-Aid,,1,1,1,2551 01 108 JB 30900
01,Grants for Current Expenditure,,1,1,1,2551 01 108 JB 30901
JB,Total JB,,1,1,1,
#,State's Expenditure Total,,1,1,1,
Total 108,,1,1,,1,
Total 01,,1,1,,1,
60,Other Hill Areas,,,,,
108,Village and Small Industries,,,,,
#,State's Expenditure,,,,,
JB,Implementation of Sericulture Schemes under Hill Area Development Programme,,,,,2551 60 108 JB 30000
309,Grants-in-Aid,,1,1,1,2551 60 108 JB 30900
03,Grants for Specific Schemes,,1,1,1,2551 60 108 JB 30903
JB,Total JB,1,1,1,,
#,State's Expenditure Total,,1,1,1,
108,Total 108,1,1,1,,
60,Total 60,1,1,1,,
2551,Total 2551,2,2,2,,
2851-00,VILLAGE AND SMALL INDUSTRIES,,,,,
107,Sericulture Industries,,,,,
#,State's Expenditure,,,,,
AA,Sericulture Development and Maintenance,,,,,2851 00 107 AA 30000
317,Minor Works,,"6,00","6,00",1,2851 00 107 AA 31700
01,Minor Works,,"6,00","6,00",1,2851 00 107 AA 31701
318,Maintenance,,"3,75","3,75","9,01",2851 00 107 AA 31800
01,Periodical Maintenance,,"1,75","1,75","9,00",2851 00 107 AA 31801
02,Special Maintenance,,"2,00","2,00",1,2851 00 107 AA 31802
AA,Total AA,"9,75","9,75","9,02",,
AB,Direction and Administration,,,,,2851 00 107 AB 30000
301,Salaries,"12,49,85","12,30,12","12,74,94","12,84,94",2851 00 107 AB 30100
01,Pay,"11,51,29","11,44,63","11,85,83","11,95,83",2851 00 107 AB 30101
02,Medical Allowance,"7,89","8,10","8,26","8,26",2851 00 107 AB 30102
03,Medical Charges,"1,12",5,1,1,2851 00 107 AB 30103
04,Other Allowances,"17,89","23,50","16,57","16,57",2851 00 107 AB 30104
06,House Rent Allowance,"65,20","46,44","58,56","58,56",2851 00 107 AB 30106
07,Travel Concession,2,6,1,1,2851 00 107 AB 30107
08,City Compensatory Allowance,"6,44","7,34","5,70","5,70",2851 00 107 AB 30108
302,Wages,80,1,,,2851 00 107 AB 30200
01,Wages,80,1,,,2851 00 107 AB 30201
303,Dearness Allowance,"1,09,75","1,51,24","1,86,25","2,92,98",2851 00 107 AB 30300
01,Dearness Allowance,"1,09,75","1,51,24","1,86,25","2,92,98",2851 00 107 AB 30301
304,Travel Expenses,"39,05","40,37","36,69","36,69",2851 00 107 AB 30400
01,Tour Travelling Allowances,"37,96","39,26","36,00","36,00",2851 00 107 AB 30401
02,Transfer Travelling Allowances,"1,09","1,11",69,69,2851 00 107 AB 30402
305,Office Expenses,"24,26","26,75","28,70","29,35",2851 00 107 AB 30500
01,Telephone Charges,"4,73","5,14","5,28","5,28",2851 00 107 AB 30501
02,Other Contingencies,"4,07","4,13","4,22","4,13",2851 00 107 AB 30502
