head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2051-00,PUBLIC SERVICE COMMISSION,,,,,
103,Staff Selection Commission,,,,,
#,State's Expenditure,,,,,
AA,Medical Services Recruitment Board,,,,,2051 00 103 AA 30000
301,Salaries,"75,64","88,73","88,73","98,08",2051 00 103 AA 30100
01,Pay,"63,05","74,00","74,00","82,00",2051 00 103 AA 30101
02,Medical Allowance,29,43,43,43,2051 00 103 AA 30102
03,Medical Charges,18,50,50,55,2051 00 103 AA 30103
04,Other Allowances,"2,31","3,10","3,10","3,40",2051 00 103 AA 30104
06,House Rent Allowance,"8,80","9,60","9,60","10,50",2051 00 103 AA 30106
08,City Compensatory Allowance,"1,01","1,10","1,10","1,20",2051 00 103 AA 30108
303,Dearness Allowance,"6,43","9,62","11,84","20,09",2051 00 103 AA 30300
01,Dearness Allowance,"6,43","9,62","11,84","20,09",2051 00 103 AA 30301
304,Travel Expenses,14,55,55,50,2051 00 103 AA 30400
01,Tour Travelling Allowances,14,55,55,50,2051 00 103 AA 30401
305,Office Expenses,"2,17","1,91","1,96","2,16",2051 00 103 AA 30500
01,Telephone Charges,39,40,45,50,2051 00 103 AA 30501
02,Other Contingencies,"1,33","1,50","1,50","1,65",2051 00 103 AA 30502
04,Service Postage & Postal Expenditure,45,1,1,1,2051 00 103 AA 30504
308,Advertising and Publicity,,1,1,1,2051 00 103 AA 30800
01,Advertisement Charges,,1,1,1,2051 00 103 AA 30801
321,Motor Vehicles,,20,20,22,2051 00 103 AA 32100
02,Maintenance of Functional Vehicles,,20,20,22,2051 00 103 AA 32102
333,Payments for Professional and Special Services,"20,25","18,01","22,51","25,50",2051 00 103 AA 33300
01,Pleaders Fees,,1,1,"1,00",2051 00 103 AA 33301
04,Contract Payment,"20,25","18,00","22,50","24,50",2051 00 103 AA 33304
345,"Petroleum, Oil and Lubricant","1,45","2,00","2,00","2,20",2051 00 103 AA 34500
01,"Petroleum, Oil and Lubricant","1,45","2,00","2,00","2,20",2051 00 103 AA 34501
349,Festival Advances,- 1,,,,2051 00 103 AA 34900
01,Festival Advances-Debit,20,60,"1,00","1,00",2051 00 103 AA 34901
02,Festival Advances-Credit,- 21,- 60,"- 1,00","- 1,00",2051 00 103 AA 34902
359,Prizes and Awards,,2,2,2,2051 00 103 AA 35900
01,Prizes and Awards,,2,2,2,2051 00 103 AA 35901
376,Computer and Accessories,18,35,35,30,2051 00 103 AA 37600
03,Stationery,18,35,35,30,2051 00 103 AA 37603
AA,Total AA,"1,06,25","1,21,40","1,28,17","1,49,08",
#,State's Expenditure Total,"1,06,25","1,21,40","1,28,17","1,49,08",
103,Total 103,"1,06,25","1,21,40","1,28,17","1,49,08",
00,Total 00,"1,06,25","1,21,40","1,28,17","1,49,08",
2051,Total 2051,"1,06,25","1,21,40","1,28,17","1,49,08",
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
BW,Buildings - Medical and Rural Health Services (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 BW 30000
318,Maintenance,"27,75,59","28,00,00","28,00,00","28,00,00",2059 01 053 BW 31800
01,Periodical Maintenance,"27,75,59","28,00,00","28,00,00","28,00,00",2059 01 053 BW 31801
BW,Total BW,"27,75,59","28,00,00","28,00,00","28,00,00",
#,State's Expenditure Total,"27,75,59","28,00,00","28,00,00","28,00,00",
053,Total 053,"27,75,59","28,00,00","28,00,00","28,00,00",
01,Total 01,"27,75,59","28,00,00","28,00,00","28,00,00",
2059,Total 2059,"27,75,59","28,00,00","28,00,00","28,00,00",
2210,MEDICAL AND PUBLIC HEALTH,,,,,
01,Urban Health Services-Allopathy,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Headquarters of Directorate of Medical and Rural Health Services,,,,,2210 01 001 AA 30000
301,Salaries,"11,59,89","12,50,28","12,50,28","13,17,18",2210 01 001 AA 30100
01,Pay,"10,15,03","11,03,00","11,03,00","11,69,00",2210 01 001 AA 30101
02,Medical Allowance,"7,56","6,70","6,70","6,70",2210 01 001 AA 30102
