head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2012,PRESIDENT/ VICE-PRESIDENT/ GOVERNOR/ ADMINISTRATOR,,,,,
OF,UNION TERRITORIES,,,,,
03,Governor/ Administrator of Union Territories,,,,,
103,Household Establishment,,,,,
#,State's Expenditure,,,,,
AD,Medical Establishment - charged,,,,,2012 03 103 AD 30000
301,Salaries Charged,"13,43","85,60","85,60","88,82",2012 03 103 AD 30100
01,Pay Charged,"11,96","80,46","80,46","83,68",2012 03 103 AD 30101
02,Medical Allowance Charged,6,51,51,51,2012 03 103 AD 30102
03,Medical Charges Charged,,8,8,8,2012 03 103 AD 30103
04,Other Allowances Charged,65,"2,00","2,00","2,00",2012 03 103 AD 30104
06,House Rent Allowance Charged,53,"1,75","1,75","1,75",2012 03 103 AD 30106
08,City Compensatory Allowance Charged,23,80,80,80,2012 03 103 AD 30108
303,Dearness Allowance Charged,"6,44","10,46","12,87","20,50",2012 03 103 AD 30300
01,Dearness Allowance Charged,"6,44","10,46","12,87","20,50",2012 03 103 AD 30301
304,Travel Expenses Charged,,"8,98","8,98","8,98",2012 03 103 AD 30400
01,Tour Travelling Allowances Charged,,"8,96","8,96","8,96",2012 03 103 AD 30401
02,Transfer Travelling Allowances Charged,,2,2,2,2012 03 103 AD 30402
305,Office Expenses Charged,22,"1,75","1,75","1,75",2012 03 103 AD 30500
01,Telephone Charges Charged,,24,24,24,2012 03 103 AD 30501
02,Other Contingencies Charged,21,"1,50","1,50","1,50",2012 03 103 AD 30502
04,Service Postage & Postal Expenditure Charged,1,1,1,1,2012 03 103 AD 30504
319,Machinery and Equipments Charged,26,26,26,26,2012 03 103 AD 31900
03,Maintenance Charged,26,26,26,26,2012 03 103 AD 31903
321,Motor Vehicles Charged,,13,13,13,2012 03 103 AD 32100
02,Maintenance of Functional Vehicles Charged,,13,13,13,2012 03 103 AD 32102
345,"Petroleum, Oil and Lubricant Charged",,40,40,40,2012 03 103 AD 34500
01,"Petroleum, Oil and Lubricant Charged",,40,40,40,2012 03 103 AD 34501
346,"Clothing, Tentage and Stores Charged",,20,20,20,2012 03 103 AD 34600
01,"Clothing, Tentage and Stores Charged",,20,20,20,2012 03 103 AD 34601
347,Stores and Equipments Charged,,10,10,10,2012 03 103 AD 34700
01,Stores - Voted Charged,,10,10,10,2012 03 103 AD 34701
349,Festival Advances,,,,,
01,Festival Advances-Debit Charged,,30,30,60,2012 03 103 AD 34901
02,Festival Advances-Credit Charged,,- 30,- 30,- 60,2012 03 103 AD 34902
359,Prizes and Awards Charged,,2,2,2,2012 03 103 AD 35900
01,Prizes and Awards Charged,,2,2,2,2012 03 103 AD 35901
366,Medicine Charged,"23,27","27,00","27,00","27,00",2012 03 103 AD 36600
01,Medicine Charged,"23,27","27,00","27,00","27,00",2012 03 103 AD 36601
376,Computer and Accessories Charged,13,31,31,31,2012 03 103 AD 37600
02,Maintenance Charged,8,10,10,10,2012 03 103 AD 37602
03,Stationery Charged,5,21,21,21,2012 03 103 AD 37603
AD,Total AD Charged,"43,75","1,35,21","1,37,62","1,48,47",
#,State's Expenditure Total Charged,"43,75","1,35,21","1,37,62","1,48,47",
103,Total 103 Charged,"43,75","1,35,21","1,37,62","1,48,47",
03,Total 03 Charged,"43,75","1,35,21","1,37,62","1,48,47",
2012,Total 2012 Charged,"43,75","1,35,21","1,37,62","1,48,47",
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
BV,Buildings Medical Education (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 BV 30000
318,Maintenance,"36,79,20","40,00,00","40,00,00","45,00,00",2059 01 053 BV 31800
01,Periodical Maintenance,"36,79,20","40,00,00","40,00,00","45,00,00",2059 01 053 BV 31801
BV,Total BV,"36,79,20","40,00,00","40,00,00","45,00,00",
#,State's Expenditure Total,"36,79,20","40,00,00","40,00,00","45,00,00",
053,Total 053,"36,79,20","40,00,00","40,00,00","45,00,00",
01,Total 01,"36,79,20","40,00,00","40,00,00","45,00,00",
2059,Total 2059,"36,79,20","40,00,00","40,00,00","45,00,00",
2210,MEDICAL AND PUBLIC HEALTH,,,,,
01,Urban Health Services-Allopathy,,,,,
110,Hospitals and Dispensaries,,,,,
#,State's Expenditure,,,,,
AJ,"Rajiv Gandhi Government General Hospital, Chennai",,,,,2210 01 110 AJ 30000
301,Salaries,"92,98,16","97,43,07","98,20,28","1,02,04,56",2210 01 110 AJ 30100
01,Pay,"79,74,79","83,81,30","83,83,80","87,19,16",2210 01 110 AJ 30101
02,Medical Allowance,"52,72","56,89","56,96","56,96",2210 01 110 AJ 30102
03,Medical Charges,11,"1,44","1,72","1,86",2210 01 110 AJ 30103
04,Other Allowances,"1,97,31","2,38,08","2,38,08","2,38,08",2210 01 110 AJ 30104
06,House Rent Allowance,"9,07,98","9,00,00","9,73,00","10,21,70",2210 01 110 AJ 30106
07,Travel Concession,41,"1,75","1,72","1,80",2210 01 110 AJ 30107
08,City Compensatory Allowance,"1,64,84","1,63,61","1,65,00","1,65,00",2210 01 110 AJ 30108
