head,desc,2018,2019Est,2019Rev,2020Est,dpcode
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs,,,,,
#,State's Expenditure,,,,,
BX,Buildings - Indian Medicine and Homoeopathy (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 BX 30000
318,Maintenance,"1,28,42","1,65,00","1,80,00","2,00,00",2059 01 053 BX 31800 
01,Periodical Maintenance,"1,28,42","1,65,00","1,80,00","2,00,00",2059 01 053 BX 31801
BX,Total BX,"1,28,42","1,65,00","1,80,00","2,00,00",
#,State's Expenditure Total,"1,28,42","1,65,00","1,80,00","2,00,00",
053,Total 053,"1,28,42","1,65,00","1,80,00","2,00,00",
01,Total 01,"1,28,42","1,65,00","1,80,00","2,00,00",
2059,Total 2059,"1,28,42","1,65,00","1,80,00","2,00,00",
2210,MEDICAL AND PUBLIC HEALTH,,,,,
02,Urban Health Services - other systems of medicine,,,,,
001,Direction and Administration,,,,,
#,State's Expenditure,,,,,
AA,Directorate of Indian Medicine and Homoeopathy - Head Quarters,,,,,2210 02 001 AA 30000
301,Salaries,"2,49,31","2,38,46","2,52,72","2,61,60",2210 02 001 AA 30100
01,Pay,"2,18,52","2,08,81","2,20,00","2,28,80",2210 02 001 AA 30101
02,Medical Allowance,"1,46","1,44","1,64","1,69",2210 02 001 AA 30102
03,Medical Charges,11,"1,20",60,63,2210 02 001 AA 30103
04,Other Allowances,"1,56","1,41","1,50","1,50",2210 02 001 AA 30104
06,House Rent Allowance,"23,44","20,98","24,00","24,00",2210 02 001 AA 30106
07,Travel Concession,,68,68,68,2210 02 001 AA 30107
08,City Compensatory Allowance,"4,22","3,94","4,30","4,30",2210 02 001 AA 30108
303,Dearness Allowance,"31,22","27,15","35,35","56,06",2210 02 001 AA 30300
01,Dearness Allowance,"31,22","27,15","35,35","56,06",2210 02 001 AA 30301
304,Travel Expenses,62,"4,25","4,39","4,25",2210 02 001 AA 30400
01,Tour Travelling Allowances,62,"4,24","4,24","4,24",2210 02 001 AA 30401
02,Transfer Travelling Allowances,,1,15,1,2210 02 001 AA 30402
305,Office Expenses,"4,13","4,33","4,03","4,20",2210 02 001 AA 30500
01,Telephone Charges,"1,18","1,36","1,06","1,10",2210 02 001 AA 30501
02,Other Contingencies,"2,25","2,27","2,27","2,37",2210 02 001 AA 30502
04,Service Postage & Postal Expenditure,70,70,70,73,2210 02 001 AA 30504
308,Advertising and Publicity,"1,76","4,42","3,35","4,67",2210 02 001 AA 30800
01,Advertisement Charges,,"2,82","1,50","2,82",2210 02 001 AA 30801
02,Exhibition,"1,76","1,60","1,85","1,85",2210 02 001 AA 30802
319,Machinery and Equipments,,26,26,26,2210 02 001 AA 31900
01,Purchase,,1,1,1,2210 02 001 AA 31901
03,Maintenance,,25,25,25,2210 02 001 AA 31903
321,Motor Vehicles,1,22,22,23,2210 02 001 AA 32100
02,Maintenance of Functional Vehicles,1,22,22,23,2210 02 001 AA 32102
333,Payments for Professional and Special Services,,"3,76",10,"4,40",2210 02 001 AA 33300
01,Pleaders Fees,,1,10,50,2210 02 001 AA 33301
04,Contract Payment,,"3,75",,"3,90",2210 02 001 AA 33304
345,"Petroleum, Oil and Lubricant","1,48","2,00","2,00","2,01",2210 02 001 AA 34500
01,"Petroleum, Oil and Lubricant","1,48","2,00","2,00","2,01",2210 02 001 AA 34501
349,Festival Advances,- 2,,,,2210 02 001 AA 34900
01,Festival Advances-Debit,"1,20","2,20","3,00","3,00",2210 02 001 AA 34901
02,Festival Advances-Credit,"- 1,22","- 2,20","- 3,00","- 3,00",2210 02 001 AA 34902
359,Prizes and Awards,,10,10,10,2210 02 001 AA 35900
01,Prizes and Awards,,10,10,10,2210 02 001 AA 35901
376,Computer and Accessories,"1,55","1,65","1,52","1,52",2210 02 001 AA 37600
02,Maintenance,70,80,80,80,2210 02 001 AA 37602
03,Stationery,85,85,72,72,2210 02 001 AA 37603
AA,Total AA,"2,90,06","2,86,60","3,04,04","3,39,30",
JB,Creation of Office of the State Licensing Authority for Indian Medicine,,,,,2210 02 001 JB 30000
301,Salaries,"11,62","14,73","14,51","14,97",2210 02 001 JB 30100
01,Pay,"10,10","12,91","12,91","13,43",2210 02 001 JB 30101
02,Medical Allowance,10,10,16,10,2210 02 001 JB 30102
04,Other Allowances,6,6,2,2,2210 02 001 JB 30104
06,House Rent Allowance,"1,13","1,42","1,18","1,18",2210 02 001 JB 30106
08,City Compensatory Allowance,23,24,24,24,2210 02 001 JB 30108
303,Dearness Allowance,85,"1,68","2,06","3,29",2210 02 001 JB 30300
01,Dearness Allowance,85,"1,68","2,06","3,29",2210 02 001 JB 30301
304,Travel Expenses,11,40,15,15,2210 02 001 JB 30400
01,Tour Travelling Allowances,11,40,15,15,2210 02 001 JB 30401
305,Office Expenses,88,88,62,73,2210 02 001 JB 30500
01,Telephone Charges,11,26,30,30,2210 02 001 JB 30501
02,Other Contingencies,3,3,10,11,2210 02 001 JB 30502
