head,desc,2018,2019Est,2019Rev,2020Est,dpcode
3425,OTHER SCIENTIFIC RESEARCH,,,,,
60,Others,,,,,
200,Assistance to other Scientific Bodies,,,,,
#,State's Expenditure,,,,,
AG,Tamil Nadu State Council for Science and Technology,,,,,3425 60 200 AG 30000
309,Grants-in-Aid,"2,93,37","2,83,75","3,51,88","3,34,74",3425 60 200 AG 30900
03,Grants for Specific Schemes,"2,93,37","2,83,75","3,51,88","3,34,74",3425 60 200 AG 30903
AG,Total AG,"2,93,37","2,83,75","3,51,88","3,34,74",
#,State's Expenditure Total,"2,93,37","2,83,75","3,51,88","3,34,74",
200,Total 200,"2,93,37","2,83,75","3,51,88","3,34,74",
60,Total 60,"2,93,37","2,83,75","3,51,88","3,34,74",
3425,Total 3425,"2,93,37","2,83,75","3,51,88","3,34,74",
